 ,      Income,Outlays,Balance
1957,1.48,0.96,0.51
1958,2.04,1.51,1.04
1959,2.08,2.61,0.52
1960,2.53,2.94,0.11
1961,2.79,2.61,0.29
1962,2.95,2.78,0.47
1963,3.29,3.01,0.74
1964,3.53,3.64,0.64
1965,3.66,4.02,0.28
1966,3.92,3.96,0.24
1967,4.45,3.97,0.72
1968,4.42,4.17,0.98
1969,4.68,4.15,1.52
1970,5.46,4.37,2.61
1971,5.72,4.68,3.65
1972,5.52,4.69,4.48
1973,5.91,4.81,5.59
1974,6.67,4.59,7.66
1975,6.77,4.84,9.59
1976,5.99,6.52,9.07
1978,7.30,6.14,10.16
1979,7.56,6.05,11.67
1980,8.04,7.15,12.56
1981,7.64,9.21,10.99
1982,7.43,9.17,9.25
1983,7.82,8.03,9.04
1984,8.85,8.83,9.06
1985,11.53,10.38,10.21
1986,12.90,12.75,10.36
1987,13.30,14.18,9.48
1988,12.72,12.80,9.41
1989,13.64,14.03,9.01
1990,15.13,13.60,10.55
1991,13.45,14.37,9.62
1992,15.30,14.68,10.24
1993,16.57,15.51,11.30
1994,16.86,16.64,11.52
1995,17.00,19.01,9.51
1996,19.37,19.47,9.42
1997,22.69,19.99,12.11
1998,21.31,20.85,12.57
1999,24.30,20.34,16.53
2000,33.82,23.13,19.20
2001,30.34,26.99,22.55
2002,26.91,29.09,20.37
2003,27.98,32.21,16.13
2004,28.96,32.10,12.99
2005,29.78,31.97,10.80
2006,32.90,33.12,10.59
2006,33.70,33.91,9.01
2007,34.30,34.97,8.11
2008,39.36,37.01,10.03
2009,37.31,37.57,8.88
2010,44.89,32.00,20.74
2011,32.00,37.32,14.32
2012,37.64,41.14,9.73
2013,37.70,42.91,3.77
2014,52.50,43.79,11.37
2015,41.83,42.95,9.04
