,YEAR,NET INCOME,EXPENDITURES,NET TRANSFERS (6),CLOSING BALANCE,FROM EXCISE TAXES,TOTAL (2),MOTOR FUEL,TIRES,INNER TUBES ,TREAD RUBBER ,"TRUCKS, BUSES, AND TRAILERS",HEAVY VEHICLE USE,LUB-RICATING OIL ,PARTS AND ACCES-SORIES ,TOTAL (2).1,MISCELLANEOUS (3),GASOHOL,DIESEL AND SPECIAL FUELS,TOTAL (2).2
0,2009,,,,,,,,,,,,,,,,,,,
1,Highways,19958795.0,7009779.0,26968574.0,314276,-,-,1890021,962528,-,-,30135399.0,26737.0,30162136.0,37571317.0,6258289.0,8881338.0,,,
2,Transit,3788790.0,1020468.0,4809258.0,-,-,-,-,-,-,-,4809258.0,0.0,4809258.0,7280702.0,897054.0,5212232.0,,,
3,Total,23747585.0,8030247.0,31777832.0,314276,-,-,1890021,962528,-,-,34944657.0,26737.0,34971394.0,44852019.0,7155343.0,14093570.0,,,
4,2010,,,,,,,,,,,,,,,,,,,
5,Highways,20312909.0,7069770.0,27382679.0,318251,-,-,1562325,886623,-,-,30149878.0,30322.0,30180200.0,32006716.0,13688447.0,20743269.0,,,
6,Transit,3820612.0,990630.0,4811242.0,-,-,-,-,-,-,-,4811242.0,5169.0,4816411.0,7362975.0,5823670.0,8489338.0,,,
7,Total,24133521.0,8060400.0,32193921.0,318251,-,-,1562325,886623,-,-,34961120.0,35491.0,34996611.0,39369691.0,19512117.0,29232607.0,,,
8,2011,,,,,,,,,,,,,,,,,,,
9,Highways,20644612.0,8094336.0,28738948.0,440764,-,-,2416742,364228,-,-,31960682.0,38053.0,31998735.0,37324658.0,-1094807.0,14322539.0,,,
10,Transit,3843980.0,1078378.0,4922358.0,-,-,-,-,-,-,-,4922358.0,4774.0,4927132.0,7207213.0,1106018.0,7315275.0,,,
11,Total,24488592.0,9172714.0,33661306.0,440764,-,-,2416742,364228,-,-,36883040.0,42827.0,36925867.0,44531871.0,11211.0,21637814.0,,,
12,2012,,,,,,,,,,,,,,,,,,,
13,Highways,21138400.0,8010157.0,29148557.0,420131,-,-,3855111,1719067,-,-,35142866.0,98260.0,35241126.0,41149827.0,1316907.0,9730745.0,,,
14,Transit,3937417.0,1066031.0,5003448.0,-,-,-,-,-,-,-,5003448.0,2451.0,5005899.0,8209981.0,1083091.0,5194284.0,,,
15,Total,25075817.0,9076188.0,34152005.0,420131,-,-,3855111,1719067,-,-,40146314.0,100711.0,40247025.0,49359808.0,2399998.0,14925029.0,,,
16,2013,,,,,,,,,,,,,,,,,,,
17,Highways,19389184.0,7763753.0,27152937.0,359315,-,-,3197407,1090601,-,-,31800260.0,15455.0,31815715.0,42917222.0,5141823.0,3771061.0,,,
18,Transit,3613614.0,1034832.0,4648446.0,-,-,-,-,-,-,-,4648446.0,1813.0,4650259.0,8098183.0,745715.0,2492075.0,,,
19,Total,23002798.0,8798585.0,31801383.0,359315,-,-,3197407,1090601,-,-,36448706.0,17268.0,36465974.0,51015405.0,5887538.0,6263136.0,,,
20,2014,,,,,,,,,,,,,,,,,,,
21,Highways,20685613.0,8343520.0,29029133.0,446604,-,-,3645185,945182,-,-,34066104.0,21202.0,34087306.0,43791139.0,17308349.0,11375577.0,,,
22,Transit,3854396.0,1196037.0,5050433.0,-,-,-,-,-,-,-,5050433.0,1069.0,5051502.0,9136279.0,5149451.0,3470837.0,,,
23,Total,24540009.0,9539557.0,34079566.0,446604,-,-,3645185,945182,-,-,39116537.0,22271.0,39138808.0,52927418.0,22457800.0,14846414.0,,,
24,2015,,,,,,,,,,,,,,,,,,,
25,Highways,21009013.0,8526186.0,29535199.0,500968,-,-,4554325,1149768,-,-,35740260.0,25581.0,35765841.0,42951543.0,4850484.0,9040358.0,,,
26,Transit,3914741.0,1133786.0,5048527.0,-,-,-,-,-,-,-,5048527.0,495.0,5049022.0,8867985.0,3217516.0,2869391.0,,,
27,Total,24923754.0,9659972.0,34583726.0,500968,-,-,4554325,1149768,-,-,40788787.0,26076.0,40814863.0,51819528.0,8068000.0,11909749.0,,,
