,State,Payments Into The Fund (2),Apportionments And Allocations From The Fund (3),"Ratio Of 
 Apportionments And 
 Allocations To Payments (4)",Fiscal Year 2015,Percent Of Total,Cumulated Since 7?1?56,Percent Of Total.1,Fiscal Year 2015.1,Percent Of Total.2,Cumulated Since 7?1?56.1,Percent Of Total.3,Fiscal Year 2015.2,Cumulated Since 7?1?56 
0,Alabama,686513,1.920,17777333,1.968,756763,1.9180000000000001,20570579,1.9480000000000002,1.10,1.16,,,
1,Alaska,114378,0.320,2235256,0.247,507052,1.285,13381676,1.268,4.43,5.99,,,
2,Arizona,696605,1.948,16085802,1.781,770945,1.954,17732115,1.68,1.11,1.10,,,
3,Arkansas,445617,1.246,11730745,1.299,513228,1.301,13421864,1.271,1.15,1.14,,,
4,California,3343184,9.348,90593734,10.028,3662857,9.283999999999999,96674922,9.157,1.10,1.07,,,
5,Colorado,569227,1.592,12628322,1.398,522061,1.3230000000000002,14733998,1.396,0.92,1.17,,,
6,Connecticut,319408,0.893,9514606,1.053,500027,1.2670000000000001,16078878,1.5230000000000001,1.57,1.69,,,
7,Delaware,88245,0.247,2487043,0.275,177656,0.45,4450434,0.42200000000000004,2.01,1.79,,,
8,Dist. of Col.,22390,0.063,1073045,0.119,160900,0.408,5147135,0.488,7.19,4.80,,,
9,Florida,1810384,5.062,44837719,4.963,1887552,4.784,46113028,4.368,1.04,1.03,,,
10,Georgia,1186063,3.316,31805475,3.521,1271040,3.222,32373286,3.0660000000000003,1.07,1.02,,,
11,Hawaii,87435,0.244,2302257,0.255,168880,0.428,6449764,0.611,1.93,2.80,,,
12,Idaho,206632,0.578,4786338,0.530,284370,0.721,7907098,0.7490000000000001,1.38,1.65,,,
13,Illinois,1273366,3.560,34244831,3.791,1417278,3.592,38440759,3.641,1.11,1.12,,,
14,Indiana,943968,2.639,24099334,2.668,940152,2.383,23689115,2.244,1.00,0.98,,,
15,Iowa,495109,1.384,11711415,1.296,492664,1.249,13209350,1.251,1.00,1.13,,,
16,Kansas,387762,1.084,10247305,1.134,378943,0.96,11501282,1.089,0.98,1.12,,,
