,State,PAYMENTS INTO  THE HIGHWAY ACCOUNT ," Cumulative 
  Payments  
  into the Fund 
  Since 1956 ",Fiscal Year 2006,Fiscal Year 2007,Fiscal Year 2008,Fiscal Year 2009,Fiscal Year 2010,Fiscal Year 2011,Fiscal Year 2012,Fiscal Year 2013,Fiscal Year 2014,Fiscal Year 2015
0,Alabama,660731,680178,623894,582271,579307,631281,691153,616377,663247,686644,17777464,
1,Alaska,120065,124331,103595,103742,115125,106296,95507,90616,86196,114392,2235270,
2,Arizona,707955,742254,662118,615287,595936,638994,707190,631761,674229,696740,16085937,
3,Arkansas,425517,441239,387250,372362,380384,408653,448445,405872,420214,445689,11730817,
4,California,3379035,3466984,3180213,3008180,2990437,3092590,3343484,3010709,3242566,3343925,90594475,
5,Colorado,503649,525442,476782,464245,461516,490059,539628,493803,530206,569339,12628434,
6,Connecticut,339428,340150,312941,298488,301142,309001,334757,298201,314171,319480,9514678,
7,Delaware,89469,91167,84859,80640,83461,84565,89053,80993,85555,88266,2487064,
8,Dist. of Col.,28505,26904,24338,22261,22491,22581,23721,19466,20596,22396,1073051,
9,Florida,1841001,1915336,1697353,1585498,1590250,1639225,1771185,1616857,1745014,1810802,44838137,
10,Georgia,1326233,1293316,1142137,1055322,1067167,1131849,1195317,1057834,1181104,1186300,31805712,
11,Hawaii,83611,91252,83459,80625,80690,79471,92744,81811,88124,87458,2302280,
12,Idaho,174496,187619,168981,158578,162845,180763,200334,185098,197996,206667,4786373,
13,Illinois,1271435,1310293,1171228,1117768,1120449,1168871,1300097,1142839,1228894,1273599,34245064,
14,Indiana,930657,962021,829270,793197,763887,847273,938638,851501,895160,944121,24099487,
15,Iowa,429914,456043,403321,397956,401067,437454,499311,438715,467608,495189,11711495,
16,Kansas,336592,345899,319141,316718,318679,347577,379907,345920,369791,387829,10247372,
17,Kentucky,619186,637626,559710,531461,538081,577629,632015,565482,585461,622388,16140102,
18,Louisiana,571191,664405,515642,499597,535850,570317,642723,544314,585869,596113,15951669,
19,Maine,169443,176566,152349,146603,154216,158614,177033,156978,183343,186376,4741207,
20,Maryland,586493,603323,556367,537005,575336,567009,610534,561980,601859,613466,15900018,
21,Massachusetts,559110,562678,540595,516282,527269,545397,595458,532401,563444,572915,16602391,
22,Michigan,1043340,1044882,940101,893166,897316,937558,1012608,920923,1018707,1029576,30200303,
23,Minnesota,615718,632337,561344,553674,539355,574205,628241,591973,611037,631377,15332098,
24,Mississippi,444775,471171,412099,406884,389926,422141,459000,430690,441177,472599,11841076,
25,Missouri,828477,854175,763212,734656,743615,789533,860786,767069,810896,854072,22698473,
26,Montana,154088,163460,141690,135742,138295,150115,172749,159217,170046,178918,4259066,
27,Nebraska,257829,261446,236488,229043,230412,258202,288492,259329,279284,298808,7158378,
28,Nevada,288818,314866,273745,253710,251430,261081,283372,256840,278953,282188,6231945,
29,New Hampshire,139652,141331,135345,131750,132949,137078,145474,131314,139884,144420,3773224,
30,New Jersey,950962,982550,910174,870857,864243,879022,956043,848476,899143,935638,25772822,
31,New Mexico,305022,326560,280178,258835,268995,283594,343342,309542,321624,344248,7817194,
32,New York,1324552,1341636,1223182,1199984,1221504,1287537,1377399,1233252,1287919,1359417,39145239,
33,North Carolina,1017538,1051100,946919,909614,912879,977234,1059611,936598,1006725,1043388,26951346,
34,North Dakota,107743,109008,98218,103024,108638,131118,184211,187958,206223,227118,3452447,
35,Ohio,1319071,1335416,1179086,1143954,1121130,1213347,1337208,1206182,1290442,1347937,36409499,
36,Oklahoma,525607,538021,493590,504509,472069,526705,580671,545853,587305,628817,15068168,
37,Oregon,411189,424654,377759,362037,368176,389048,427016,379981,405942,424502,11297473,
38,Pennsylvania,1303215,1328157,1174199,1140487,1158416,1238977,1382364,1234834,1309804,1352177,37352514,
39,Rhode Island,81285,81057,75643,74876,74049,78575,82006,71439,76271,83291,2469924,
40,South Carolina,596969,627649,565074,554898,583364,602030,680323,600695,645416,662837,15732910,
41,South Dakota,123271,127134,116437,113718,120878,130009,147768,141963,144495,155122,3424657,
42,Tennessee,819740,833578,740664,713415,700014,761658,841291,752436,797861,842500,21492546,
43,Texas,2954981,3202376,2921406,2896992,2851077,3065891,3506944,3266787,3607265,4013889,78896697,
44,Utah,286304,317353,288438,272354,270959,283718,352788,297597,324994,339882,7436519,
45,Vermont,72100,74545,68165,64746,64523,67904,72656,65328,70602,69824,2108936,
46,Virginia,961172,987250,906546,856996,856743,921824,960364,904086,951853,994329,24689058,
47,Washington,619421,640626,588698,560690,567226,594791,650827,589424,643513,665355,16735677,
48,West Virginia,225292,229209,201315,188452,200621,219453,237244,215040,222168,227838,6570324,
49,Wisconsin,612868,637934,574955,563903,559794,607684,653974,609824,630964,696666,17326803,
50,Wyoming,167566,174748,151489,149347,140614,158764,172045,171335,173546,187619,4221966,
51,Total,33712281,34899255,31341702,30126399,30174795,31984265,35165051,31815513,34084706,35764446,903365779,
52,American Samoa,-,-,-,-,-,-,-,-,-,-,-,
53,Guam,-,-,-,-,-,-,-,-,-,-,-,
54,N. Marianas,-,-,-,-,-,-,-,-,-,-,-,
55,Puerto Rico,-,-,-,-,-,-,-,-,-,-,-,
56,Virgin Islands,-,-,-,-,-,-,-,-,-,-,-,
57,Grand Total,33712281,34899255,31341702,30126399,30174795,31984265,35165051,31815513,34084706,35764446,903365779,
