,State,ALLOCATIONS FROM THE HIGHWAY ACCOUNT ," Cumulative 
        Payments 
        from the Fund 
        Since 1956 ",Fiscal Year 2006,Fiscal Year 2007,Fiscal Year 2008,Fiscal Year 2009,Fiscal Year 2010,Fiscal Year 2011,Fiscal Year 2012,Fiscal Year 2013,Fiscal Year 2014,Fiscal Year 2015
0,Alabama,776407,817468,793186,807311,833407,807594,862231,754175,755752,756763,20570579,
1,Alaska,505389,541251,501320,546134,604383,578327,695499,565255,502439,507052,13381676,
2,Arizona,644309,762180,781411,810072,810783,821774,867716,691978,736008,770945,17732115,
3,Arkansas,525118,541826,549917,588035,577539,579389,625707,544695,514266,513228,13421864,
4,California,3313664,4232975,4071785,4044914,3999691,3943077,4559503,4135542,3775722,3662857,96674922,
5,Colorado,491843,554380,583649,567233,598641,582122,615213,553506,776158,522061,14733998,
6,Connecticut,537565,530357,551458,529350,553993,544730,651390,566233,498350,500027,16078878,
7,Delaware,179342,176331,175528,183613,200054,192201,194556,177454,203805,177656,4450434,
8,Dist. of Col.,151403,159815,157379,154940,172458,173584,238052,235931,159491,160900,5147135,
9,Florida,1715000,2003500,1765811,2062167,2062252,1801157,2394902,1870910,1874002,1887552,46113028,
10,Georgia,1231422,1343422,1445524,1357856,1433381,1370557,1591007,1266079,1268860,1271040,32373286,
11,Hawaii,179578,216929,177019,178174,199864,185552,178630,171543,167879,168880,6449764,
12,Idaho,287714,295283,301181,307341,321107,304107,351539,289364,289387,284370,7907098,
13,Illinois,1327228,1579222,1506996,1517770,1527179,1517287,1638593,1418533,1406834,1417278,38440759,
14,Indiana,874083,988156,996927,1024116,1042196,1009360,1196235,946661,946169,940152,23689115,
15,Iowa,453529,475913,491400,546532,537751,528392,568619,528600,504730,492664,13209350,
16,Kansas,412879,407799,408824,414543,435388,405983,400112,385997,378904,378943,11501282,
17,Kentucky,652702,700301,707323,747102,744958,713695,789944,676450,648982,659597,17758195,
18,Louisiana,636132,756201,715446,866315,870966,747262,827372,743224,694892,681994,20208366,
19,Maine,202236,202084,201990,208246,221680,200312,190519,190519,184148,185188,5404599,
20,Maryland,601258,661588,644238,646306,694160,640155,695143,639087,594563,596591,19259330,
21,Massachusetts,664280,654592,639622,637623,679614,654384,686029,658105,589048,589760,22572656,
22,Michigan,1117754,1171364,1138389,1145080,1163503,1127324,1197685,1047102,1045406,1054516,30033305,
23,Minnesota,618540,733286,1026476,722409,797416,726119,744710,647694,650302,657118,18508353,
24,Mississippi,560675,537044,516493,582867,544862,514278,529979,476384,493626,488544,13746178,
25,Missouri,969813,979126,1001497,1024129,1077106,1059295,1162929,1003148,943945,942084,24272125,
26,Montana,397200,415349,414912,422905,431969,449214,550278,463446,403831,405400,10729084,
27,Nebraska,298911,299915,310088,310762,326414,317335,320028,297712,284247,286711,8078873,
28,Nevada,299915,321892,373545,372323,410421,387106,432609,378880,363416,372911,8246857,
29,New Hampshire,183895,178129,177103,181712,186587,180007,191104,171907,168754,164094,4891635,
30,New Jersey,934267,1044152,1089938,1064125,1074263,1053593,1251879,1083076,1065792,985749,27229200,
31,New Mexico,367886,389821,383330,407937,416431,399172,451559,392762,374523,377038,10047503,
32,New York,1765147,1786606,1768110,1890156,1752770,1794701,1888868,1734074,1664984,1667836,51021087,
33,North Carolina,1002457,1111941,1103383,1134886,1149695,1129450,1271170,1064619,1062099,1034208,26599854,
34,North Dakota,257033,252257,250074,316462,381812,320796,582676,563299,247867,256172,7321799,
35,Ohio,1336330,1536682,1427029,1437003,1473065,1443031,1722136,1488737,1335801,1357472,36762528,
36,Oklahoma,658552,677902,675241,709984,670233,673402,701345,625631,622716,627380,15465383,
37,Oregon,507961,544644,519695,562651,561463,545102,609890,573405,507927,500497,13906436,
38,Pennsylvania,1735798,1723126,1737192,1705253,1784735,1751749,1822815,1645820,1620308,1619041,46682916,
39,Rhode Island,240581,241579,228913,237437,254072,266917,226082,226082,215105,218930,6233801,
40,South Carolina,597083,650292,673927,671243,687554,667316,772295,640068,668114,661614,15444560,
41,South Dakota,289894,297765,292126,304016,326838,323705,350743,312777,278180,284352,7472766,
42,Tennessee,821714,924124,908894,918904,948059,956474,1013136,855581,844174,846000,22379643,
43,Texas,2824186,3216831,3120314,3442894,3465384,3356999,3904117,3118901,3398951,3396355,74408729,
44,Utah,312762,319569,324267,348593,366401,357765,387578,343006,342512,344143,9389237,
45,Vermont,221360,221461,211951,217196,225843,229363,361195,359919,213212,208495,5302320,
46,Virginia,971692,1102630,1068458,1091429,1108700,1099566,1218685,1035629,1007263,1007527,27379222,
47,Washington,707723,759593,811562,853686,798105,778149,808449,776128,737712,667616,21937079,
48,West Virginia,478191,449142,475101,475998,493738,475944,539231,446971,432414,555109,13352238,
49,Wisconsin,735334,765287,778407,833388,821197,814391,987071,804323,758551,753432,19087927,
50,Wyoming,263319,272733,264569,282567,303800,289810,345386,315447,265363,252916,7295376,
51,Total,37839054,41525815,41238918,42413688,43123881,41789074,47164139,40902369,39487484,39118758,1050304443,
52,American Samoa,14139,15180,4882,28383,21720,18105,20770,20770,8411,6118,243806,
53,Guam,26990,24387,21742,81699,16598,22994,22054,22054,46028,30533,571092,
54,N. Marianas,12728,11672,6462,22461,6426,8364,7919,7919,272114,265230,667053,
55,Puerto Rico,116786,201031,12726,258093,248323,268717,287292,287292,3790,9928,3394350,
56,Virgin Islands,34581,31196,19719,63867,16840,24572,26438,26438,37553,23786,541812,
57,Grand Total,38044278,41809281,41304449,42868191,43433788,42131826,47528612,41266842,39855380,39454353,1055722556,
