State,PAYMENTS INTO  THE HIGHWAY ACCOUNT ,,,,,,,,,," Cumulative 
  Payments  
  into the Fund 
  Since 1956 "
,Fiscal Year 2006,Fiscal Year 2007,Fiscal Year 2008,Fiscal Year 2009,Fiscal Year 2010,Fiscal Year 2011,Fiscal Year 2012,Fiscal Year 2013,Fiscal Year 2014,Fiscal Year 2015,
Alabama,"660,731 ","680,178 ","623,894 ","582,271 ","579,307 ","631,281 ","691,153 ","616,377 ","663,247 ","686,644 ","17,777,464 "
Alaska,"120,065 ","124,331 ","103,595 ","103,742 ","115,125 ","106,296 ","95,507 ","90,616 ","86,196 ","114,392 ","2,235,270 "
Arizona,"707,955 ","742,254 ","662,118 ","615,287 ","595,936 ","638,994 ","707,190 ","631,761 ","674,229 ","696,740 ","16,085,937 "
Arkansas,"425,517 ","441,239 ","387,250 ","372,362 ","380,384 ","408,653 ","448,445 ","405,872 ","420,214 ","445,689 ","11,730,817 "
California,"3,379,035 ","3,466,984 ","3,180,213 ","3,008,180 ","2,990,437 ","3,092,590 ","3,343,484 ","3,010,709 ","3,242,566 ","3,343,925 ","90,594,475 "
Colorado,"503,649 ","525,442 ","476,782 ","464,245 ","461,516 ","490,059 ","539,628 ","493,803 ","530,206 ","569,339 ","12,628,434 "
Connecticut,"339,428 ","340,150 ","312,941 ","298,488 ","301,142 ","309,001 ","334,757 ","298,201 ","314,171 ","319,480 ","9,514,678 "
Delaware,"89,469 ","91,167 ","84,859 ","80,640 ","83,461 ","84,565 ","89,053 ","80,993 ","85,555 ","88,266 ","2,487,064 "
Dist. of Col.,"28,505 ","26,904 ","24,338 ","22,261 ","22,491 ","22,581 ","23,721 ","19,466 ","20,596 ","22,396 ","1,073,051 "
Florida,"1,841,001 ","1,915,336 ","1,697,353 ","1,585,498 ","1,590,250 ","1,639,225 ","1,771,185 ","1,616,857 ","1,745,014 ","1,810,802 ","44,838,137 "
Georgia,"1,326,233 ","1,293,316 ","1,142,137 ","1,055,322 ","1,067,167 ","1,131,849 ","1,195,317 ","1,057,834 ","1,181,104 ","1,186,300 ","31,805,712 "
Hawaii,"83,611 ","91,252 ","83,459 ","80,625 ","80,690 ","79,471 ","92,744 ","81,811 ","88,124 ","87,458 ","2,302,280 "
Idaho,"174,496 ","187,619 ","168,981 ","158,578 ","162,845 ","180,763 ","200,334 ","185,098 ","197,996 ","206,667 ","4,786,373 "
Illinois,"1,271,435 ","1,310,293 ","1,171,228 ","1,117,768 ","1,120,449 ","1,168,871 ","1,300,097 ","1,142,839 ","1,228,894 ","1,273,599 ","34,245,064 "
Indiana,"930,657 ","962,021 ","829,270 ","793,197 ","763,887 ","847,273 ","938,638 ","851,501 ","895,160 ","944,121 ","24,099,487 "
Iowa,"429,914 ","456,043 ","403,321 ","397,956 ","401,067 ","437,454 ","499,311 ","438,715 ","467,608 ","495,189 ","11,711,495 "
Kansas,"336,592 ","345,899 ","319,141 ","316,718 ","318,679 ","347,577 ","379,907 ","345,920 ","369,791 ","387,829 ","10,247,372 "
Kentucky,"619,186 ","637,626 ","559,710 ","531,461 ","538,081 ","577,629 ","632,015 ","565,482 ","585,461 ","622,388 ","16,140,102 "
Louisiana,"571,191 ","664,405 ","515,642 ","499,597 ","535,850 ","570,317 ","642,723 ","544,314 ","585,869 ","596,113 ","15,951,669 "
Maine,"169,443 ","176,566 ","152,349 ","146,603 ","154,216 ","158,614 ","177,033 ","156,978 ","183,343 ","186,376 ","4,741,207 "
Maryland,"586,493 ","603,323 ","556,367 ","537,005 ","575,336 ","567,009 ","610,534 ","561,980 ","601,859 ","613,466 ","15,900,018 "
Massachusetts,"559,110 ","562,678 ","540,595 ","516,282 ","527,269 ","545,397 ","595,458 ","532,401 ","563,444 ","572,915 ","16,602,391 "
Michigan,"1,043,340 ","1,044,882 ","940,101 ","893,166 ","897,316 ","937,558 ","1,012,608 ","920,923 ","1,018,707 ","1,029,576 ","30,200,303 "
Minnesota,"615,718 ","632,337 ","561,344 ","553,674 ","539,355 ","574,205 ","628,241 ","591,973 ","611,037 ","631,377 ","15,332,098 "
Mississippi,"444,775 ","471,171 ","412,099 ","406,884 ","389,926 ","422,141 ","459,000 ","430,690 ","441,177 ","472,599 ","11,841,076 "
Missouri,"828,477 ","854,175 ","763,212 ","734,656 ","743,615 ","789,533 ","860,786 ","767,069 ","810,896 ","854,072 ","22,698,473 "
Montana,"154,088 ","163,460 ","141,690 ","135,742 ","138,295 ","150,115 ","172,749 ","159,217 ","170,046 ","178,918 ","4,259,066 "
Nebraska,"257,829 ","261,446 ","236,488 ","229,043 ","230,412 ","258,202 ","288,492 ","259,329 ","279,284 ","298,808 ","7,158,378 "
