YEAR,"PUBLIC ROAD 
      MILES (2)",,,"ANNUAL VEHICLE-MILES 
      OF TRAVEL (VMT) 
      (MILLIONS) ",,,"HIGHWAY 
      FATALITIES (3)",FATALITY RATES ,,,
,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,,"PER 1,000 
      MILES 
      OF ROAD ","PER 100 MILLION 
      ANNUAL 
      VMT ","PER 100,000 
      REGISTERED 
      MOTOR VEHICLES ","PER 100,000 
      LICENSED 
      DRIVERS "
1900,-,-,"2,320,000 ",-,-,100 ,36 ,0.02 ,36.00 ,450.00 ,-
1901,-,-,"2,325,000 ",-,-,170 ,54 ,0.02 ,31.76 ,364.86 ,-
1902,-,-,"2,330,000 ",-,-,310 ,79 ,0.03 ,25.48 ,343.48 ,-
1903,-,-,"2,340,000 ",-,-,460 ,117 ,0.05 ,25.43 ,355.41 ,-
1904,-,-,"2,351,000 ",-,-,750 ,172 ,0.07 ,22.93 ,311.09 ,-
1905,-,-,"2,360,000 ",-,-,970 ,252 ,0.11 ,25.98 ,319.80 ,-
1906,-,-,"2,370,000 ",-,-,"1,240 ",338 ,0.14 ,27.26 ,312.67 ,-
1907,-,-,"2,382,000 ",-,-,"1,440 ",581 ,0.24 ,40.35 ,405.73 ,-
1908,-,-,"2,395,000 ",-,-,"1,850 ",751 ,0.31 ,40.59 ,378.53 ,-
1909,-,-,"2,410,000 ",-,-,"2,590 ","1,174 ",0.49 ,45.33 ,376.28 ,-
1910,-,-,"2,430,000 ",-,-,"3,580 ","1,599 ",0.66 ,44.66 ,341.30 ,-
1911,-,-,"2,470,000 ",-,-,"5,040 ","2,043 ",0.83 ,40.54 ,319.47 ,-
1912,-,-,"2,515,000 ",-,-,"7,390 ","2,968 ",1.18 ,40.16 ,314.41 ,-
1913,-,-,"2,590,000 ",-,-,"10,250 ","4,079 ",1.57 ,39.80 ,324.23 ,-
1914,-,-,"2,666,000 ",-,-,"14,060 ","4,468 ",1.68 ,31.78 ,253.43 ,-
1915,-,-,"2,745,000 ",-,-,"19,530 ","6,779 ",2.47 ,34.71 ,272.15 ,-
1916,-,-,"2,850,000 ",-,-,"25,860 ","7,766 ",2.72 ,30.03 ,214.65 ,-
1917,-,-,"2,925,000 ",-,-,"30,680 ","9,630 ",3.29 ,31.39 ,188.14 ,-
1918,-,-,"3,000,000 ",-,-,"36,980 ","10,390 ",3.46 ,28.10 ,168.66 ,-
1919,-,-,"3,050,000 ",-,-,"44,110 ","10,896 ",3.57 ,24.70 ,143.81 ,-
1920,-,-,"3,105,000 ",-,-,"47,600 ","12,155 ",3.91 ,25.54 ,131.56 ,-
1921,-,-,"3,160,000 ",-,-,"55,027 ","13,253 ",4.19 ,24.08 ,126.30 ,-
1922,-,-,"3,196,000 ",-,-,"67,697 ","14,859 ",4.65 ,21.95 ,121.06 ,-
1923,-,-,"3,233,000 ",-,-,"84,995 ","17,870 ",5.53 ,21.02 ,118.33 ,-
1924,-,-,"3,243,000 ",-,-,"104,838 ","18,400 ",5.67 ,17.55 ,104.47 ,-
1925,-,-,"3,246,000 ",-,-,"122,346 ","20,771 ",6.40 ,16.98 ,103.50 ,-
1926,-,-,"3,242,000 ",-,-,"140,735 ","22,194 ",6.85 ,15.77 ,99.97 ,-
1927,-,-,"3,257,000 ",-,-,"158,453 ","24,470 ",7.51 ,15.44 ,105.01 ,-
1928,-,-,"3,262,000 ",-,-,"172,856 ","26,557 ",8.14 ,15.36 ,107.57 ,-
1929,-,-,"3,272,000 ","90,311 ","107,409 ","197,720 ","29,592 ",9.04 ,14.97 ,110.81 ,-
1930,-,-,"3,259,000 ","95,118 ","111,202 ","206,320 ","31,204 ",9.57 ,15.12 ,116.65 ,-
