,YEAR,PRIMARY HIGHWAY SYSTEM/NATIONAL HIGHWAY SYSTEM  (4),OTHER FEDERAL - AID HIGHWAYS  (5),ALL FEDERAL - AID HIGHWAYS,ALL NON - FEDERAL - AID HIGHWAYS,UNKNOWN,TOTAL,INTERSTATE,OTHER,TOTAL.1,RURAL,URBAN,TOTAL.2,RURAL.1,URBAN.1,TOTAL.3,RURAL.2,URBAN.2,TOTAL.4,RURAL.3,URBAN.3,TOTAL.5,RURAL.4,URBAN.4,TOTAL.6,RURAL.5,URBAN.5,TOTAL.7
0,1967,2027,1193,3220,16095,5223,21318,18122,6416,24538,9326,1942,11268,27448,8358,35806,6660,9093,15753,,51559,,,,,,,
1,1968,2346,1413,3759,16208,5407,21615,18554,6820,25374,10362,2175,12537,28916,8995,37911,6676,9176,15852,,53763,,,,,,,
2,1969,2534,1681,4215,15918,5507,21425,18452,7188,25640,10813,2123,12936,29265,9311,38576,7036,9431,16467,,55043,,,,,,,
3,1970,2741,1585,4326,15618,5086,20704,18359,6671,25030,10826,2223,13049,29185,8894,38079,6568,9169,15737,,53816,,,,,,,
4,1971,2921,1716,4637,15330,5387,20717,18251,7103,25354,10565,2343,12908,28816,9446,38262,6797,8848,15645,,53907,,,,,,,
5,1972,2915,1920,4835,14774,5941,20715,17689,7861,25550,11081,4143,15224,28770,12004,40774,6975,7851,14826,,55600,,,,,,,
6,1973,2921,2025,4946,14073,6288,20361,16994,8313,25307,11154,5110,16264,28148,13423,41571,6714,6811,13525,,55096,,,,,,,
7,1974,1877,1444,3321,10656,5132,15788,12533,6576,19109,9717,4921,14638,22250,11497,33747,6205,6097,12302,,46049,,,,,,,
8,1975,1844,1438,3282,10949,4294,15243,12793,5732,18525,9229,6196,15425,22022,11928,33950,5699,5851,11550,,45500,,,,,,,
9,1976,1975,1566,3541,11499,3941,15440,13474,5507,18981,7289,7137,14426,20763,12644,33407,6991,5125,12116,,45523,,,,,,,
10,1977,2268,1862,4130,12044,4069,16113,14312,5931,20243,7677,7145,14822,21989,13076,35065,7379,5434,12813,,47878,,,,,,,
11,1978,2588,2056,4644,12327,4435,16762,14915,6491,21406,8275,7765,16040,23190,14256,37446,7768,5117,12885,,50331,,,,,,,
12,1979,2387,2057,4444,12113,4652,16765,14500,6709,21209,8374,8634,17008,22874,15343,38217,7916,4960,12876,,51093,,,,,,,
13,1980,2263,2184,4447,12170,4675,16845,14433,6859,21292,7519,9223,16742,21952,16082,38034,7593,5464,13057,,51091,,,,,,,
