,YEAR,RURAL,URBAN,UNKNOWN,TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL.1,INTERSTATE.1,OTHER FREEWAYS AND EXPRESSWAYS.1,OTHER PRINCIPAL ARTERIAL.1,MINOR ARTERIAL.1,MAJOR COLLECTOR.1,MINOR COLLECTOR.1,LOCAL.1,TOTAL.2
0,1980,2263,,6217,6051,7950,2054,5010,29545,2184,2120,5872,4760,2226.0,,4384,21546,,51091,,
1,1981,2397,,6484,5361,7663,1786,4779,28470,2155,2195,5868,4835,2051.0,,3727,20831,,49301,,
2,1982,2131,,4869,5662,6768,1567,4034,25031,1968,1159,5908,4901,1627.0,,3351,18914,,43945,,
3,1983,2070,,4571,5647,6107,1706,4051,24152,1929,1249,5889,4644,1595.0,,3131,18437,,42589,,
4,1984,2207,,4666,5618,6669,1602,4274,25036,2113,1231,6465,4699,1776.0,,3057,19341,,44377,,
5,1985,2141,,4741,5199,6664,1545,4202,24492,2025,1125,6689,4707,1696.0,,3091,19333,,43825,,
6,1986,2156,,5233,5514,6901,1736,4649,26189,2146,1151,6483,4873,1731.0,,3514,19898,,46087,,
7,1987,2507,,5363,5700,6983,1810,4283,26646,2127,1412,6781,4481,1447.0,,3496,19744,,46390,,
8,1988,2826,,5291,5765,7283,1854,4616,27635,2299,1199,6446,4443,1558.0,,3507,19452,,47087,,
9,1989,2696,,4862,5310,6950,1710,4529,26057,2307,1328,6378,4427,1516.0,,3569,19525,,45582,,
10,1990,2707,,4811,5082,6972,1880,4334,25786,2252,1099,6660,3983,1427.0,,3392,18813,,44599,,
11,1991,2559,,4463,4902,6359,1655,4455,24393,1931,1253,5834,3545,1288.0,,3264,17115,,41508,,
12,1992,2470,,4122,4383,6253,1604,3960,22792,1853,1159,5733,3230,1110.0,,3373,16458,,39250,,
13,1993,2574,,4747,4243,6390,1676,3696,23326,1971,1039,5601,3272,1283.0,,3658,16824,,40150,,
14,1994,2550,,5194,4179,6104,1571,4116,23714,2136,1971,4889,3654,1272.0,,3080,17002,,40716,,
15,1995,2675,,5205,4742,5699,1702,3955,23978,2154,1290,5872,3754,1441.0,,3328,17839,,41817,,
16,1996,2924,,5251,4184,5973,1553,4396,24281,2321,1538,5528,3652,1208.0,,3052,17299,485.0,42065,,
17,1997,3040,,5394,4284,5920,1723,4450,24811,2292,1296,5420,3523,1163.0,,3064,16758,444.0,42013,,
18,1998,3105,,5378,4216,5840,1753,4459,24751,2283,1282,5285,3335,1037.0,,2921,16143,607.0,41501,,
19,1999,3244,,5294,4279,5833,1762,4773,25185,2353,1362,5065,3201,1031.0,,2958,15970,562.0,41717,,
20,2000,3254,,4917,4090,5501,1808,4414,23984,2419,1364,4948,3211,1001.0,,2912,15855,2106.0,41945,,
21,2001,3142,,5013,4254,5896,1818,4712,24835,2523,1425,5148,3355,1094.0,,3350,16895,466.0,42196,,
22,2002,3298,,4894,4467,6014,2003,5059,25735,2482,1506,5124,3218,1151.0,,3497,16978,292.0,43005,,
23,2003,3144,,5042,4678,5793,1837,4366,24860,2500,1591,5067,3684,1323.0,,3528,17693,331.0,42884,,
24,2004,3227,,5167,5043,5568,1787,4162,24954,2602,1673,4847,3573,1385.0,,3290,17370,512.0,42836,,
25,2005,3248,,4821,4483,5757,1635,4443,24387,2734,1735,5364,3836,1426.0,,3458,18553,570.0,43510,,
26,2006,2887,,4554,4346,5675,1650,4294,23406,2663,1690,5447,3807,1513.0,,3622,18742,560.0,42708,,
27,2007,2658,,4674,4084,5568,1459,4264,22707,2608,1477,4900,3499,1437.0,,3546,17467,885.0,41059,,
28,2008,2416,,4358,3515,5068,1423,4027,20807,2259,1505,4446,3105,1239.0,,3402,15956,498.0,37261,,
29,2009,2045,,4652,2957,4568,1342,3626,19190,2049,1321,4005,2829,1158.0,,3098,14460,233.0,33883,,
30,2010,2113,,3986,3015,4171,1143,3540,17968,2124,1232,4294,2945,1069.0,,2978,14642,389.0,32999,,
31,2011,1969,,4050,2989,4182,989,3454,17633,2159,1277,4142,2858,1137.0,,2969,14542,304.0,32479,,
32,2012,1835,,4219,3482,4220,958,3452,18166,2150,1150,4538,3065,,1236,3195,15334,282.0,33782,,
33,2013,1994,,4152,3258,3873,874,3485,17636,2101,1061,4605,2972,1114.0,,3249,15102,156.0,32894,,
34,2014,1762,,4044,3316,3673,829,3024,16648,2332,1125,4951,3069,1219.0,-,3127,15823,273.0,32744,,
35,2015,1918,891.0,4321,3253,3448,874,2345,17050,2424,1136,5145,3174,967.0,275,2155,15276,2766.0,35092,,
