,STATE,OTHER FEDERAL-AID HIGHWAYS  - RURAL ,OTHER FEDERAL-AID HIGHWAYS - URBAN ,TOTAL OTHER FEDERAL-AID HIGHWAYS ,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY .1,COUNTY .1,"TOWN, TOWNSHIP, MUNICIPAL (2).1",OTHER JURIS- DICTIONS (3).1,FEDERAL AGENCY (4).1,TOTAL.1
0,Alabama,9248,14835,2050,-,-,26134,1577,2178,6199,-,51,10005,36139,,
1,Alaska,2573,94,202,38,57,2964,653,323,101,3,0,1081,4045,,
2,Arizona,4722,2559,339,13,1233,8866,472,1792,5683,23,137,8106,16972,,
3,Arkansas,18277,5492,230,-,-,23999,2119,1149,3652,-,-,6920,30919,,
4,California,9274,18605,421,-,587,28887,1026,7898,30749,-,60,39732,68619,,
5,Colorado,6720,6548,201,72,829,14369,518,1360,4122,6,18,6024,20393,,
6,Connecticut,1549,-,193,-,-,1743,2129,-,3993,2,-,6124,7867,,
7,Delaware,854,-,0,-,-,854,978,-,23,-,-,1002,1856,,
8,Dist. of Columbia,-,-,-,-,-,-,491,-,-,1,22,514,514,,
9,Florida,3570,6419,85,-,-,10074,2724,10515,6940,-,-,20179,30253,,
10,Georgia,14362,10255,485,-,1,25103,3528,7094,3938,6,17,14583,39685,,
11,Hawaii,631,110,-,3,19,764,199,831,-,-,-,1030,1794,,
12,Idaho,3811,4377,272,3462,45,11967,107,219,1610,465,-,2401,14369,,
13,Illinois,10630,16327,1524,8,5,28494,2726,3515,10070,44,2,16357,44852,,
14,Indiana,10268,8849,313,-,-,19431,843,4156,5912,0,-,10911,30342,,
15,Iowa,6111,22389,670,2,0,29172,71,1014,3621,17,0,4724,33896,,
16,Kansas,9609,32698,579,-,79,42965,278,1512,3815,-,-,5604,48569,,
17,Kentucky,13000,15,1,-,68,13085,3227,410,961,4,-,4602,17687,,
18,Louisiana,10488,15,1,7,3,10514,3568,1084,2310,3,-,6966,17480,,
19,Maine,6804,-,0,-,0,6804,1220,-,1,1,-,1221,8026,,
20,Maryland,2701,545,12,0,-,3259,1504,3231,1059,28,17,5839,9098,,
21,Massachusetts,585,-,1297,5,8,1895,1108,-,10239,252,4,11603,13498,,
22,Michigan,6123,27410,662,-,-,34195,947,7842,5587,3,-,14379,48574,,
23,Minnesota,9960,25971,221,101,2,36254,631,4097,3699,1,-,8428,44682,,
24,Mississippi,11225,13065,423,-,489,25201,514,853,2841,1,77,4285,29486,,
25,Missouri,32296,327,160,2,0,32786,1834,1207,4547,2,1,7592,40378,,
26,Montana,9462,4700,11,672,793,15639,281,-,983,-,-,1264,16902,,
27,Nebraska,10185,14365,373,1,47,24970,85,402,1739,-,-,2226,27196,,
28,Nevada,3469,1088,5,29,51,4643,462,1202,1551,81,39,3335,7977,,
29,New Hampshire,2552,-,38,-,-,2591,680,-,927,10,-,1617,4208,,
30,New Jersey,249,1376,83,-,-,1709,459,6420,4210,3,-,11092,12800,,
31,New Mexico,9510,1153,236,-,312,11210,676,247,2250,-,6,3180,14390,,
32,New York,10162,3168,180,84,14,13607,3542,5707,8800,71,-,18120,31727,,
33,North Carolina,16375,-,3,-,370,16748,10244,-,1298,-,76,11618,28366,,
34,North Dakota,5907,16909,426,-,99,23342,31,19,969,-,-,1019,24361,,
35,Ohio,16367,5254,428,-,-,22048,3365,4173,8178,-,-,15717,37765,,
36,Oklahoma,13588,23571,1114,32,-,38305,716,1283,4674,4,-,6676,44981,,
37,Oregon,5040,9667,109,35,1880,16732,456,2361,3454,6,-,6277,23009,,
38,Pennsylvania,18706,40,372,1,34,19152,10513,444,4200,1,-,15157,34310,,
39,Rhode Island,319,-,74,-,-,393,444,-,1005,16,8,1472,1864,,
40,South Carolina,20730,150,27,-,26,20934,6817,309,358,-,0,7484,28418,,
41,South Dakota,6483,16777,287,22,1173,24743,72,291,877,19,-,1259,26002,,
42,Tennessee,12485,280,21,-,-,12786,2460,2206,5222,-,-,9888,22674,,
43,Texas,71763,2304,403,8,122,74601,14387,5219,21303,141,2,41052,115653,,
44,Utah,3389,2523,152,-,177,6240,317,592,2419,-,-,3328,9568,,
45,Vermont,2911,-,1468,-,-,4379,174,-,479,-,-,653,5033,,
46,Virginia,16524,-,130,-,150,16804,5482,437,3554,1,421,9895,26699,,
47,Washington,5092,10514,299,14,353,16272,510,2900,5642,14,6,9071,25343,,
48,West Virginia,10741,-,4,-,-,10746,2641,-,429,-,-,3069,13815,,
49,Wisconsin,9537,16166,1247,-,-,26950,789,2108,6650,-,-,9547,36497,,
50,Wyoming,5014,875,6,-,471,6366,190,358,716,13,-,1277,7643,,
51,U.S. Total,491953,347787,17838,4612,9499,871689,100783,98959,213559,1239,964,415504,1287193,,
52,Puerto Rico (5),774,-,2,-,27,803,3800,-,356,-,11,4167,4970,,
53,Grand Total,492728,347787,17840,4612,9526,872492,104583,98959,213915,1239,975,419671,1292163,,
