STATE,NATIONAL  HIGHWAY     SYSTEM,,,,,,,,,OTHER FEDERAL-AID HIGHWAYS,,,ALL FEDERAL-AID HIGHWAYS ,,,ALL NON-FEDERAL-AID HIGHWAYS,,,TOTAL
,INTERSTATE,,,OTHER,,,TOTAL,,,,,,,,,,,,
,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,RURAL,URBAN,TOTAL,
Alabama,919 ,691 ,"1,611 ","3,237 ","2,041 ","5,279 ","4,157 ","2,733 ","6,889 ","26,134 ","10,005 ","36,139 ","30,290 ","12,738 ","43,028 ","91,679 ","29,477 ","121,156 ","164,184 "
Alaska,"1,613 ",127 ,"1,740 ","1,594 ",251 ,"1,846 ","3,208 ",378 ,"3,586 ","2,964 ","1,081 ","4,045 ","6,172 ","1,459 ","7,630 ","15,226 ","3,101 ","18,327 ","25,958 "
Arizona,"1,475 ",406 ,"1,881 ","1,943 ","1,310 ","3,252 ","3,418 ","1,716 ","5,133 ","8,866 ","8,106 ","16,972 ","12,284 ","9,821 ","22,105 ","51,768 ","32,540 ","84,308 ","106,413 "
Arkansas,659 ,472 ,"1,132 ","3,179 ","1,121 ","4,300 ","3,838 ","1,593 ","5,432 ","23,999 ","6,920 ","30,919 ","27,837 ","8,513 ","36,350 ","109,731 ","19,052 ","128,783 ","165,133 "
California,"1,946 ","1,998 ","3,944 ","5,835 ","12,945 ","18,780 ","7,781 ","14,943 ","22,724 ","28,887 ","39,732 ","68,619 ","36,668 ","54,675 ","91,343 ","102,298 ","121,523 ","223,821 ","315,164 "
Colorado,"1,043 ",489 ,"1,532 ","4,146 ","2,221 ","6,367 ","5,189 ","2,710 ","7,899 ","14,369 ","6,024 ","20,393 ","19,559 ","8,734 ","28,293 ","90,313 ","24,207 ","114,520 ","142,813 "
Connecticut,46 ,511 ,557 ,241 ,"1,523 ","1,764 ",287 ,"2,034 ","2,321 ","1,743 ","6,124 ","7,867 ","2,030 ","8,158 ","10,187 ","7,116 ","17,316 ","24,432 ","34,620 "
Delaware,-,65 ,65 ,250 ,366 ,617 ,250 ,432 ,682 ,854 ,"1,002 ","1,856 ","1,105 ","1,434 ","2,538 ","3,739 ","4,047 ","7,787 ","10,325 "
Dist. of Columbia,-,19 ,19 ,-,197 ,197 ,-,216 ,216 ,-,514 ,514 ,-,730 ,730 ,-,"1,695 ","1,695 ","2,425 "
