,STATE,RURAL,URBAN,TOTAL,INTERSTATE,OTHER FREEWAYS  AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL.1,INTERSTATE.1,OTHER FREEWAYS  AND EXPRESSWAYS.1,OTHER PRINCIPAL ARTERIAL.1,MINOR ARTERIAL.1,MAJOR COLLECTOR.1,MINOR COLLECTOR.1,LOCAL.1,TOTAL.2
0,Alabama,571,-,2035,4015,12201,6636,50330,75788,430,27,1298,2345,3622,186,18324,26231,102019,,
1,Alaska,1002,-,802,431,1598,1209,8254,13296,79,-,136,203,252,236,1927,2833,16129,,
2,Arizona,917,18,1210,1284,4204,1882,30285,39800,252,214,843,2635,1943,216,20219,26322,66122,,
3,Arkansas,410,85,1897,3070,11835,6889,61295,85481,293,116,630,1830,2175,242,11842,17128,102609,,
4,California,1209,408,3287,6057,11816,7902,55670,86349,1241,1576,6579,11144,13024,385,75535,109485,195834,,
5,Colorado,648,28,2569,3460,5448,8872,47246,68271,304,324,1068,1808,1856,67,15042,20469,88740,,
6,Connecticut,29,36,119,221,857,417,4005,5683,317,244,710,1673,1814,311,10760,15829,21512,,
7,Delaware,-,25,121,105,435,275,2048,3010,41,31,194,204,366,54,2515,3406,6416,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,12,16,107,164,156,-,1053,1507,1507,,
9,Florida,717,173,2619,2191,4020,3206,23562,36489,778,572,3975,4200,6447,1869,68329,86170,122659,,
10,Georgia,536,-,2350,4712,11667,6758,51764,77788,712,163,2306,4963,3724,685,37793,50346,128134,,
11,Hawaii,-,-,78,255,220,88,1026,1668,55,34,265,192,262,188,1791,2788,4455,,
12,Idaho,521,-,1751,1461,5941,3892,31664,45231,90,-,472,674,736,7,3953,5932,51163,,
13,Illinois,1243,30,2295,4570,13120,3553,71374,96185,942,109,3150,4503,5380,372,35199,49655,145840,,
14,Indiana,768,141,1448,2238,9890,8685,43187,66356,498,171,1676,3177,3317,383,20993,30214,96571,,
15,Iowa,612,-,3419,3891,14236,16022,63790,101969,176,-,906,1658,1297,-,8436,12473,114442,,
16,Kansas,639,404,2627,4248,22449,9394,87019,126780,234,187,338,1358,1757,372,9627,13874,140654,,
17,Kentucky,622,492,1216,2338,5805,9329,45020,64822,220,73,627,1395,1289,190,11243,15035,79857,,
18,Louisiana,532,24,1031,1893,4720,3264,32344,43808,405,72,1074,1959,2162,215,11724,17610,61419,,
19,Maine,299,-,789,953,3281,2151,12438,19910,66,18,134,236,519,18,2010,3001,22911,,
20,Maryland,142,-,335,726,1326,1650,9281,13461,338,305,1183,1551,1961,121,13117,18576,32037,,
21,Massachusetts,64,10,105,315,867,616,4390,6369,510,322,1979,4032,3078,-,20132,30054,36423,,
22,Michigan,566,344,2130,4886,16372,4228,55796,84322,686,357,2361,4952,3905,93,25610,37964,122286,,
23,Minnesota,594,4,3481,6533,15976,11901,78135,116624,320,162,809,2697,2434,98,15624,22144,138767,,
24,Mississippi,554,-,1783,3746,11940,2316,43572,63912,253,64,956,1080,1566,10,8935,12865,76777,,
25,Missouri,842,926,2032,3987,16416,6216,76746,107165,538,478,902,2161,2462,93,17748,24384,131549,,
26,Montana,1094,-,2773,2843,6875,8840,48397,70822,98,-,254,290,404,54,3086,4186,75007,,
27,Nebraska,415,333,2353,4141,11434,8782,59877,87335,67,127,395,791,553,9,5204,7146,94481,,
28,Nevada,448,-,1504,723,2198,2436,26955,34263,150,55,358,887,50,1143,6995,9638,43900,,
29,New Hampshire,142,9,324,626,1039,1067,7876,11083,83,74,222,490,536,-,3651,5056,16138,,
30,New Jersey,45,35,157,290,772,334,4050,5684,387,453,1804,3651,2925,405,23756,33381,39065,,
31,New Mexico,847,-,1941,2252,4545,3151,47977,60712,153,11,684,734,847,305,5622,8356,69069,,
32,New York,803,113,2132,2873,5590,9346,43541,64398,941,815,3098,5569,5541,233,33771,49967,114365,,
33,North Carolina,551,408,1547,3092,7493,6034,46377,65502,720,465,1976,3441,3343,433,30453,40832,106334,,
34,North Dakota,511,-,2963,2516,11988,-,67024,85003,60,-,188,303,329,-,1246,2125,87128,,
35,Ohio,643,331,1518,2649,11029,6273,53049,75492,931,581,2428,3977,5370,598,33548,47434,122926,,
36,Oklahoma,646,-,2252,2665,21129,2986,65110,94790,286,198,1168,2205,1491,118,12455,17922,112711,,
37,Oregon,495,-,2658,2225,8169,8037,37057,58641,234,57,856,1286,2121,495,9853,14902,73544,,
38,Pennsylvania,1112,357,1563,4543,7372,6980,50565,72492,756,527,2812,4017,5478,-,34009,47599,120091,,
39,Rhode Island,18,11,97,72,172,149,842,1361,52,80,343,343,540,33,3295,4686,6046,,
40,South Carolina,546,45,1546,2986,10022,2044,40492,57681,304,84,1064,1769,2821,73,12454,18569,76250,,
41,South Dakota,591,291,2593,2962,12421,6246,54091,79193,88,18,134,431,351,-,2360,3383,82576,,
42,Tennessee,573,-,1737,2969,4933,9843,44279,64336,531,165,1795,2710,2391,1030,22679,31301,95637,,
43,Texas,2001,4,8438,10465,35080,14947,134288,205222,1416,1511,6083,7957,15820,1067,74520,108373,313596,,
44,Utah,684,9,1164,1321,3261,3558,25249,35246,253,44,650,660,1106,375,7964,11052,46299,,
45,Vermont,259,2,312,728,1988,869,8634,12791,62,16,113,151,240,16,864,1462,14252,,
46,Virginia,469,88,1297,3183,7254,4875,30106,47273,653,359,1725,2711,2733,770,18838,27789,75061,,
47,Washington,429,614,1312,2021,8089,6245,37595,56305,335,417,1441,2712,2744,187,16197,24033,80338,,
48,West Virginia,309,9,995,1310,5366,2124,21515,31627,245,14,416,763,1050,90,4565,7143,38770,,
49,Wisconsin,512,142,2931,4746,12084,8475,62824,91716,363,329,1942,2711,2872,0,15438,23656,115372,,
50,Wyoming,808,-,1983,1227,2731,7000,12261,26010,106,3,229,236,516,42,1800,2931,28942,,
51,U.S. Total,28990,5948,89618,133016,409676,257993,2020272,2945513,19063,12038,66855,113592,129677,13885,854104,1209214,4154727,,
52,Puerto Rico (1),43,-,44,225,220,242,2293,3067,254,47,379,932,1120,1,11384,14116,17184,,
53,Grand Total,29033,5948,89663,133241,409895,258236,2022565,2948580,19317,12085,67234,114523,130797,13886,865488,1223331,4171911,,
