YEAR,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL ESTIMATED LANE MILEAGE
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,
1980,"130,980 ", ,"201,334 ","305,764 ","832,041 ","599,226 ","4,457,584 ","6,526,929 ","48,458 ","29,487 ","141,927 ","162,259 ","145,128 ", ,"867,986 ","1,395,245 ","7,922,174 "
1981,"128,301 ", ,"193,624 ","293,235 ","816,564 ","599,048 ","4,434,670 ","6,465,442 ","47,712 ","29,033 ","140,229 ","159,715 ","143,195 ", ,"871,234 ","1,391,118 ","7,856,560 "
1982,"132,011 ", ,"203,147 ","312,129 ","885,115 ","597,920 ","4,448,994 ","6,579,316 ","50,187 ","30,609 ","148,203 ","170,539 ","150,373 ", ,"883,686 ","1,433,597 ","8,012,913 "
1983,"131,825 ", ,"202,488 ","309,549 ","884,357 ","600,138 ","4,441,024 ","6,569,381 ","54,217 ","30,558 ","153,577 ","175,775 ","157,690 ", ,"913,870 ","1,485,687 ","8,055,068 "
1984,"131,245 ", ,"201,918 ","308,416 ","872,089 ","596,504 ","4,449,220 ","6,559,392 ","56,616 ","31,111 ","157,813 ","179,877 ","161,784 ", ,"929,556 ","1,516,757 ","8,076,149 "
1985,"131,907 ", ,"202,421 ","307,584 ","873,469 ","593,320 ","4,366,954 ","6,475,655 ","57,295 ","31,565 ","159,200 ","180,884 ","162,377 ", ,"951,018 ","1,542,339 ","8,017,994 "
1986,"131,937 ", ,"203,852 ","309,556 ","872,225 ","591,172 ","4,374,120 ","6,482,862 ","58,898 ","32,054 ","161,024 ","186,262 ","160,746 ", ,"966,666 ","1,565,650 ","8,048,512 "
1987,"133,452 ", ,"203,535 ","308,939 ","878,187 ","589,586 ","4,345,088 ","6,458,787 ","59,835 ","32,546 ","166,762 ","190,230 ","164,361 ", ,"978,494 ","1,592,228 ","8,051,015 "
1988,"134,485 ", ,"205,113 ","309,104 ","879,783 ","588,136 ","4,277,520 ","6,394,141 ","60,595 ","33,500 ","168,626 ","190,069 ","165,523 ", ,"1,035,554 ","1,653,867 ","8,048,008 "
1989,"134,960 ", ,"205,654 ","308,308 ","880,182 ","588,848 ","4,261,604 ","6,379,556 ","61,786 ","33,460 ","170,423 ","189,113 ","168,546 ", ,"1,060,068 ","1,683,396 ","8,062,952 "
1990,"135,871 ", ,"214,246 ","303,096 ","879,758 ","587,844 ","4,259,770 ","6,380,585 ","62,214 ","34,286 ","174,255 ","190,835 ","167,770 ", ,"1,041,136 ","1,670,496 ","8,051,081 "
1991,"136,503 ", ,"220,796 ","297,017 ","880,539 ","587,022 ","4,283,164 ","6,405,041 ","62,826 ","34,736 ","176,536 ","191,088 ","165,288 ", ,"1,052,278 ","1,682,752 ","8,087,793 "
1992,"133,467 ", ,"237,397 ","289,317 ","872,458 ","569,008 ","4,263,712 ","6,365,359 ","67,266 ","38,160 ","174,368 ","205,680 ","176,137 ", ,"1,097,120 ","1,758,731 ","8,124,090 "
1993,"132,138 ", ,"240,574 ","285,332 ","870,109 ","564,364 ","4,235,904 ","6,328,421 ","69,184 ","39,588 ","176,261 ","219,537 ","179,653 ", ,"1,119,552 ","1,803,775 ","8,132,196 "
1994,"131,266 ", ,"242,131 ","287,687 ","868,167 ","564,022 ","4,223,864 ","6,317,137 ","70,832 ","40,126 ","179,061 ","223,287 ","183,353 ", ,"1,129,218 ","1,825,877 ","8,143,014 "
1995,"131,916 ", ,"244,888 ","285,818 ","869,266 ","548,162 ","4,238,096 ","6,318,146 ","71,377 ","40,293 ","179,815 ","225,720 ","185,032 ", ,"1,137,870 ","1,840,107 ","8,158,253 "
1996,"132,963 ", ,"246,521 ","286,335 ","870,266 ","546,396 ","4,238,524 ","6,321,005 ","71,790 ","40,784 ","181,477 ","227,219 ","186,923 ", ,"1,149,456 ","1,857,649 ","8,178,654 "
1997,"133,165 ", ,"248,641 ","288,348 ","873,913 ","544,724 ","4,270,970 ","6,359,761 ","72,257 ","41,180 ","183,302 ","229,141 ","188,850 ", ,"1,167,946 ","1,882,676 ","8,242,437 "
1998,"133,211 ", ,"251,057 ","286,937 ","871,495 ","544,279 ","4,182,252 ","6,269,231 ","72,835 ","41,655 ","183,382 ","229,189 ","187,533 ", ,"1,177,011 ","1,891,605 ","8,160,836 "
1999,"134,198 ", ,"252,411 ","286,882 ","870,604 ","543,349 ","4,194,553 ","6,281,997 ","73,293 ","41,542 ","184,830 ","224,039 ","186,334 ", ,"1,185,948 ","1,895,986 ","8,177,983 "
2000,"134,587 ", ,"253,294 ","287,163 ","871,053 ","543,614 ","4,219,031 ","6,308,742 ","73,912 ","41,813 ","186,134 ","228,234 ","188,570 ", ,"1,196,840 ","1,915,503 ","8,224,245 "
2001,"134,659 ", ,"254,968 ","287,369 ","871,393 ","542,762 ","4,193,670 ","6,284,821 ","74,482 ","41,964 ","185,737 ","229,844 ","189,538 ", ,"1,245,479 ","1,967,044 ","8,251,865 "
2002,"134,570 ", ,"256,211 ","287,800 ","867,353 ","541,399 ","4,201,402 ","6,288,735 ","75,106 ","43,236 ","187,619 ","231,999 ","190,843 ", ,"1,277,632 ","2,006,435 ","8,295,170 "
2003,"130,384 ", ,"251,044 ","283,234 ","853,472 ","535,043 ","4,153,294 ","6,206,471 ","79,591 ","45,645 ","198,512 ","240,014 ","207,356 ", ,"1,337,532 ","2,108,650 ","8,315,121 "
2004,"127,889 ", ,"249,339 ","282,706 ","845,025 ","535,687 ","4,099,020 ","6,139,666 ","82,926 ","47,511 ","209,198 ","248,619 ","217,650 ", ,"1,393,251 ","2,199,155 ","8,338,821 "
2005,"125,564 ", ,"247,561 ","281,994 ","844,578 ","528,770 ","4,079,891 ","6,108,358 ","85,986 ","49,025 ","216,462 ","258,351 ","225,548 ", ,"1,427,988 ","2,263,360 ","8,371,718 "
2006,"124,380 ", ,"248,097 ","282,024 ","842,785 ","525,686 ","4,089,015 ","6,111,987 ","87,944 ","49,891 ","220,437 ","262,605 ","231,853 ", ,"1,455,872 ","2,308,602 ","8,420,589 "
2007,"123,512 ", ,"248,553 ","281,923 ","843,699 ","525,801 ","4,090,007 ","6,113,495 ","89,270 ","50,845 ","223,061 ","266,283 ","233,853 ", ,"1,480,546 ","2,343,858 ","8,457,353 "
2008,"122,825 ", ,"249,998 ","280,608 ","840,864 ","525,215 ","4,072,433 ","6,091,943 ","90,763 ","52,780 ","227,520 ","272,077 ","242,715 ", ,"1,506,171 ","2,392,026 ","8,483,969 "
