,YEAR,RURAL,URBAN,TOTAL ESTIMATED LANE MILEAGE,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,TOTAL,INTERSTATE.1,OTHER FREEWAYS AND EXPRESSWAYS.1,OTHER PRINCIPAL ARTERIAL.1,MINOR ARTERIAL.1,MAJOR COLLECTOR.1,MINOR COLLECTOR.1,LOCAL.1,TOTAL.1
0,1980,130980,,201334,305764,832041,599226,4457584,6526929,48458,29487,141927,162259,145128,,867986,1395245,7922174,,
1,1981,128301,,193624,293235,816564,599048,4434670,6465442,47712,29033,140229,159715,143195,,871234,1391118,7856560,,
2,1982,132011,,203147,312129,885115,597920,4448994,6579316,50187,30609,148203,170539,150373,,883686,1433597,8012913,,
3,1983,131825,,202488,309549,884357,600138,4441024,6569381,54217,30558,153577,175775,157690,,913870,1485687,8055068,,
4,1984,131245,,201918,308416,872089,596504,4449220,6559392,56616,31111,157813,179877,161784,,929556,1516757,8076149,,
5,1985,131907,,202421,307584,873469,593320,4366954,6475655,57295,31565,159200,180884,162377,,951018,1542339,8017994,,
6,1986,131937,,203852,309556,872225,591172,4374120,6482862,58898,32054,161024,186262,160746,,966666,1565650,8048512,,
7,1987,133452,,203535,308939,878187,589586,4345088,6458787,59835,32546,166762,190230,164361,,978494,1592228,8051015,,
8,1988,134485,,205113,309104,879783,588136,4277520,6394141,60595,33500,168626,190069,165523,,1035554,1653867,8048008,,
9,1989,134960,,205654,308308,880182,588848,4261604,6379556,61786,33460,170423,189113,168546,,1060068,1683396,8062952,,
10,1990,135871,,214246,303096,879758,587844,4259770,6380585,62214,34286,174255,190835,167770,,1041136,1670496,8051081,,
11,1991,136503,,220796,297017,880539,587022,4283164,6405041,62826,34736,176536,191088,165288,,1052278,1682752,8087793,,
12,1992,133467,,237397,289317,872458,569008,4263712,6365359,67266,38160,174368,205680,176137,,1097120,1758731,8124090,,
13,1993,132138,,240574,285332,870109,564364,4235904,6328421,69184,39588,176261,219537,179653,,1119552,1803775,8132196,,
14,1994,131266,,242131,287687,868167,564022,4223864,6317137,70832,40126,179061,223287,183353,,1129218,1825877,8143014,,
15,1995,131916,,244888,285818,869266,548162,4238096,6318146,71377,40293,179815,225720,185032,,1137870,1840107,8158253,,
16,1996,132963,,246521,286335,870266,546396,4238524,6321005,71790,40784,181477,227219,186923,,1149456,1857649,8178654,,
17,1997,133165,,248641,288348,873913,544724,4270970,6359761,72257,41180,183302,229141,188850,,1167946,1882676,8242437,,
18,1998,133211,,251057,286937,871495,544279,4182252,6269231,72835,41655,183382,229189,187533,,1177011,1891605,8160836,,
19,1999,134198,,252411,286882,870604,543349,4194553,6281997,73293,41542,184830,224039,186334,,1185948,1895986,8177983,,
20,2000,134587,,253294,287163,871053,543614,4219031,6308742,73912,41813,186134,228234,188570,,1196840,1915503,8224245,,
21,2001,134659,,254968,287369,871393,542762,4193670,6284821,74482,41964,185737,229844,189538,,1245479,1967044,8251865,,
22,2002,134570,,256211,287800,867353,541399,4201402,6288735,75106,43236,187619,231999,190843,,1277632,2006435,8295170,,
23,2003,130384,,251044,283234,853472,535043,4153294,6206471,79591,45645,198512,240014,207356,,1337532,2108650,8315121,,
24,2004,127889,,249339,282706,845025,535687,4099020,6139666,82926,47511,209198,248619,217650,,1393251,2199155,8338821,,
25,2005,125564,,247561,281994,844578,528770,4079891,6108358,85986,49025,216462,258351,225548,,1427988,2263360,8371718,,
26,2006,124380,,248097,282024,842785,525686,4089015,6111987,87944,49891,220437,262605,231853,,1455872,2308602,8420589,,
27,2007,123512,,248553,281923,843699,525801,4090007,6113495,89270,50845,223061,266283,233853,,1480546,2343858,8457353,,
28,2008,122825,,249998,280608,840864,525215,4072433,6091943,90763,52780,227520,272077,242715,,1506171,2392026,8483969,,
29,2009,122039,3142.0,248086,286748,853950,525962,4065822,6105749,92047,52841,233108,286430,254838,188.0,1551976,2471430,8577179,,
30,2010,123671,15729.0,239904,287172,856676,525574,4069274,6118000,92254,53117,233223,283706,249780,7417.0,1544764,2464261,8582261,,
31,2011,123835,15691.0,240023,282569,843318,526107,4075567,6107109,92714,53852,230272,277348,244712,7329.0,1554283,2460509,8567618,,
32,2012,124766,16593.0,240520,281196,842234,524380,4073952,6103641,94096,53916,233076,281455,248206,7948.0,1583665,2502362,8606003,,
33,2013,120863,18395.0,236168,276016,833989,524979,4004799,6015209,98934,54615,238832,288452,260080,11052.0,1688897,2640861,8656070,,
34,2014,118688,20677.0,233985,274271,823609,517026,4098098,6086353,102541,55385,231099,287061,272931,25168.0,1705510,2679696,8766049,,
35,2015,118252,22896.0,231326,274794,822257,515986,4040544,6026054,104738,56669,236981,295909,278606,29422.0,1708209,2710533,8736587,,
