,STATE,OPEN  TO     TRAFFIC,NOT  OPEN     TO  TRAFFIC,TOTAL,INTERSTATE,OTHER,TOTAL.1,TOTAL.2,RURAL,URBAN,TOTAL.3,RURAL.1,URBAN.1,TOTAL.4,RURAL.2,URBAN.2,TOTAL.5,RURAL.3,URBAN.3,TOTAL.6,RURAL.4,URBAN.4,TOTAL.7
0,Alabama,571,430,1001,2012,1268,3280,2583,1698,4281,-,-,-,2583,1698,4281,,,,,,,
1,Alaska,1002,79,1081,991,156,1147,1993,235,2228,-,-,-,1993,235,2228,,,,,,,
2,Arizona,917,252,1169,1207,814,2021,2124,1066,3190,-,-,-,2124,1066,3190,,,,,,,
3,Arkansas,410,293,703,1975,697,2672,2385,990,3375,-,-,-,2385,990,3375,,,,,,,
4,California,1209,1241,2451,3625,8044,11669,4835,9285,14120,-,-,-,4835,9285,14120,,,,,,,
5,Colorado,648,304,952,2576,1380,3957,3225,1684,4908,-,-,-,3225,1684,4908,,,,,,,
6,Connecticut,29,317,346,150,946,1096,178,1264,1442,-,-,-,178,1264,1442,,,,,,,
7,Delaware,-,41,41,156,228,383,156,268,424,-,-,-,156,268,424,,,,,,,
8,Dist. of Columbia,-,12,12,-,122,122,-,134,134,-,-,-,-,134,134,,,,,,,
9,Florida,717,778,1495,2744,4531,7274,3461,5309,8770,-,-,-,3461,5309,8770,,,,,,,
10,Georgia,536,712,1247,3132,2796,5928,3668,3508,7175,-,-,-,3668,3508,7175,,,,,,,
11,Hawaii,-,55,55,80,314,394,80,369,449,-,-,-,80,369,449,,,,,,,
12,Idaho,521,90,612,1717,396,2113,2238,487,2725,-,-,-,2238,487,2725,,,,,,,
13,Illinois,1243,942,2185,2311,3359,5670,3555,4300,7855,-,-,-,3555,4300,7855,,,,,,,
14,Indiana,768,498,1265,1647,1945,3592,2415,2443,4858,-,-,-,2415,2443,4858,,,,,,,
15,Iowa,612,176,788,3419,927,4346,4031,1103,5134,-,0,0,4031,1103,5134,,,,,,,
16,Kansas,639,234,874,3031,531,3562,3671,765,4436,-,-,-,3671,765,4436,,,,,,,
17,Kentucky,622,220,842,1720,717,2437,2342,937,3280,-,-,-,2342,937,3280,,,,,,,
18,Louisiana,532,405,937,1135,1161,2296,1668,1566,3234,-,-,-,1668,1566,3234,,,,,,,
19,Maine,299,66,365,795,166,962,1095,232,1327,-,-,-,1095,232,1327,,,,,,,
20,Maryland,142,338,480,363,1498,1861,505,1836,2341,-,-,-,505,1836,2341,,,,,,,
21,Massachusetts,64,510,575,121,2209,2330,185,2719,2904,-,-,-,185,2719,2904,,,,,,,
22,Michigan,566,686,1252,2484,2734,5218,3050,3420,6470,-,-,-,3050,3420,6470,,,,,,,
