,STATE,NATIONAL  HIGHWAY  SYSTEM - URBAN,INTERSTATE  SYSTEM ,OTHER ,TOTAL ,AVERAGE  DAILY  TRAFFIC  VOLUME ,TOTAL,AVERAGE  DAILY  TRAFFIC  VOLUME .1,TOTAL.1,"LESS  THAN 30,000 ","30,000- 69,999 ","70,000- 124,999 ","125,000- 174,999 ","175,000 AND  OVER ","LESS  THAN 7,500 ","7,500- 14,999 ","15,000- 34,999 ","35,000- 59,999 ","60,000 AND  OVER "
0,Alabama,79,224,114,12,-,430,127,353,659,107,22,1268,1698,,,,,
1,Alaska,52,27,-,-,-,79,22,49,78,8,-,156,235,,,,,
2,Arizona,57,92,48,30,25,252,39,138,304,189,145,814,1066,,,,,
3,Arkansas,83,148,61,2,-,293,144,208,300,36,10,697,990,,,,,
4,California,61,116,238,270,557,1241,972,1254,3442,1176,1199,8044,9285,,,,,
5,Colorado,70,76,96,35,27,304,92,245,687,274,81,1380,1684,,,,,
6,Connecticut,16,105,137,60,-,317,93,334,351,92,77,946,1264,,,,,
7,Delaware,0,15,17,5,4,41,4,22,129,56,17,228,268,,,,,
8,Dist. of Columbia,0,1,7,2,1,12,2,13,76,22,9,122,134,,,,,
9,Florida,40,249,274,132,84,778,164,664,1892,1395,416,4531,5309,,,,,
10,Georgia,26,336,182,83,84,712,530,758,1180,260,69,2796,3508,,,,,
11,Hawaii,7,14,22,7,4,55,23,100,141,44,7,314,369,,,,,
12,Idaho,40,31,19,-,-,90,88,141,151,15,1,396,487,,,,,
13,Illinois,296,311,138,142,55,942,729,1017,1341,237,34,3359,4300,,,,,
14,Indiana,107,248,105,29,9,498,317,701,825,100,2,1945,2443,,,,,
15,Iowa,51,87,35,2,-,176,301,339,279,8,-,927,1103,,,,,
16,Kansas,88,95,38,14,-,234,141,182,166,23,19,531,765,,,,,
17,Kentucky,9,96,81,30,5,220,64,189,373,75,16,717,937,,,,,
18,Louisiana,28,258,98,16,4,405,100,300,621,136,4,1161,1566,,,,,
19,Maine,26,39,1,-,-,66,16,88,60,2,-,166,232,,,,,
20,Maryland,12,64,123,52,87,338,70,226,701,338,164,1498,1836,,,,,
21,Massachusetts,24,159,228,82,17,510,282,765,809,240,113,2209,2719,,,,,
22,Michigan,115,319,156,87,9,686,260,779,1263,281,151,2734,3420,,,,,
23,Minnesota,56,84,147,27,5,320,153,255,337,126,95,965,1286,,,,,
24,Mississippi,90,122,40,1,-,253,226,361,384,42,0,1014,1267,,,,,
25,Missouri,122,179,176,50,11,538,143,352,673,173,39,1380,1918,,,,,
26,Montana,97,1,-,-,-,98,68,69,75,5,-,217,315,,,,,
27,Nebraska,16,33,7,11,-,67,81,163,215,22,11,491,558,,,,,
28,Nevada,45,39,31,24,11,150,31,84,197,72,37,421,571,,,,,
29,New Hampshire,5,37,41,-,-,83,21,106,129,41,21,318,402,,,,,
30,New Jersey,4,86,201,64,32,387,131,525,993,376,321,2346,2732,,,,,
31,New Mexico,78,50,8,10,7,153,107,225,228,43,2,605,758,,,,,
32,New York,248,398,193,89,14,941,600,1247,1478,364,312,4001,4942,,,,,
33,North Carolina,58,364,248,46,4,720,184,610,1258,330,59,2442,3163,,,,,
34,North Dakota,49,10,1,-,-,60,62,56,66,1,-,186,246,,,,,
35,Ohio,93,467,293,77,2,931,579,1193,1221,167,44,3204,4135,,,,,
36,Oklahoma,96,110,67,13,-,286,190,329,400,66,48,1032,1319,,,,,
37,Oregon,60,90,47,37,1,234,108,301,428,56,28,921,1155,,,,,
38,Pennsylvania,169,431,116,26,13,756,441,1361,1280,266,67,3416,4172,,,,,
39,Rhode Island,-,21,13,17,0,52,30,183,167,32,12,424,476,,,,,
40,South Carolina,32,139,125,9,-,304,88,377,554,138,4,1161,1465,,,,,
41,South Dakota,65,22,-,-,-,88,67,57,28,-,-,153,240,,,,,
42,Tennessee,39,273,139,72,9,531,227,558,935,190,39,1948,2479,,,,,
43,Texas,179,488,348,240,161,1416,901,1618,3030,775,608,6932,8348,,,,,
44,Utah,75,60,59,38,22,253,147,172,356,86,9,770,1023,,,,,
45,Vermont,44,18,-,-,-,62,29,72,27,1,-,129,191,,,,,
46,Virginia,44,337,145,91,36,653,252,491,942,359,106,2150,2803,,,,,
47,Washington,52,101,68,72,41,335,188,509,917,173,81,1867,2202,,,,,
48,West Virginia,80,150,15,-,-,245,67,148,196,15,-,426,671,,,,,
49,Wisconsin,91,167,77,28,-,363,457,736,613,94,23,1923,2286,,,,,
50,Wyoming,106,-,-,-,-,106,106,83,42,-,-,232,338,,,,,
51,U.S. Total,3379,7387,4824,2133,1340,19063,10264,21107,32996,9127,4522,78015,97078,,,,,
52,Puerto Rico (2),33,140,42,10,8,233,5,17,39,26,29,116,349,,,,,
53,Grand Total,3412,7527,4866,2143,1348,19296,10269,21124,33035,9153,4551,78131,97427,,,,,
