STATE,NATIONAL  HIGHWAY  SYSTEM - URBAN,,,,,,,,,,,,
,INTERSTATE  SYSTEM ,,,,,,OTHER ,,,,,,TOTAL 
,AVERAGE  DAILY  TRAFFIC  VOLUME ,,,,,TOTAL,AVERAGE  DAILY  TRAFFIC  VOLUME ,,,,,TOTAL,
,"LESS  THAN 30,000 ","30,000- 69,999 ","70,000- 124,999 ","125,000- 174,999 ","175,000 AND  OVER ",,"LESS  THAN 7,500 ","7,500- 14,999 ","15,000- 34,999 ","35,000- 59,999 ","60,000 AND  OVER ",,
Alabama,79 ,224 ,114 ,12 ,-,430 ,127 ,353 ,659 ,107 ,22 ,"1,268 ","1,698 "
Alaska,52 ,27 ,-,-,-,79 ,22 ,49 ,78 ,8 ,-,156 ,235 
Arizona,57 ,92 ,48 ,30 ,25 ,252 ,39 ,138 ,304 ,189 ,145 ,814 ,"1,066 "
Arkansas,83 ,148 ,61 ,2 ,-,293 ,144 ,208 ,300 ,36 ,10 ,697 ,990 
California,61 ,116 ,238 ,270 ,557 ,"1,241 ",972 ,"1,254 ","3,442 ","1,176 ","1,199 ","8,044 ","9,285 "
Colorado,70 ,76 ,96 ,35 ,27 ,304 ,92 ,245 ,687 ,274 ,81 ,"1,380 ","1,684 "
Connecticut,16 ,105 ,137 ,60 ,-,317 ,93 ,334 ,351 ,92 ,77 ,946 ,"1,264 "
Delaware,0 ,15 ,17 ,5 ,4 ,41 ,4 ,22 ,129 ,56 ,17 ,228 ,268 
Dist. of Columbia,0 ,1 ,7 ,2 ,1 ,12 ,2 ,13 ,76 ,22 ,9 ,122 ,134 
Florida,40 ,249 ,274 ,132 ,84 ,778 ,164 ,664 ,"1,892 ","1,395 ",416 ,"4,531 ","5,309 "
Georgia,26 ,336 ,182 ,83 ,84 ,712 ,530 ,758 ,"1,180 ",260 ,69 ,"2,796 ","3,508 "
Hawaii,7 ,14 ,22 ,7 ,4 ,55 ,23 ,100 ,141 ,44 ,7 ,314 ,369 
Idaho,40 ,31 ,19 ,-,-,90 ,88 ,141 ,151 ,15 ,1 ,396 ,487 
Illinois,296 ,311 ,138 ,142 ,55 ,942 ,729 ,"1,017 ","1,341 ",237 ,34 ,"3,359 ","4,300 "
Indiana,107 ,248 ,105 ,29 ,9 ,498 ,317 ,701 ,825 ,100 ,2 ,"1,945 ","2,443 "
Iowa,51 ,87 ,35 ,2 ,-,176 ,301 ,339 ,279 ,8 ,-,927 ,"1,103 "
Kansas,88 ,95 ,38 ,14 ,-,234 ,141 ,182 ,166 ,23 ,19 ,531 ,765 
Kentucky,9 ,96 ,81 ,30 ,5 ,220 ,64 ,189 ,373 ,75 ,16 ,717 ,937 
Louisiana,28 ,258 ,98 ,16 ,4 ,405 ,100 ,300 ,621 ,136 ,4 ,"1,161 ","1,566 "
Maine,26 ,39 ,1 ,-,-,66 ,16 ,88 ,60 ,2 ,-,166 ,232 
Maryland,12 ,64 ,123 ,52 ,87 ,338 ,70 ,226 ,701 ,338 ,164 ,"1,498 ","1,836 "
Massachusetts,24 ,159 ,228 ,82 ,17 ,510 ,282 ,765 ,809 ,240 ,113 ,"2,209 ","2,719 "
Michigan,115 ,319 ,156 ,87 ,9 ,686 ,260 ,779 ,"1,263 ",281 ,151 ,"2,734 ","3,420 "
Minnesota,56 ,84 ,147 ,27 ,5 ,320 ,153 ,255 ,337 ,126 ,95 ,965 ,"1,286 "
Mississippi,90 ,122 ,40 ,1 ,-,253 ,226 ,361 ,384 ,42 ,0 ,"1,014 ","1,267 "
Missouri,122 ,179 ,176 ,50 ,11 ,538 ,143 ,352 ,673 ,173 ,39 ,"1,380 ","1,918 "
Montana,97 ,1 ,-,-,-,98 ,68 ,69 ,75 ,5 ,-,217 ,315 
Nebraska,16 ,33 ,7 ,11 ,-,67 ,81 ,163 ,215 ,22 ,11 ,491 ,558 
Nevada,45 ,39 ,31 ,24 ,11 ,150 ,31 ,84 ,197 ,72 ,37 ,421 ,571 
New Hampshire,5 ,37 ,41 ,-,-,83 ,21 ,106 ,129 ,41 ,21 ,318 ,402 
New Jersey,4 ,86 ,201 ,64 ,32 ,387 ,131 ,525 ,993 ,376 ,321 ,"2,346 ","2,732 "
New Mexico,78 ,50 ,8 ,10 ,7 ,153 ,107 ,225 ,228 ,43 ,2 ,605 ,758 
New York,248 ,398 ,193 ,89 ,14 ,941 ,600 ,"1,247 ","1,478 ",364 ,312 ,"4,001 ","4,942 "
North Carolina,58 ,364 ,248 ,46 ,4 ,720 ,184 ,610 ,"1,258 ",330 ,59 ,"2,442 ","3,163 "
North Dakota,49 ,10 ,1 ,-,-,60 ,62 ,56 ,66 ,1 ,-,186 ,246 
Ohio,93 ,467 ,293 ,77 ,2 ,931 ,579 ,"1,193 ","1,221 ",167 ,44 ,"3,204 ","4,135 "
Oklahoma,96 ,110 ,67 ,13 ,-,286 ,190 ,329 ,400 ,66 ,48 ,"1,032 ","1,319 "
