STATE,RURAL ,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,
Alabama,571 ,-,"1,986 ",20 ,5 ,-,-,"2,583 ",430 ,27 ,"1,167 ",56 ,11 ,-,8 ,"1,698 ","4,281 "
Alaska,"1,002 ",-,802 ,154 ,33 ,1 ,0 ,"1,993 ",79 ,-,136 ,18 ,3 ,-,0 ,235 ,"2,228 "
Arizona,917 ,18 ,"1,164 ",6 ,20 ,-,-,"2,124 ",252 ,209 ,586 ,15 ,3 ,-,-,"1,066 ","3,190 "
Arkansas,410 ,85 ,"1,880 ",7 ,3 ,1 ,0 ,"2,385 ",293 ,116 ,532 ,36 ,9 ,-,4 ,990 ,"3,375 "
California,"1,209 ",404 ,"3,159 ",18 ,37 ,-,7 ,"4,835 ","1,241 ","1,554 ","6,364 ",78 ,23 ,-,24 ,"9,285 ","14,120 "
Colorado,648 ,28 ,"2,547 ",-,1 ,-,-,"3,225 ",304 ,324 ,"1,034 ",17 ,4 ,-,-,"1,684 ","4,908 "
Connecticut,29 ,36 ,114 ,-,-,-,-,178 ,317 ,243 ,701 ,1 ,0 ,-,0 ,"1,264 ","1,442 "
Delaware,-,25 ,121 ,10 ,-,-,-,156 ,41 ,31 ,189 ,8 ,-,-,-,268 ,424 
Dist. of Columbia,-,-,-,-,-,-,-,-,12 ,16 ,107 ,-,-,-,-,134 ,134 
Florida,717 ,173 ,"2,559 ",5 ,7 ,-,-,"3,461 ",778 ,570 ,"3,778 ",150 ,22 ,4 ,6 ,"5,309 ","8,770 "
Georgia,536 ,-,"2,346 ",720 ,66 ,-,1 ,"3,668 ",712 ,163 ,"2,252 ",338 ,26 ,1 ,16 ,"3,508 ","7,175 "
Hawaii,-,-,78 ,1 ,-,-,1 ,80 ,55 ,34 ,265 ,2 ,1 ,-,13 ,369 ,449 
Idaho,521 ,-,"1,706 ",10 ,-,-,-,"2,238 ",90 ,-,382 ,13 ,1 ,-,-,487 ,"2,725 "
Illinois,"1,243 ",30 ,"2,246 ",17 ,15 ,-,2 ,"3,555 ",942 ,109 ,"3,018 ",165 ,58 ,0 ,9 ,"4,300 ","7,855 "
Indiana,768 ,139 ,"1,407 ",46 ,51 ,-,4 ,"2,415 ",498 ,168 ,"1,519 ",220 ,36 ,1 ,1 ,"2,443 ","4,858 "
Iowa,612 ,-,"3,419 ",0 ,-,-,-,"4,031 ",176 ,-,905 ,21 ,0 ,-,1 ,"1,103 ","5,134 "
Kansas,639 ,404 ,"2,627 ",-,-,-,-,"3,671 ",234 ,187 ,338 ,3 ,2 ,0 ,-,765 ,"4,436 "
Kentucky,622 ,492 ,"1,216 ",4 ,8 ,-,0 ,"2,342 ",220 ,73 ,626 ,7 ,6 ,1 ,4 ,937 ,"3,280 "
Louisiana,532 ,24 ,"1,026 ",52 ,33 ,-,1 ,"1,668 ",405 ,72 ,985 ,85 ,11 ,0 ,7 ,"1,566 ","3,234 "
Maine,299 ,-,789 ,6 ,-,-,1 ,"1,095 ",66 ,18 ,134 ,8 ,6 ,-,0 ,232 ,"1,327 "
Maryland,142 ,-,335 ,26 ,2 ,-,-,505 ,338 ,301 ,"1,148 ",34 ,9 ,-,5 ,"1,836 ","2,341 "
Massachusetts,64 ,10 ,105 ,5 ,-,-,-,185 ,510 ,322 ,"1,829 ",44 ,7 ,-,7 ,"2,719 ","2,904 "
Michigan,566 ,344 ,"2,130 ",3 ,7 ,-,-,"3,050 ",686 ,357 ,"2,361 ",12 ,4 ,-,0 ,"3,420 ","6,470 "
Minnesota,594 ,4 ,"3,462 ",0 ,-,-,0 ,"4,061 ",320 ,162 ,789 ,8 ,3 ,-,3 ,"1,286 ","5,346 "
Mississippi,554 ,-,"1,783 ",23 ,4 ,-,2 ,"2,367 ",253 ,64 ,937 ,13 ,-,-,0 ,"1,267 ","3,634 "
Missouri,842 ,926 ,"2,026 ",31 ,6 ,-,0 ,"3,831 ",538 ,475 ,898 ,3 ,3 ,-,0 ,"1,918 ","5,749 "
Montana,"1,094 ",-,"2,773 ",-,-,-,-,"3,867 ",98 ,-,217 ,-,-,-,-,315 ,"4,182 "
Nebraska,415 ,329 ,"2,352 ",60 ,4 ,-,-,"3,160 ",67 ,119 ,362 ,9 ,2 ,-,-,558 ,"3,718 "
Nevada,448 ,-,"1,504 ",35 ,-,-,-,"1,986 ",150 ,55 ,358 ,5 ,-,4 ,-,571 ,"2,557 "
New Hampshire,142 ,9 ,324 ,55 ,-,-,-,530 ,83 ,74 ,222 ,20 ,1 ,-,1 ,402 ,931 
New Jersey,45 ,35 ,157 ,-,-,-,-,238 ,387 ,453 ,"1,803 ",74 ,15 ,0 ,0 ,"2,732 ","2,970 "
New Mexico,847 ,-,"1,760 ",11 ,0 ,-,-,"2,618 ",153 ,11 ,553 ,28 ,10 ,3 ,-,758 ,"3,377 "
New York,803 ,113 ,"2,132 ",7 ,1 ,-,-,"3,055 ",941 ,815 ,"3,094 ",66 ,21 ,1 ,6 ,"4,942 ","7,997 "
North Carolina,551 ,395 ,"1,349 ",198 ,190 ,1 ,17 ,"2,702 ",720 ,438 ,"1,762 ",221 ,18 ,-,3 ,"3,163 ","5,865 "
North Dakota,511 ,-,"2,963 ",-,0 ,-,-,"3,475 ",60 ,-,186 ,-,-,-,-,246 ,"3,721 "
Ohio,643 ,329 ,"1,445 ",39 ,14 ,-,0 ,"2,470 ",931 ,578 ,"2,264 ",312 ,34 ,-,15 ,"4,135 ","6,605 "
Oklahoma,646 ,-,"2,239 ",1 ,5 ,-,-,"2,892 ",286 ,195 ,828 ,6 ,4 ,-,-,"1,319 ","4,210 "
Oregon,495 ,-,"2,654 ",-,2 ,-,3 ,"3,153 ",234 ,57 ,825 ,27 ,5 ,0 ,6 ,"1,155 ","4,308 "
Pennsylvania,"1,112 ",357 ,"1,563 ",9 ,6 ,-,0 ,"3,046 ",756 ,527 ,"2,808 ",58 ,23 ,-,0 ,"4,172 ","7,218 "
Rhode Island,18 ,11 ,97 ,-,-,-,-,126 ,52 ,80 ,343 ,0 ,1 ,-,-,476 ,602 
South Carolina,546 ,45 ,"1,546 ",0 ,-,-,-,"2,137 ",304 ,84 ,"1,064 ",10 ,3 ,-,-,"1,465 ","3,602 "
