,STATE,RURAL ,URBAN,TOTAL,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE .1,OTHER FREEWAYS AND EXPRESSWAYS .1,OTHER PRINCIPAL ARTERIAL .1,MINOR ARTERIAL .1,MAJOR COLLECTOR .1,MINOR COLLECTOR .1,LOCAL .1,TOTAL .1
0,Alabama,2401,-,5933,46,10,-,-,8391,2157,126,4438,162,30,-,16,6928,15320,,
1,Alaska,2044,-,1623,306,67,2,1,4043,242,-,487,38,6,-,0,773,4815,,
2,Arizona,3708,70,3304,11,50,-,-,7143,1462,1515,2633,66,7,-,-,5683,12826,,
3,Arkansas,1638,339,4959,16,6,1,0,6960,1353,482,1897,109,21,-,7,3868,10828,,
4,California,5387,1668,8121,42,76,-,20,15315,9656,9405,22830,214,59,-,69,42232,57547,,
5,Colorado,2628,112,5730,-,3,-,-,8472,1512,1363,3996,44,11,-,-,6928,15400,,
6,Connecticut,150,141,239,-,-,-,-,530,1718,996,1865,3,1,-,0,4583,5113,,
7,Delaware,-,108,403,20,-,-,-,531,256,139,745,23,-,-,-,1163,1693,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,78,69,441,-,-,-,-,589,589,,
9,Florida,3376,673,7235,11,14,-,-,11309,4774,2839,16677,535,62,14,15,24916,36225,,
10,Georgia,2559,-,7593,1673,137,-,2,11964,4419,751,8358,1065,71,1,39,14703,26667,,
11,Hawaii,-,-,157,2,-,-,2,161,342,152,821,7,2,-,25,1349,1510,,
12,Idaho,2084,-,3965,22,-,-,-,6071,447,-,1109,29,1,-,-,1586,7657,,
13,Illinois,5042,120,5027,36,31,-,5,10261,4880,456,10277,466,143,0,19,16241,26502,,
14,Indiana,3111,545,3849,92,104,-,7,7709,2459,660,5138,582,77,2,4,8921,16630,,
15,Iowa,2443,-,8840,1,-,-,-,11284,830,-,3105,59,1,-,2,3997,15280,,
16,Kansas,2580,1602,5455,-,-,-,-,9638,1128,758,1124,12,3,1,-,3026,12663,,
17,Kentucky,2897,1895,3452,14,16,-,0,8275,1231,290,2387,20,12,3,8,3951,12226,,
18,Louisiana,2215,97,3238,103,65,-,2,5720,1831,296,3653,256,29,0,20,6084,11804,,
19,Maine,1277,-,1624,12,-,-,2,2915,274,68,351,24,15,-,0,732,3647,,
20,Maryland,673,-,1086,53,3,-,-,1815,2145,1385,4307,112,23,-,13,7985,9800,,
21,Massachusetts,278,35,224,10,-,-,-,547,2925,1326,4526,100,16,-,15,8909,9457,,
22,Michigan,2369,1378,4524,9,15,-,-,8296,3706,1592,8938,36,10,-,1,14283,22579,,
23,Minnesota,2385,13,8643,0,-,-,1,11042,1645,732,2763,23,9,-,5,5178,16220,,
24,Mississippi,2219,-,6522,54,16,-,3,8815,1139,252,3200,39,-,-,0,4631,13446,,
25,Missouri,3390,3701,4681,62,11,-,1,11845,2920,2037,3149,13,10,-,1,8130,19975,,
26,Montana,4377,-,5925,-,-,-,-,10302,391,-,700,-,-,-,-,1091,11393,,
27,Nebraska,1715,1312,4852,122,8,-,-,8009,384,505,1284,21,4,-,-,2198,10207,,
28,Nevada,1840,-,3408,70,-,-,-,5318,786,252,1586,19,-,8,-,2651,7969,,
29,New Hampshire,567,37,674,114,-,-,-,1392,431,315,550,53,2,-,3,1354,2746,,
30,New Jersey,278,176,364,-,-,-,-,818,2695,2513,5939,208,32,0,1,11389,12206,,
31,New Mexico,3431,-,5622,38,0,-,-,9091,747,49,2223,74,21,9,-,3124,12215,,
32,New York,3279,478,4718,14,1,-,-,8490,4785,3798,9242,173,58,1,11,18069,26559,,
33,North Carolina,2271,1582,4175,545,396,1,34,9004,3785,1842,6594,583,49,-,12,12865,21869,,
34,North Dakota,2045,-,6968,-,1,-,-,9014,252,-,597,-,-,-,-,849,9863,,
35,Ohio,2997,1315,3999,90,33,-,0,8435,5169,2429,7562,850,96,-,40,16146,24581,,
36,Oklahoma,2596,-,6639,2,10,-,-,9247,1386,934,3121,22,9,-,-,5471,14719,,
37,Oregon,2021,-,5899,-,3,-,5,7928,1108,250,2659,76,12,1,12,4119,12047,,
38,Pennsylvania,4526,1448,3718,29,21,-,0,9743,3360,2178,8149,142,50,-,0,13879,23622,,
39,Rhode Island,71,43,209,-,-,-,-,323,307,326,901,0,2,-,-,1536,1859,,
40,South Carolina,2226,187,4616,0,-,-,-,7029,1583,368,4074,40,9,-,-,6073,13102,,
41,South Dakota,2364,1153,5365,17,1,-,-,8900,349,72,470,1,-,-,-,892,9792,,
42,Tennessee,2346,-,5375,35,10,-,-,7766,2833,725,6518,169,36,-,-,10281,18047,,
43,Texas,8149,-,22586,479,82,-,-,31295,8227,7215,21915,327,123,-,7,37814,69109,,
44,Utah,2771,36,2696,910,541,29,-,6984,1611,166,2452,189,49,0,11,4479,11463,,
45,Vermont,1034,3,651,-,1,-,-,1689,247,41,269,12,4,-,-,573,2263,,
46,Virginia,1937,346,4558,36,6,-,3,6886,3451,1549,6778,182,35,3,1,12000,18886,,
47,Washington,1921,1583,2636,22,12,-,0,6175,2104,1593,4794,63,27,-,5,8586,14761,,
48,West Virginia,1260,35,2538,-,-,-,-,3833,1061,52,1305,1,-,-,-,2419,6252,,
49,Wisconsin,2141,568,7309,149,26,-,-,10193,1730,1333,5034,51,29,-,-,8177,18370,,
50,Wyoming,3232,-,4083,6,-,0,-,7321,423,11,754,4,0,-,0,1192,8513,,
51,U.S. Total,118252,22799,226011,5275,1777,35,89,374236,104738,56207,224686,7296,1264,44,363,394597,768833,,
52,Puerto Rico (1),161,-,58,-,-,-,-,219,1098,207,271,5,-,-,-,1581,1799,,
53,Grand Total,118413,22799,226069,5275,1777,35,89,374455,105835,56414,224956,7300,1264,44,363,396177,770632,,
