STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI)    (1),,,,,,,,,,,,,,,,,,,
,INTERSTATE SYSTEM,,,,,,,,,,OTHER,,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Alabama,1 ,363 ,141 ,34 ,20 ,7 ,3 ,1 ,2 ,571 ,4 ,901 ,819 ,149 ,69 ,33 ,17 ,10 ,10 ,"2,007 "
Alaska,-,200 ,359 ,163 ,118 ,73 ,40 ,24 ,25 ,"1,002 ",263 ,90 ,177 ,81 ,73 ,75 ,59 ,50 ,123 ,728 
Arizona,1 ,497 ,290 ,75 ,32 ,11 ,4 ,2 ,4 ,916 ,32 ,419 ,447 ,152 ,84 ,43 ,17 ,8 ,6 ,"1,175 "
Arkansas,0 ,194 ,137 ,41 ,18 ,8 ,5 ,3 ,3 ,409 ,2 ,261 ,859 ,380 ,219 ,130 ,60 ,33 ,32 ,"1,974 "
California,-,614 ,383 ,118 ,51 ,21 ,9 ,5 ,9 ,"1,209 ",-,953 ,"1,504 ",542 ,270 ,161 ,64 ,46 ,87 ,"3,625 "
Colorado,-,141 ,252 ,129 ,58 ,30 ,21 ,9 ,9 ,648 ,-,516 ,"1,080 ",501 ,249 ,120 ,57 ,27 ,26 ,"2,576 "
Connecticut,-,12 ,10 ,4 ,2 ,0 ,0 ,0 ,0 ,29 ,-,10 ,40 ,27 ,24 ,20 ,12 ,6 ,10 ,150 
Delaware,-,-,-,-,-,-,-,-,-,-,2 ,47 ,85 ,17 ,3 ,1 ,1 ,0 ,0 ,154 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,105 ,376 ,206 ,18 ,8 ,3 ,1 ,0 ,0 ,612 ,81 ,"1,009 ","1,266 ",267 ,80 ,28 ,7 ,4 ,3 ,"2,663 "
Georgia,1 ,239 ,201 ,55 ,22 ,10 ,4 ,2 ,2 ,534 ,19 ,908 ,"1,585 ",388 ,135 ,53 ,21 ,10 ,15 ,"3,114 "
Hawaii,-,-,-,-,-,-,-,-,-,-,-,1 ,19 ,14 ,13 ,15 ,8 ,6 ,5 ,80 
Idaho,-,275 ,172 ,41 ,16 ,7 ,4 ,3 ,3 ,521 ,37 ,448 ,810 ,247 ,97 ,42 ,19 ,9 ,9 ,"1,679 "
Illinois,-,665 ,444 ,119 ,16 ,-,-,-,-,"1,243 ",-,351 ,"1,126 ",411 ,249 ,107 ,52 ,12 ,4 ,"2,311 "
Indiana,141 ,377 ,141 ,40 ,27 ,18 ,11 ,6 ,7 ,627 ,38 ,640 ,581 ,193 ,98 ,46 ,22 ,12 ,16 ,"1,609 "
Iowa,7 ,246 ,233 ,81 ,28 ,9 ,4 ,2 ,2 ,605 ,26 ,852 ,"1,071 ",585 ,365 ,234 ,122 ,86 ,78 ,"3,393 "
Kansas,-,427 ,161 ,32 ,12 ,4 ,2 ,1 ,1 ,639 ,8 ,"1,683 ","1,026 ",179 ,71 ,33 ,14 ,8 ,9 ,"3,023 "
Kentucky,1 ,444 ,116 ,31 ,16 ,9 ,3 ,1 ,1 ,622 ,176 ,762 ,553 ,125 ,56 ,26 ,10 ,6 ,6 ,"1,544 "
Louisiana,6 ,194 ,127 ,85 ,69 ,32 ,13 ,4 ,3 ,527 ,2 ,164 ,479 ,194 ,115 ,75 ,47 ,27 ,32 ,"1,133 "
Maine,-,203 ,70 ,20 ,4 ,2 ,0 ,0 ,0 ,299 ,-,142 ,387 ,109 ,64 ,48 ,18 ,14 ,14 ,795 
Maryland,0 ,49 ,74 ,11 ,4 ,1 ,1 ,0 ,1 ,142 ,1 ,151 ,147 ,30 ,14 ,9 ,5 ,2 ,4 ,362 
Massachusetts,-,19 ,32 ,7 ,2 ,1 ,0 ,0 ,1 ,64 ,-,16 ,42 ,28 ,18 ,8 ,4 ,3 ,3 ,121 
Michigan,5 ,214 ,220 ,60 ,31 ,17 ,11 ,5 ,3 ,561 ,1 ,"1,109 ",904 ,236 ,108 ,62 ,29 ,14 ,22 ,"2,484 "
Minnesota,-,191 ,274 ,65 ,30 ,16 ,10 ,5 ,3 ,594 ,11 ,"1,172 ","1,105 ",519 ,294 ,175 ,92 ,50 ,49 ,"3,456 "
Mississippi,2 ,338 ,137 ,31 ,20 ,13 ,7 ,4 ,4 ,552 ,-,502 ,760 ,250 ,143 ,82 ,35 ,19 ,22 ,"1,813 "
Missouri,-,470 ,291 ,48 ,17 ,9 ,4 ,2 ,0 ,842 ,1 ,"1,035 ","1,319 ",362 ,142 ,69 ,34 ,17 ,10 ,"2,989 "
Montana,-,411 ,552 ,87 ,24 ,12 ,5 ,2 ,2 ,"1,094 ",-,690 ,"1,339 ",386 ,165 ,80 ,50 ,28 ,36 ,"2,773 "
Nebraska,8 ,266 ,99 ,26 ,11 ,3 ,1 ,1 ,1 ,407 ,260 ,"1,125 ",786 ,261 ,139 ,84 ,41 ,23 ,26 ,"2,485 "
Nevada,0 ,388 ,30 ,11 ,8 ,7 ,2 ,1 ,0 ,448 ,14 ,846 ,494 ,95 ,22 ,13 ,14 ,16 ,24 ,"1,525 "
New Hampshire,-,120 ,20 ,2 ,0 ,0 ,-,-,-,142 ,0 ,168 ,129 ,33 ,17 ,12 ,10 ,7 ,11 ,388 
New Jersey,-,22 ,18 ,3 ,1 ,1 ,1 ,0 ,0 ,45 ,0 ,38 ,56 ,29 ,25 ,17 ,10 ,7 ,11 ,193 
New Mexico,1 ,562 ,200 ,46 ,22 ,8 ,4 ,2 ,1 ,845 ,33 ,785 ,595 ,170 ,93 ,52 ,20 ,13 ,11 ,"1,739 "
New York,20 ,273 ,349 ,77 ,35 ,17 ,12 ,9 ,11 ,783 ,15 ,259 ,"1,062 ",437 ,221 ,124 ,63 ,34 ,37 ,"2,237 "
North Carolina,10 ,310 ,162 ,36 ,19 ,10 ,2 ,1 ,1 ,541 ,57 ,476 ,"1,059 ",303 ,138 ,57 ,23 ,15 ,23 ,"2,094 "
North Dakota,-,237 ,231 ,33 ,7 ,3 ,0 ,0 ,0 ,511 ,3 ,"1,092 ","1,137 ",403 ,166 ,84 ,32 ,20 ,25 ,"2,961 "
Ohio,1 ,324 ,221 ,52 ,23 ,12 ,5 ,3 ,2 ,642 ,4 ,538 ,807 ,269 ,110 ,53 ,22 ,11 ,12 ,"1,823 "
Oklahoma,-,285 ,240 ,57 ,28 ,18 ,9 ,6 ,3 ,646 ,7 ,445 ,934 ,382 ,205 ,128 ,64 ,38 ,43 ,"2,238 "
Oregon,0 ,247 ,176 ,50 ,13 ,5 ,2 ,1 ,1 ,495 ,0 ,596 ,"1,324 ",418 ,167 ,73 ,36 ,21 ,24 ,"2,658 "
Pennsylvania,0 ,431 ,488 ,110 ,41 ,25 ,8 ,4 ,4 ,"1,112 ",2 ,440 ,860 ,297 ,141 ,87 ,45 ,27 ,35 ,"1,933 "
Rhode Island,-,14 ,3 ,0 ,0 ,-,0 ,0 ,0 ,18 ,-,4 ,14 ,16 ,19 ,19 ,13 ,9 ,14 ,108 
South Carolina,-,116 ,281 ,85 ,58 ,3 ,2 ,0 ,1 ,546 ,-,44 ,701 ,388 ,305 ,78 ,36 ,24 ,15 ,"1,591 "
South Dakota,-,231 ,290 ,43 ,17 ,7 ,3 ,0 ,0 ,591 ,-,378 ,"1,205 ",629 ,325 ,173 ,87 ,51 ,43 ,"2,892 "
Tennessee,10 ,490 ,54 ,10 ,5 ,3 ,1 ,0 ,0 ,564 ,9 ,779 ,632 ,147 ,66 ,36 ,15 ,7 ,6 ,"1,686 "
Texas,-,724 ,945 ,210 ,67 ,30 ,11 ,7 ,6 ,"2,001 ",14 ,"1,677 ","3,338 ","1,399 ",664 ,299 ,124 ,62 ,55 ,"7,617 "
Utah,1 ,388 ,239 ,41 ,10 ,4 ,1 ,1 ,0 ,683 ,466 ,185 ,574 ,276 ,171 ,110 ,51 ,29 ,30 ,"1,426 "
Vermont,0 ,204 ,46 ,5 ,2 ,1 ,0 ,0 ,-,258 ,1 ,57 ,143 ,50 ,27 ,12 ,7 ,6 ,7 ,308 
Virginia,0 ,161 ,234 ,49 ,18 ,5 ,2 ,0 ,0 ,469 ,14 ,167 ,735 ,282 ,109 ,44 ,18 ,9 ,4 ,"1,368 "
Washington,-,174 ,140 ,50 ,27 ,16 ,9 ,7 ,6 ,429 ,-,350 ,914 ,355 ,148 ,72 ,36 ,23 ,28 ,"1,926 "
West Virginia,11 ,118 ,143 ,19 ,9 ,5 ,3 ,1 ,1 ,298 ,4 ,92 ,406 ,218 ,128 ,67 ,35 ,22 ,30 ,999 
Wisconsin,0 ,194 ,169 ,60 ,36 ,26 ,18 ,6 ,4 ,512 ,-,721 ,"1,033 ",571 ,369 ,183 ,104 ,69 ,108 ,"3,158 "
Wyoming,-,362 ,306 ,71 ,39 ,17 ,6 ,4 ,3 ,808 ,29 ,445 ,922 ,337 ,147 ,63 ,23 ,12 ,9 ,"1,957 "
U.S. Total,333 ,"13,800 ","10,107 ","2,540 ","1,141 ",540 ,263 ,134 ,132 ,"28,657 ","1,633 ","26,535 ","39,388 ","14,139 ","7,141 ","3,713 ","1,805 ","1,059 ","1,261 ","95,041 "
Puerto Rico (3),-,-,1 ,10 ,4 ,11 ,5 ,4 ,7 ,42 ,-,-,1 ,3 ,13 ,2 ,-,-,-,19 
Grand Total,333 ,"13,800 ","10,109 ","2,550 ","1,145 ",551 ,268 ,138 ,139 ,"28,699 ","1,633 ","26,535 ","39,389 ","14,142 ","7,154 ","3,715 ","1,805 ","1,059 ","1,261 ","95,060 "
