,STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI) (1),INTERSTATE SYSTEM,OTHER,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2).1,< 60.1,60-94.1,95-119.1,120-144.1,145-170.1,171-194.1,195-220.1,> 220.1,TOTAL REPORTED.1
0,Alabama,4,10248,4066,1117,622,221,97,37,59,16467,19,6852,5699,1047,484,230,125,66,65,14568,,,
1,Alaska,-,571,1040,304,182,85,54,23,29,2288,53,186,388,111,66,50,31,22,46,900,,,
2,Arizona,9,9606,5565,1304,562,195,85,42,59,17419,182,3430,3208,1061,594,284,111,49,33,8770,,,
3,Arkansas,14,5314,3234,1006,469,227,142,79,91,10563,6,1659,4751,1896,1149,686,322,164,157,10785,,,
4,California,-,20398,12771,4577,2276,1216,426,278,423,42365,-,12476,16442,5847,3017,1624,592,371,473,40842,,,
5,Colorado,-,2720,5053,2330,1003,499,298,134,138,12176,-,2173,4970,2488,1143,478,241,106,103,11701,,,
6,Connecticut,-,598,497,111,39,17,14,0,8,1284,-,260,668,330,256,200,115,48,87,1964,,,
7,Delaware,-,-,-,-,-,-,-,-,-,-,88,984,2289,607,92,18,13,2,2,4008,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
9,Florida,3819,13299,7989,719,321,83,25,15,2,22453,685,10397,11794,1896,615,249,62,34,24,25071,,,
10,Georgia,50,9684,6974,1556,619,287,119,69,68,19378,213,6017,8998,2230,854,349,139,62,96,18744,,,
11,Hawaii,-,-,-,-,-,-,-,-,-,-,-,17,266,176,117,142,81,52,40,890,,,
12,Idaho,-,3535,2282,589,214,85,41,31,29,6806,98,1847,2805,754,292,124,65,34,46,5968,,,
13,Illinois,-,13026,8142,2190,606,-,-,-,-,23965,-,1544,4627,1813,1129,523,216,33,28,9913,,,
14,Indiana,3148,10228,3657,1176,720,506,303,197,229,17017,540,5828,4167,1272,668,334,158,82,128,12637,,,
15,Iowa,98,5334,5367,1859,625,176,66,39,40,13506,138,3556,5491,3336,1928,1029,472,318,288,16419,,,
16,Kansas,-,6307,2587,504,188,76,30,11,9,9711,35,6555,4083,744,302,138,63,35,36,11956,,,
17,Kentucky,13,15993,3671,1056,596,324,108,29,33,21810,1192,6951,4585,894,420,213,82,39,39,13224,,,
18,Louisiana,58,6279,3789,2388,1700,825,330,103,92,15506,16,1148,3338,1416,1098,658,420,230,363,8671,,,
19,Maine,-,4914,988,274,66,28,9,2,3,6283,-,911,2565,769,397,284,126,67,112,5231,,,
20,Maryland,5,1981,2920,383,177,82,50,12,41,5648,25,2948,2324,381,208,159,81,33,68,6201,,,
21,Massachusetts,-,857,999,214,48,28,10,8,43,2208,-,148,303,228,130,53,33,19,15,929,,,
22,Michigan,36,3990,6071,1823,960,421,274,138,67,13745,4,7527,6418,1884,768,477,259,133,185,17651,,,
23,Minnesota,-,3932,4609,990,457,269,155,91,44,10548,73,6362,6501,2752,1401,782,424,216,231,18669,,,
24,Mississippi,43,6962,2776,791,463,310,149,89,78,11617,-,4267,5994,1694,950,631,277,133,123,14069,,,
25,Missouri,-,10700,6191,1051,386,217,78,51,8,18682,1,8959,9012,2206,783,305,151,61,42,21519,,,
26,Montana,-,2853,3185,473,143,74,26,9,13,6776,-,2218,3105,730,277,134,72,39,61,6636,,,
27,Nebraska,167,4799,2040,491,210,51,17,12,9,7629,1018,3132,2904,1040,539,306,149,94,105,8269,,,
28,Nevada,0,5110,430,106,78,55,18,5,1,5802,96,2740,940,188,51,32,30,32,48,4061,,,
29,New Hampshire,-,2488,333,31,7,2,-,-,-,2861,3,1823,1174,318,132,87,71,41,72,3719,,,
30,New Jersey,-,1523,1322,200,72,58,39,5,13,3232,1,595,1090,498,323,229,127,85,148,3095,,,
31,New Mexico,16,8587,2484,503,247,103,58,25,11,12018,60,3703,3002,759,374,246,88,59,57,8288,,,
32,New York,384,5200,7268,1520,575,265,166,127,158,15279,102,1528,5865,2257,1125,622,335,148,186,12067,,,
33,North Carolina,297,8764,4793,994,566,354,70,37,24,15602,456,6324,11128,2681,1153,428,188,106,188,22197,,,
34,North Dakota,-,1818,1954,295,58,25,4,0,0,4155,19,3290,2384,707,280,155,48,33,43,6940,,,
35,Ohio,17,11785,7616,1840,855,413,184,94,68,22854,24,5680,6876,2092,836,399,165,85,104,16237,,,
36,Oklahoma,-,6185,5030,1275,646,414,239,151,97,14037,47,2729,5785,2188,1198,813,465,285,306,13769,,,
37,Oregon,1,4588,4310,984,222,92,52,28,18,10294,3,3153,5155,1588,566,265,123,73,66,10989,,,
38,Pennsylvania,7,11264,13598,3059,1256,762,256,141,138,30475,14,4437,7212,2400,1235,752,417,257,327,17039,,,
39,Rhode Island,-,651,145,19,6,-,10,2,4,836,-,67,99,140,125,122,73,54,108,789,,,
40,South Carolina,-,4413,11084,3173,2288,109,55,5,33,21161,-,532,5656,2959,1762,524,233,93,127,11885,,,
41,South Dakota,-,1947,2767,370,141,67,27,6,3,5329,-,814,2137,1110,577,299,154,96,75,5262,,,
42,Tennessee,313,17437,1973,359,177,102,19,11,10,20088,32,6636,4575,997,469,264,101,50,45,13137,,,
43,Texas,-,18140,21084,4810,1518,701,229,150,71,46702,63,14942,23708,8823,3958,1821,745,389,346,54732,,,
44,Utah,12,5133,2760,389,91,39,10,6,5,8433,1005,1029,2514,906,395,201,91,53,53,5242,,,
