STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,,
,INTERSTATE SYSTEM,,,,,,,,,,OTHER,,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Alabama,55 ,"11,254 ","5,570 ","2,057 ","1,815 ","1,082 ",802 ,664 ,634 ,"23,878 ","2,256 ","8,582 ","8,704 ","2,730 ","1,452 ",911 ,553 ,304 ,488 ,"23,726 "
Alaska,-,590 ,"1,004 ",225 ,100 ,76 ,28 ,14 ,21 ,"2,056 ",-,223 ,804 ,464 ,340 ,263 ,196 ,116 ,253 ,"2,660 "
Arizona,4 ,"11,430 ","6,561 ","1,727 ",518 ,161 ,38 ,16 ,3 ,"20,455 ","3,717 ","8,932 ","13,396 ","4,080 ","2,482 ","1,545 ",899 ,505 ,"1,158 ","32,996 "
Arkansas,7 ,"4,007 ","4,522 ","2,008 ","1,207 ",969 ,541 ,336 ,297 ,"13,888 ",404 ,759 ,"3,750 ","2,115 ","1,509 ","1,042 ",762 ,497 ,909 ,"11,343 "
California,4 ,"48,285 ","71,268 ","25,173 ","19,409 ","14,225 ","8,906 ","5,098 ","6,609 ","198,973 ",-,"34,712 ","71,368 ","40,615 ","33,888 ","29,088 ","21,635 ","18,483 ","59,093 ","308,881 "
Colorado,-,"3,691 ","9,862 ","5,709 ","3,104 ","1,192 ",512 ,347 ,323 ,"24,739 ",6 ,"1,803 ","9,872 ","6,722 ","6,317 ","5,114 ","3,028 ","2,236 ","3,789 ","38,880 "
Connecticut,-,"10,570 ","9,108 ","3,455 ","1,798 ","1,081 ",525 ,343 ,312 ,"27,194 ",-,"2,400 ","6,172 ","3,277 ","2,369 ","1,757 ","1,175 ",968 ,"3,551 ","21,669 "
Delaware,443 ,254 ,"2,102 ",644 ,148 ,72 ,16 ,5 ,19 ,"3,260 ",235 ,"1,251 ","3,441 ","1,167 ",652 ,322 ,156 ,106 ,198 ,"7,292 "
Dist. of Columbia,-,-,-,-,484 ,262 ,7 ,87 ,413 ,"1,253 ",-,-,-,166 ,238 ,274 ,116 ,306 ,"2,640 ","3,739 "
Florida,"10,932 ","26,533 ","29,638 ","6,082 ","2,712 ","1,218 ",524 ,174 ,150 ,"67,030 ","9,397 ","36,157 ","63,821 ","20,732 ","11,003 ","5,720 ","2,758 ","1,739 ","2,224 ","144,152 "
Georgia,178 ,"34,456 ","18,465 ","5,362 ","2,662 ","1,412 ",804 ,523 ,513 ,"64,198 ","7,707 ","14,225 ","19,172 ","6,314 ","3,495 ","2,050 ","1,144 ",777 ,"1,932 ","49,108 "
Hawaii,-,137 ,"1,165 ",730 ,823 ,714 ,489 ,415 ,671 ,"5,142 ",-,349 ,"1,177 ","1,198 ","1,121 ","1,109 ",672 ,524 ,988 ,"7,138 "
Idaho,-,"1,388 ","1,658 ",560 ,230 ,150 ,54 ,19 ,16 ,"4,076 ",263 ,"1,104 ","1,898 ",905 ,481 ,444 ,313 ,211 ,414 ,"5,771 "
Illinois,-,"7,956 ","34,336 ","11,649 ","8,325 ","2,190 ",422 ,109 ,315 ,"65,302 ",-,"3,340 ","11,775 ","11,145 ","10,918 ","7,640 ","4,052 ","4,013 ","5,951 ","58,834 "
Indiana,"3,446 ","8,379 ","7,224 ","4,571 ","2,589 ","1,395 ",999 ,574 ,618 ,"26,349 ","11,027 ","4,987 ","6,208 ","3,122 ","2,193 ","1,539 ",957 ,717 ,"1,097 ","20,818 "
Iowa,169 ,"2,607 ","3,446 ","1,121 ",574 ,332 ,130 ,85 ,40 ,"8,338 ",919 ,839 ,"2,162 ","2,130 ","1,647 ","1,139 ",722 ,579 ,"1,262 ","10,480 "
Kansas,250 ,"4,277 ","3,340 ","1,474 ",812 ,476 ,247 ,106 ,105 ,"10,837 ",181 ,"2,761 ","2,880 ","1,102 ",853 ,557 ,325 ,259 ,263 ,"9,001 "
Kentucky,-,"8,745 ","5,499 ","1,604 ",999 ,545 ,338 ,184 ,178 ,"18,093 ","2,181 ","3,355 ","4,107 ","2,007 ","1,433 ",933 ,451 ,343 ,405 ,"13,034 "
Louisiana,72 ,"6,193 ","5,575 ","3,428 ","2,981 ","3,316 ","1,574 ","1,298 ","1,186 ","25,551 ","1,706 ","1,966 ","4,666 ","3,158 ","2,830 ","2,685 ","2,050 ","1,623 ","3,780 ","22,757 "
Maine,-,"1,324 ",611 ,154 ,112 ,37 ,17 ,20 ,22 ,"2,299 ",-,189 ,815 ,359 ,333 ,191 ,158 ,93 ,283 ,"2,421 "
Maryland,133 ,"15,799 ","15,097 ","3,597 ","2,279 ","1,477 ",832 ,728 ,"1,034 ","40,843 ",242 ,"8,789 ","16,367 ","6,398 ","4,612 ","3,243 ","2,208 ","1,495 ","5,165 ","48,277 "
Massachusetts,70 ,"26,638 ","12,328 ","1,933 ","1,022 ",772 ,408 ,634 ,"1,369 ","45,104 ",651 ,"6,564 ","8,661 ","5,761 ","5,330 ","5,315 ","3,915 ","3,504 ","9,123 ","48,175 "
Michigan,28 ,"11,502 ","18,289 ","6,517 ","3,820 ","2,918 ","1,763 ","1,219 ",925 ,"46,951 ",487 ,"5,785 ","17,692 ","10,911 ","7,687 ","5,896 ","4,201 ","3,469 ","7,957 ","63,597 "
Minnesota,482 ,"4,013 ","9,974 ","4,596 ","2,066 ","1,329 ",852 ,348 ,470 ,"23,648 ",565 ,"4,947 ","8,998 ","3,888 ","2,011 ","1,339 ",735 ,600 ,"1,110 ","23,628 "
Mississippi,-,"5,635 ","2,740 ",987 ,670 ,532 ,270 ,171 ,144 ,"11,148 ",126 ,"2,305 ","4,480 ","2,458 ","1,648 ","1,175 ",782 ,593 ,"1,848 ","15,290 "
