,STATE,NATIONAL  HIGHWAY     SYSTEM,OTHER FEDERAL-AID HIGHWAYS,ALL FEDERAL-AID HIGHWAYS ,ALL NON-FEDERAL-AID HIGHWAYS,TOTAL,INTERSTATE,OTHER,TOTAL.1,RURAL,URBAN,TOTAL.2,RURAL.1,URBAN.1,TOTAL.3,RURAL.2,URBAN.2,TOTAL.4,RURAL.3,URBAN.3,TOTAL.5,RURAL.4,URBAN.4,TOTAL.6,RURAL.5,URBAN.5,TOTAL.7
0,Alabama,2401,2157,4558,5990,4772,10762,8391,6928,15320,33080,14162,47242,41471,21090,62562,113933,36632,150565,213127,,,,,,,
1,Alaska,2044,242,2286,1998,531,2529,4043,773,4815,3982,1434,5416,8024,2207,10231,18922,3854,22776,33007,,,,,,,
2,Arizona,3708,1462,5169,3435,4221,7657,7143,5683,12826,11236,15087,26323,18379,20770,39149,64334,40439,104773,143922,,,,,,,
3,Arkansas,1638,1353,2991,5322,2516,7837,6960,3868,10828,30091,9418,39510,37051,13286,50338,136367,23677,160044,210382,,,,,,,
4,California,5387,9656,15044,9927,32576,42503,15315,42232,57547,36327,60085,96411,51641,102317,153958,127124,151002,278126,432084,,,,,,,
5,Colorado,2628,1512,4141,5844,5415,11260,8472,6928,15400,17927,9024,26951,26400,15952,42352,112236,30083,142319,184671,,,,,,,
6,Connecticut,150,1718,1868,380,2865,3245,530,4583,5113,2170,8169,10339,2700,12751,15452,8844,21519,30363,45815,,,,,,,
7,Delaware,-,256,256,531,906,1437,531,1163,1693,1089,1433,2522,1620,2595,4215,4647,5030,9677,13892,,,,,,,
8,Dist. of Columbia,-,78,78,-,511,511,-,589,589,-,742,742,-,1331,1331,-,2106,2106,3438,,,,,,,
9,Florida,3376,4774,8150,7933,20142,28075,11309,24916,36225,12746,34025,46772,24055,58941,82996,53537,136643,190180,273177,,,,,,,
10,Georgia,2559,4419,6978,9404,10284,19689,11964,14703,26667,31597,20756,52353,43561,35459,79020,117043,75547,192591,271611,,,,,,,
11,Hawaii,-,342,342,161,1008,1168,161,1349,1510,951,1494,2445,1111,2843,3955,2226,3557,5783,9738,,,,,,,
12,Idaho,2084,447,2531,3987,1139,5126,6071,1586,7657,15025,3135,18160,21096,4721,25817,71113,7906,79019,104836,,,,,,,
13,Illinois,5042,4880,9922,5218,11361,16579,10261,16241,26502,35519,24071,59590,45779,40312,86092,149849,70379,220228,306320,,,,,,,
14,Indiana,3111,2459,5570,4597,6463,11060,7709,8921,16630,24650,14964,39614,32359,23885,56244,103736,41981,145717,201961,,,,,,,
15,Iowa,2443,830,3273,8841,3167,12008,11284,3997,15280,36311,6654,42965,47595,10651,58246,159623,16869,176492,234738,,,,,,,
16,Kansas,2580,1128,3708,7057,1898,8955,9638,3026,12663,53520,8814,62334,63157,11840,74997,192824,19254,212079,287076,,,,,,,
17,Kentucky,2897,1231,4128,5378,2719,8097,8275,3951,12226,16520,6667,23187,24794,10618,35413,108699,22477,131176,166588,,,,,,,
18,Louisiana,2215,1831,4045,3505,4254,7759,5720,6084,11804,13328,10261,23589,19048,16346,35394,71214,23427,94641,130035,,,,,,,
19,Maine,1277,274,1551,1638,458,2096,2915,732,3647,8515,1608,10123,11430,2340,13770,29174,4020,33194,46964,,,,,,,
20,Maryland,673,2145,2818,1142,5840,6982,1815,7985,9800,4070,8445,12516,5886,16430,22316,21862,26220,48083,70399,,,,,,,
21,Massachusetts,278,2925,3204,269,5984,6253,547,8909,9457,2363,14576,16939,2910,23485,26395,10012,40249,50262,76657,,,,,,,
22,Michigan,2369,3706,6075,5927,10577,16504,8296,14283,22579,42739,20475,63213,51035,34757,85793,120048,51219,171266,257059,,,,,,,
23,Minnesota,2385,1645,4031,8657,3532,12190,11042,5178,16220,45131,12418,57549,56173,17596,73769,180071,31242,211314,285083,,,,,,,
24,Mississippi,2219,1139,3359,6596,3491,10087,8815,4631,13446,31579,5850,37429,40395,10481,50875,91771,17870,109641,160516,,,,,,,
25,Missouri,3390,2920,6309,8455,5210,13666,11845,8130,19975,40864,10747,51611,52709,18877,71586,165924,35496,201419,273005,,,,,,,
26,Montana,4377,391,4769,5925,700,6625,10302,1091,11393,19407,1664,21072,29709,2756,32465,114473,6172,120646,153110,,,,,,,
27,Nebraska,1715,384,2099,6294,1814,8108,8009,2198,10207,31111,3132,34244,39120,5330,44450,137319,10409,147728,192178,,,,,,,
28,Nevada,1840,786,2626,3478,1865,5343,5318,2651,7969,5834,6408,12241,11152,9059,20211,58783,13990,72773,92983,,,,,,,
29,New Hampshire,567,431,998,825,923,1748,1392,1354,2746,3235,2097,5332,4626,3452,8078,17886,7299,25185,33263,,,,,,,
30,New Jersey,278,2695,2973,540,8693,9233,818,11389,12206,2158,14672,16830,2976,26061,29037,8769,47512,56281,85318,,,,,,,
31,New Mexico,3431,747,4178,5660,2377,8037,9091,3124,12215,14292,4622,18914,23383,7746,31129,102256,11244,113500,144629,,,,,,,
32,New York,3279,4785,8064,5211,13284,18495,8490,18069,26559,17141,24531,41672,25631,42600,68231,105775,67532,173307,241537,,,,,,,
33,North Carolina,2271,3785,6056,6733,9079,15813,9004,12865,21869,21329,17174,38503,30333,30039,60372,104787,60895,165682,226054,,,,,,,
34,North Dakota,2045,252,2297,6969,597,7566,9014,849,9863,29011,1330,30341,38024,2180,40204,134049,2493,136542,176746,,,,,,,
35,Ohio,2997,5169,8166,5438,10977,16415,8435,16146,24581,27749,24214,51964,36185,40360,76545,118644,67056,185699,262244,,,,,,,
36,Oklahoma,2596,1386,3982,6651,4085,10736,9247,5471,14719,48406,10029,58436,57654,15501,73154,136192,24910,161103,234257,,,,,,,
37,Oregon,2021,1108,3129,5907,3010,8918,7928,4119,12047,20899,8276,29175,28827,12395,41222,90183,19694,109877,151099,,,,,,,
38,Pennsylvania,4526,3360,7886,5217,10519,15736,9743,13879,23622,24115,19584,43698,33858,33462,67320,115090,68018,183108,250428,,,,,,,
39,Rhode Island,71,307,378,252,1229,1481,323,1536,1859,504,1852,2356,828,3388,4215,1982,6590,8572,12787,,,,,,,
40,South Carolina,2226,1583,3809,4803,4490,9293,7029,6073,13102,26431,10874,37306,33460,16947,50407,85072,24907,109979,160386,,,,,,,
41,South Dakota,2364,349,2714,6536,542,7078,8900,892,9792,30788,1811,32599,39688,2703,42391,120672,4720,125392,167783,,,,,,,
42,Tennessee,2346,2833,5179,5420,7448,12868,7766,10281,18047,16395,14528,30923,24161,24809,48970,108244,45359,153603,202574,,,,,,,
43,Texas,8149,8227,16376,23147,29586,52733,31295,37814,69109,95393,65572,160966,126689,103386,230075,298470,149032,447502,677577,,,,,,,
44,Utah,2771,1611,4383,4212,2868,7080,6984,4479,11463,7826,4783,12609,14810,9262,24072,57586,15918,73503,97575,,,,,,,
45,Vermont,1034,247,1281,655,327,982,1689,573,2263,5455,817,6272,7144,1390,8535,19006,1729,20735,29269,,,,,,,
46,Virginia,1937,3451,5388,4949,8549,13498,6886,12000,18886,21444,14973,36417,28330,26973,55303,69959,37675,107634,162937,,,,,,,
47,Washington,1921,2104,4026,4253,6482,10735,6175,8586,14761,20247,11833,32080,26422,20419,46841,87679,32388,120067,166908,,,,,,,
48,West Virginia,1260,1061,2321,2573,1358,3931,3833,2419,6252,13376,3892,17268,17209,6311,23520,47277,9130,56407,79926,,,,,,,
