,STATE,INTERSTATE,OTHER FREEWAYS    AND EXPRESSWAYS,OTHER PRINCIPAL    ARTERIAL,MINOR ARTERIAL,PAVED (2),PAVED (2).1,PAVED (2).2,PAVED (2).3,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS.1,CONCRETE.1,COMPOSITE.1,TOTAL.1,BITUMINOUS.2,CONCRETE.2,COMPOSITE.2,TOTAL.2,BITUMINOUS.3,CONCRETE.3,COMPOSITE.3,TOTAL.3
0,Alabama,481,10,64,556,-,-,-,-,1943,-,84,2027,3561,-,432,3993,,,,,,,,
1,Alaska,1002,-,-,1002,-,-,-,-,520,-,-,520,350,-,-,350,,,,,,,,
2,Arizona,889,-,27,916,18,-,-,18,1210,0,-,1210,1276,0,8,1284,,,,,,,,
3,Arkansas,212,102,95,410,27,56,1,84,1592,24,280,1896,2889,21,161,3070,,,,,,,,
4,California,923,284,-,1206,291,117,-,408,3049,238,-,3287,6040,17,-,6057,,,,,,,,
5,Colorado,370,278,-,648,21,7,-,28,2420,149,-,2569,3109,75,-,3184,,,,,,,,
6,Connecticut,13,-,16,29,21,-,14,36,64,-,55,119,195,-,26,221,,,,,,,,
7,Delaware,-,-,-,-,3,14,7,25,28,2,91,121,14,14,78,105,,,,,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
9,Florida,615,-,102,717,172,-,-,172,2619,-,-,2619,2191,-,-,2191,,,,,,,,
10,Georgia,280,254,-,534,-,-,-,-,2302,43,-,2345,2548,-,-,2548,,,,,,,,
11,Hawaii,-,-,-,-,-,-,-,-,77,1,-,78,255,0,-,255,,,,,,,,
12,Idaho,408,105,8,521,-,-,-,-,1735,11,4,1751,1461,-,-,1461,,,,,,,,
13,Illinois,15,109,1119,1243,-,-,-,-,267,15,2011,2293,121,9,4429,4558,,,,,,,,
14,Indiana,535,171,61,768,112,29,-,141,1240,125,83,1448,2163,75,-,2238,,,,,,,,
15,Iowa,35,289,289,612,-,-,-,-,113,1017,2285,3415,371,973,2546,3889,,,,,,,,
16,Kansas,388,209,43,640,82,214,108,404,2082,122,423,2627,4082,2,164,4249,,,,,,,,
17,Kentucky,490,64,68,622,381,56,54,491,1112,12,93,1216,1760,5,573,2338,,,,,,,,
18,Louisiana,226,208,68,502,16,8,-,24,333,204,481,1017,1070,32,784,1887,,,,,,,,
19,Maine,299,-,-,299,-,-,-,-,789,-,-,789,953,-,-,953,,,,,,,,
20,Maryland,105,-,37,142,-,-,-,-,222,2,112,335,448,-,278,726,,,,,,,,
21,Massachusetts,-,-,60,60,-,-,6,6,-,-,104,104,-,0,315,315,,,,,,,,
22,Michigan,109,311,144,564,148,96,100,344,1214,27,824,2065,3270,203,1257,4730,,,,,,,,
23,Minnesota,80,328,186,594,2,1,1,4,1909,342,1183,3434,6051,-,482,6533,,,,,,,,
24,Mississippi,220,28,307,554,-,-,-,-,1260,137,386,1783,3317,-,429,3746,,,,,,,,
