,STATE,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,UNPAVED,PAVED (2),TOTAL,UNPAVED.1,PAVED (2).1,TOTAL.1,UNPAVED.2,PAVED (2).2,TOTAL.2,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL.3,BITUMINOUS.1,CONCRETE.1,COMPOSITE.1,TOTAL.4
0,Alabama,-,3470,-,-,3470,3470,-,171,-,-,171,171,531,17793,18324,,,,,
1,Alaska,1,251,-,-,251,252,8,228,-,-,228,236,568,1358,1926,,,,,
2,Arizona,21,1718,14,189,1921,1943,25,166,1,24,191,216,988,19231,20219,,,,,
3,Arkansas,156,1982,28,9,2019,2174,58,177,3,2,182,239,1519,10323,11842,,,,,
4,California,-,12704,320,-,13024,13024,-,385,-,-,385,385,2266,73269,75535,,,,,
5,Colorado,21,1760,75,-,1835,1856,10,56,-,1,57,66,1074,13968,15042,,,,,
6,Connecticut,-,1699,4,110,1814,1814,-,310,-,-,310,310,99,10661,10760,,,,,
7,Delaware,-,199,30,131,359,359,-,42,1,7,50,50,5,2509,2514,,,,,
8,Dist. of Columbia,-,22,3,130,155,155,-,-,-,-,-,-,16,1037,1053,,,,,
9,Florida,27,6414,4,-,6418,6445,4,1849,6,-,1855,1860,1367,66963,68330,,,,,
10,Georgia,-,178,-,-,178,178,-,-,-,-,-,-,2245,35548,37793,,,,,
11,Hawaii,-,260,2,-,262,262,-,186,2,-,188,188,10,1781,1791,,,,,
12,Idaho,16,712,9,-,721,736,-,7,-,-,7,7,119,3834,3953,,,,,
13,Illinois,344,1617,425,2946,4987,5332,52,94,37,181,312,364,13491,21708,35199,,,,,
14,Indiana,-,3212,99,-,3311,3311,-,367,13,-,380,380,-,20993,20993,,,,,
15,Iowa,55,154,538,539,1232,1287,-,-,-,-,-,-,960,7476,8436,,,,,
16,Kansas,72,1417,194,73,1685,1757,41,250,43,37,331,372,432,9195,9627,,,,,
17,Kentucky,-,1248,1,40,1289,1289,-,167,-,4,171,171,175,11068,11243,,,,,
18,Louisiana,24,1422,396,224,2042,2066,-,115,18,33,166,166,849,10875,11724,,,,,
19,Maine,-,519,-,-,519,519,-,18,-,-,18,18,105,1905,2010,,,,,
20,Maryland,-,1818,-,143,1961,1961,-,112,-,9,121,121,146,12971,13117,,,,,
21,Massachusetts,-,11,1593,1421,3025,3025,-,-,-,-,-,-,1805,18327,20132,,,,,
22,Michigan,187,2843,249,550,3642,3829,-,10,2,31,43,43,11779,13830,25609,,,,,
23,Minnesota,55,2258,89,25,2372,2427,9,88,0,-,89,98,2152,13472,15624,,,,,
24,Mississippi,-,1422,42,102,1566,1566,0,10,-,-,10,10,290,8646,8936,,,,,
25,Missouri,27,2184,244,-,2428,2456,-,2,-,-,2,2,355,17393,17748,,,,,
26,Montana,14,391,0,-,391,404,7,47,-,-,47,54,531,2555,3086,,,,,
27,Nebraska,23,266,260,3,528,551,-,-,-,-,-,-,404,4800,5204,,,,,
28,Nevada,1,48,-,-,48,50,62,1076,-,-,1076,1138,1189,5806,6995,,,,,
29,New Hampshire,-,531,-,5,536,536,-,-,-,-,-,-,101,3549,3650,,,,,
30,New Jersey,-,2826,0,98,2924,2924,-,404,0,1,405,405,12,23744,23756,,,,,
31,New Mexico,-,846,0,-,847,847,1,303,-,-,303,305,1940,3681,5621,,,,,
32,New York,-,4434,34,966,5434,5434,-,14,-,-,14,14,696,33075,33771,,,,,
33,North Carolina,0,3270,6,1,3276,3276,0,406,0,-,406,406,531,29922,30453,,,,,
34,North Dakota,31,225,66,7,298,329,-,-,-,-,-,-,149,1097,1246,,,,,
35,Ohio,-,4895,153,322,5369,5369,-,590,3,-,593,593,1501,32047,33548,,,,,
36,Oklahoma,18,1207,225,42,1474,1491,11,80,10,9,98,109,925,11530,12455,,,,,
37,Oregon,25,2059,16,22,2097,2121,1,492,2,-,494,495,803,9050,9853,,,,,
38,Pennsylvania,6,4855,53,506,5414,5420,-,-,-,-,-,-,-,34009,34009,,,,,
39,Rhode Island,-,540,-,-,540,540,-,26,-,-,26,26,25,3270,3295,,,,,
40,South Carolina,-,2807,-,-,2807,2807,-,73,-,-,73,73,1355,11099,12454,,,,,
41,South Dakota,14,306,31,-,337,351,-,-,-,-,-,-,284,2076,2360,,,,,
42,Tennessee,-,2332,11,-,2343,2343,-,720,-,6,726,726,165,22514,22679,,,,,
43,Texas,117,12801,2503,393,15696,15813,15,873,94,14,981,996,2377,72143,74520,,,,,
44,Utah,-,89,-,-,89,89,-,-,-,-,-,-,1,7963,7964,,,,,
45,Vermont,2,223,-,15,237,240,2,14,-,-,14,16,96,769,865,,,,,
46,Virginia,2,2285,422,-,2706,2708,-,522,154,-,677,677,244,18595,18839,,,,,
47,Washington,-,2520,50,174,2744,2744,4,184,-,-,184,187,717,15480,16197,,,,,
48,West Virginia,2,951,94,-,1044,1047,-,-,-,-,-,-,307,4259,4566,,,,,
49,Wisconsin,513,1808,391,79,2278,2791,-,-,-,-,-,-,146,15291,15437,,,,,
50,Wyoming,-,498,17,-,516,516,-,42,-,-,42,42,362,1438,1800,,,,,
51,U.S. Total,1774,104508,8689,9265,122462,124235,311,10675,388,359,11422,11733,58207,795896,854103,,,,,
52,Puerto Rico (3),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
53,Grand Total,1774,104508,8689,9265,122462,124235,311,10675,388,359,11422,11733,58207,795896,854103,,,,,
