STATE,INTERSTATE,,,,OTHER FREEWAYS    AND EXPRESSWAYS,,,,OTHER PRINCIPAL    ARTERIAL,,,,MINOR ARTERIAL,,,,,
,PAVED (2),,,,PAVED (2),,,,PAVED (2),,,,UNPAVED,PAVED (2),,,,TOTAL
,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,
Alabama,317 ,30 ,56 ,403 ,23 ,0 ,2 ,25 ,"1,232 ",5 ,46 ,"1,283 ",-,"2,196 ",6 ,59 ,"2,260 ","2,260 "
Alaska,79 ,-,-,79 ,-,-,-,-,136 ,-,-,136 ,-,203 ,-,-,203 ,203 
Arizona,157 ,7 ,88 ,252 ,33 ,12 ,169 ,214 ,807 ,16 ,20 ,843 ,13 ,"2,486 ",51 ,83 ,"2,621 ","2,635 "
Arkansas,112 ,111 ,61 ,284 ,42 ,67 ,-,109 ,453 ,15 ,158 ,627 ,11 ,"1,645 ",46 ,125 ,"1,817 ","1,827 "
California,583 ,556 ,-,"1,139 ",741 ,766 ,4 ,"1,511 ","5,924 ",623 ,14 ,"6,561 ",-,"11,056 ",82 ,-,"11,138 ","11,138 "
Colorado,204 ,100 ,-,304 ,279 ,45 ,-,324 ,827 ,240 ,-,"1,067 ",6 ,"1,699 ",103 ,-,"1,802 ","1,808 "
Connecticut,117 ,9 ,191 ,317 ,80 ,2 ,162 ,244 ,335 ,-,375 ,710 ,-,"1,333 ",1 ,339 ,"1,673 ","1,673 "
Delaware,8 ,13 ,20 ,41 ,3 ,16 ,12 ,31 ,41 ,5 ,146 ,193 ,-,54 ,28 ,120 ,202 ,202 
Dist. of Columbia,6 ,4 ,2 ,12 ,5 ,3 ,7 ,16 ,17 ,2 ,87 ,106 ,-,31 ,7 ,125 ,164 ,164 
Florida,677 ,78 ,19 ,775 ,560 ,7 ,-,567 ,"3,941 ",32 ,-,"3,973 ",-,"4,177 ",10 ,-,"4,187 ","4,187 "
Georgia,412 ,298 ,-,710 ,89 ,56 ,-,145 ,"2,138 ",63 ,-,"2,201 ",-,"1,488 ",23 ,-,"1,510 ","1,510 "
Hawaii,22 ,33 ,-,55 ,33 ,1 ,-,34 ,257 ,9 ,-,265 ,-,191 ,1 ,-,192 ,192 
Idaho,65 ,26 ,-,90 ,-,-,-,-,457 ,15 ,-,472 ,5 ,669 ,1 ,-,669 ,674 
Illinois,10 ,170 ,729 ,910 ,18 ,27 ,56 ,102 ,55 ,516 ,"2,564 ","3,135 ",45 ,683 ,479 ,"3,284 ","4,446 ","4,492 "
Indiana,360 ,118 ,19 ,496 ,124 ,45 ,1 ,171 ,"1,458 ",149 ,67 ,"1,674 ",-,"3,035 ",127 ,11 ,"3,173 ","3,173 "
Iowa,6 ,110 ,56 ,172 ,-,-,-,-,5 ,388 ,493 ,886 ,4 ,122 ,823 ,700 ,"1,644 ","1,649 "
Kansas,56 ,109 ,70 ,234 ,39 ,58 ,90 ,187 ,128 ,102 ,108 ,338 ,7 ,948 ,221 ,182 ,"1,351 ","1,358 "
Kentucky,106 ,86 ,28 ,220 ,36 ,17 ,20 ,73 ,412 ,38 ,174 ,624 ,-,"1,159 ",41 ,195 ,"1,394 ","1,394 "
Louisiana,126 ,212 ,66 ,405 ,14 ,42 ,15 ,72 ,256 ,375 ,430 ,"1,062 ",1 ,846 ,458 ,635 ,"1,940 ","1,941 "
Maine,66 ,-,-,66 ,18 ,-,-,18 ,134 ,-,-,134 ,-,236 ,-,-,236 ,236 
Maryland,171 ,19 ,133 ,323 ,226 ,-,73 ,299 ,845 ,12 ,325 ,"1,182 ",1 ,"1,247 ",0 ,303 ,"1,551 ","1,551 "
Massachusetts,-,-,508 ,508 ,-,-,301 ,301 ,-,0 ,"1,850 ","1,850 ",-,5 ,820 ,"3,126 ","3,951 ","3,951 "
Michigan,61 ,327 ,295 ,684 ,83 ,162 ,108 ,353 ,825 ,543 ,965 ,"2,333 ",45 ,"3,548 ",404 ,852 ,"4,804 ","4,849 "
Minnesota,45 ,167 ,97 ,310 ,56 ,68 ,39 ,162 ,491 ,188 ,123 ,802 ,22 ,"2,504 ",106 ,64 ,"2,674 ","2,696 "
Mississippi,68 ,31 ,153 ,253 ,54 ,3 ,6 ,64 ,641 ,89 ,227 ,956 ,-,884 ,19 ,177 ,"1,080 ","1,080 "
Missouri,320 ,95 ,119 ,533 ,305 ,118 ,48 ,470 ,694 ,131 ,75 ,899 ,8 ,"1,877 ",189 ,56 ,"2,123 ","2,131 "
Montana,90 ,8 ,-,98 ,-,-,-,-,229 ,24 ,-,254 ,1 ,281 ,8 ,-,289 ,290 
Nebraska,5 ,45 ,17 ,67 ,2 ,86 ,39 ,127 ,47 ,232 ,117 ,395 ,51 ,386 ,321 ,32 ,738 ,789 
Nevada,77 ,47 ,26 ,150 ,53 ,2 ,-,55 ,355 ,1 ,2 ,358 ,6 ,876 ,2 ,3 ,880 ,886 
