,STATE,MINOR ARTERIAL,MAJOR COLLECTOR,LANE WIDTH IN  FEET,TOTAL,LANE WIDTH IN  FEET.1,TOTAL.1,< 9,9,10,11,12,> 12,< 9.1,9.1,10.1,11.1,12.1,> 12.1
0,Alabama,-,49,0,770,3135,60,4014,460,856,5020,3072,2771,20,12200,,,,
1,Alaska,-,-,18,33,271,110,431,1,7,88,192,1050,254,1592,,,,
2,Arizona,-,-,11,-,1272,1,1284,-,-,41,233,3725,205,4204,,,,
3,Arkansas,-,-,816,892,1363,-,3070,763,589,6097,3171,1215,-,11835,,,,
4,California,-,-,-,-,6057,-,6057,-,-,-,-,11816,-,11816,,,,
5,Colorado,-,3,158,700,2583,16,3460,64,69,420,1483,3283,130,5448,,,,
6,Connecticut,-,-,-,-,221,-,221,16,48,74,81,586,52,857,,,,
7,Delaware,-,-,14,16,74,1,105,-,21,167,109,118,20,435,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
9,Florida,-,-,179,146,1858,8,2191,50,210,917,972,1825,46,4020,,,,
10,Georgia,215,1,38,504,2758,1197,4712,189,1604,4249,1527,2883,1215,11667,,,,
11,Hawaii,-,27,32,72,122,1,255,16,57,54,37,55,1,220,,,,
12,Idaho,-,-,-,111,1350,-,1461,100,7,668,472,4693,-,5940,,,,
13,Illinois,-,36,74,760,2900,787,4558,177,905,2786,6840,2120,292,13120,,,,
14,Indiana,12,56,9,65,2063,33,2238,669,695,3143,304,5079,-,9890,,,,
15,Iowa,-,-,66,532,2901,389,3889,0,-,467,9262,3699,801,14228,,,,
16,Kansas,-,11,-,383,3744,111,4249,-,646,3002,8699,9340,763,22449,,,,
17,Kentucky,-,202,927,503,680,26,2338,90,1409,3452,501,339,14,5805,,,,
18,Louisiana,-,-,15,391,1481,-,1887,-,9,775,2549,1388,-,4720,,,,
19,Maine,9,83,136,156,566,3,953,306,209,1437,608,706,16,3281,,,,
20,Maryland,-,-,20,115,591,-,726,7,23,535,422,327,12,1326,,,,
21,Massachusetts,-,-,-,-,-,315,315,-,-,-,-,-,856,856,,,,
22,Michigan,59,43,281,1945,2544,14,4886,1035,410,3655,7222,3735,311,16368,,,,
23,Minnesota,-,-,16,46,6122,348,6533,64,-,-,334,14415,1163,15976,,,,
24,Mississippi,-,16,183,1461,1857,229,3746,252,1209,5383,3164,1829,103,11940,,,,
25,Missouri,-,-,1027,1798,1104,58,3987,-,-,9381,5795,1122,114,16413,,,,
26,Montana,-,-,-,463,2380,-,2843,195,281,882,526,4990,-,6875,,,,
27,Nebraska,-,-,2,22,3964,153,4141,952,583,1153,3107,5028,611,11434,,,,
28,Nevada,-,-,5,84,612,20,721,-,-,198,264,1416,320,2197,,,,
29,New Hampshire,-,-,-,16,542,68,626,-,-,1,50,710,279,1039,,,,
30,New Jersey,-,-,-,8,273,9,290,-,-,45,127,508,93,772,,,,
31,New Mexico,25,-,76,962,1118,71,2252,-,143,859,1992,1394,157,4545,,,,
32,New York,-,-,669,1228,976,-,2873,-,79,1294,2708,1508,-,5590,,,,
33,North Carolina,2,85,753,647,1007,-,2494,60,828,1196,2443,1340,-,5867,,,,
34,North Dakota,-,-,-,-,2516,-,2516,-,-,-,606,11382,-,11988,,,,
35,Ohio,-,79,597,478,1495,-,2649,-,3569,3888,803,2769,-,11029,,,,
36,Oklahoma,-,-,-,275,2367,24,2665,478,2280,6278,3805,8130,158,21130,,,,
37,Oregon,-,1,70,380,1712,62,2225,71,625,1501,2762,2889,321,8169,,,,
38,Pennsylvania,-,36,804,2370,1293,40,4543,86,488,2744,3212,841,-,7372,,,,
39,Rhode Island,-,-,-,8,52,12,72,-,-,10,32,103,27,172,,,,
40,South Carolina,-,-,103,655,1883,345,2986,67,633,3716,4028,1307,271,10022,,,,
41,South Dakota,-,3,3,35,2921,-,2962,162,501,631,1326,9801,-,12421,,,,
42,Tennessee,-,-,267,1188,1513,-,2967,30,807,1881,1414,798,-,4930,,,,
43,Texas,-,32,252,571,9608,-,10463,628,368,6117,6202,21481,284,35080,,,,
44,Utah,-,-,-,-,1321,-,1321,127,15,45,142,2779,153,3261,,,,
45,Vermont,7,18,179,422,96,7,728,80,397,588,673,241,9,1988,,,,
46,Virginia,-,32,2158,684,260,17,3151,1039,1591,3516,845,248,-,7240,,,,
47,Washington,-,-,134,1106,778,3,2021,-,-,979,3946,2851,314,8089,,,,
48,West Virginia,28,232,583,308,144,6,1302,1494,1418,950,631,871,1,5366,,,,
49,Wisconsin,-,-,32,354,4166,194,4746,78,54,202,4930,4931,1889,12084,,,,
50,Wyoming,-,-,-,1227,-,-,1227,-,-,-,2731,-,-,2731,,,,
51,U.S. Total,356,1045,10708,24887,90615,4739,132350,9807,23642,90488,106354,166437,11272,408001,,,,
52,Puerto Rico (3),73,-,119,-,-,40,232,92,-,107,-,-,44,243,,,,
53,Grand Total,429,1045,10827,24887,90615,4779,132582,9899,23642,90595,106354,166437,11316,408244,,,,
