STATE,INTERSTATE,,,,OTHER FREEWAYS  AND EXPRESSWAYS,,,,,,,OTHER PRINCIPAL  ARTERIAL,,,,,,
,LANE WIDTH IN  FEET,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL
,< 12,12,> 12,,< 9,9,10,11,12,> 12,,< 9,9,10,11,12,> 12,
Alabama,71 ,500 ,-,571 ,-,-,-,-,-,-,-,-,-,-,417 ,"1,612 ",-,"2,029 "
Alaska,12 ,829 ,162 ,"1,002 ",-,-,-,-,-,-,-,-,-,-,18 ,395 ,388 ,801 
Arizona,-,883 ,33 ,916 ,-,-,-,-,18 ,-,18 ,-,-,-,-,"1,101 ",110 ,"1,210 "
Arkansas,-,410 ,-,410 ,-,-,-,-,84 ,-,84 ,-,-,74 ,515 ,"1,308 ",-,"1,896 "
California,-,"1,206 ",-,"1,206 ",-,-,-,-,408 ,-,408 ,-,-,-,-,"3,287 ",-,"3,287 "
Colorado,-,582 ,66 ,648 ,-,-,-,-,28 ,-,28 ,-,-,18 ,164 ,"2,333 ",53 ,"2,569 "
Connecticut,-,29 ,-,29 ,-,-,-,-,36 ,-,36 ,-,-,-,1 ,118 ,-,119 
Delaware,-,-,-,-,-,-,-,-,12 ,13 ,25 ,-,-,1 ,4 ,99 ,17 ,121 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,-,717 ,-,717 ,-,-,-,-,171 ,1 ,172 ,-,-,34 ,29 ,"2,551 ",6 ,"2,619 "
Georgia,3 ,501 ,31 ,536 ,-,-,-,-,-,-,-,98 ,21 ,11 ,35 ,"1,642 ",544 ,"2,350 "
Hawaii,-,-,-,-,-,-,-,-,-,-,-,-,-,4 ,14 ,59 ,2 ,78 
Idaho,-,521 ,-,521 ,-,-,-,-,-,-,-,-,-,-,25 ,"1,726 ",-,"1,751 "
Illinois,-,"1,243 ",1 ,"1,243 ",-,-,-,-,-,-,-,-,-,-,267 ,"1,694 ",332 ,"2,293 "
Indiana,-,744 ,24 ,768 ,-,-,-,-,140 ,0 ,141 ,-,-,85 ,63 ,"1,301 ",-,"1,448 "
Iowa,-,538 ,74 ,612 ,-,-,-,-,-,-,-,-,-,-,147 ,"2,963 ",305 ,"3,415 "
Kansas,-,640 ,-,640 ,-,-,-,2 ,402 ,-,404 ,-,-,-,18 ,"2,565 ",44 ,"2,627 "
Kentucky,-,622 ,-,622 ,-,-,-,15 ,476 ,-,491 ,-,8 ,44 ,158 ,990 ,16 ,"1,216 "
Louisiana,-,502 ,-,502 ,-,-,-,-,24 ,-,24 ,-,-,-,58 ,959 ,-,"1,017 "
Maine,1 ,299 ,-,299 ,-,-,-,-,-,-,-,1 ,75 ,32 ,113 ,536 ,32 ,789 
Maryland,-,142 ,-,142 ,-,-,-,-,-,-,-,-,-,0 ,5 ,330 ,0 ,335 
Massachusetts,-,-,60 ,60 ,-,-,-,-,6 ,-,6 ,-,-,-,-,-,104 ,104 
Michigan,-,563 ,1 ,564 ,-,-,-,13 ,332 ,-,344 ,-,-,-,380 ,"1,750 ",-,"2,130 "
Minnesota,-,446 ,148 ,594 ,-,-,-,-,4 ,0 ,4 ,-,-,-,49 ,"3,377 ",55 ,"3,481 "
Mississippi,-,486 ,68 ,554 ,-,-,-,-,-,-,-,-,-,-,9 ,"1,437 ",338 ,"1,783 "
Missouri,-,823 ,13 ,836 ,-,-,-,5 ,915 ,0 ,919 ,-,1 ,111 ,298 ,"1,597 ",26 ,"2,032 "
Montana,-,"1,095 ",-,"1,095 ",-,-,-,-,-,-,-,-,44 ,21 ,91 ,"2,618 ",-,"2,773 "
Nebraska,-,415 ,-,415 ,-,-,-,-,308 ,24 ,333 ,-,-,-,2 ,"2,304 ",47 ,"2,353 "
Nevada,102 ,281 ,65 ,448 ,-,-,-,-,-,-,-,-,-,-,98 ,"1,197 ",208 ,"1,502 "
New Hampshire,-,142 ,-,142 ,-,-,-,-,3 ,6 ,9 ,-,-,-,-,324 ,0 ,324 
New Jersey,-,45 ,-,45 ,-,-,-,-,35 ,-,35 ,-,-,-,-,153 ,4 ,157 
New Mexico,-,847 ,-,847 ,-,-,-,-,-,-,-,-,18 ,48 ,575 ,"1,212 ",88 ,"1,941 "
