STATE,MINOR ARTERIAL,,,,,,,MAJOR COLLECTOR,,,,,,,MINOR COLLECTOR,,,,,,
,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL,LANE WIDTH IN  FEET,,,,,,TOTAL
,< 9,9,10,11,12,> 12,,< 9,9,10,11,12,> 12,,< 9,9,10,11,12,> 12,
Alabama,5 ,28 ,267 ,457 ,"1,345 ",242 ,"2,345 ",20 ,215 ,"1,290 ",699 ,890 ,508 ,"3,622 ",1 ,16 ,120 ,32 ,15 ,2 ,186 
Alaska,-,-,2 ,19 ,151 ,32 ,203 ,-,1 ,8 ,11 ,166 ,62 ,248 ,-,1 ,16 ,8 ,199 ,11 ,235 
Arizona,-,-,25 ,209 ,"2,098 ",303 ,"2,635 ",-,2 ,10 ,51 ,"1,742 ",139 ,"1,943 ",-,-,2 ,0 ,206 ,8 ,216 
Arkansas,14 ,156 ,414 ,434 ,675 ,135 ,"1,827 ",205 ,294 ,825 ,261 ,387 ,202 ,"2,174 ",39 ,52 ,77 ,34 ,26 ,12 ,239 
California,-,-,-,-,"11,138 ",-,"11,138 ",-,-,-,-,"13,024 ",-,"13,024 ",-,-,-,-,385 ,-,385 
Colorado,9 ,5 ,217 ,179 ,"1,307 ",93 ,"1,808 ",6 ,13 ,315 ,193 ,"1,195 ",134 ,"1,856 ",-,1 ,11 ,8 ,41 ,5 ,66 
Connecticut,-,2 ,47 ,75 ,"1,538 ",11 ,"1,673 ",3 ,39 ,171 ,220 ,"1,378 ",3 ,"1,814 ",-,22 ,52 ,42 ,194 ,-,310 
Delaware,7 ,0 ,13 ,27 ,125 ,30 ,202 ,8 ,11 ,72 ,90 ,113 ,65 ,359 ,0 ,3 ,18 ,15 ,12 ,3 ,50 
Dist. of Columbia,5 ,27 ,56 ,34 ,21 ,21 ,164 ,9 ,20 ,31 ,47 ,33 ,15 ,155 ,-,-,-,-,-,-,-
Florida,5 ,24 ,438 ,943 ,"2,523 ",253 ,"4,187 ",45 ,166 ,"1,641 ","1,585 ","2,622 ",385 ,"6,445 ",17 ,58 ,554 ,378 ,766 ,87 ,"1,860 "
Georgia,196 ,119 ,666 ,735 ,"1,951 ","1,294 ","4,961 ",177 ,109 ,883 ,667 ,936 ,953 ,"3,724 ",9 ,49 ,450 ,95 ,56 ,27 ,685 
Hawaii,5 ,4 ,18 ,38 ,126 ,1 ,192 ,-,16 ,48 ,27 ,163 ,8 ,262 ,6 ,6 ,45 ,6 ,111 ,14 ,188 
Idaho,-,2 ,45 ,35 ,592 ,-,674 ,1 ,-,77 ,28 ,630 ,-,736 ,-,-,-,1 ,6 ,-,7 
Illinois,-,58 ,615 ,898 ,"2,162 ",759 ,"4,492 ",3 ,354 ,"1,029 ",994 ,"2,227 ",725 ,"5,332 ",-,31 ,112 ,139 ,74 ,7 ,364 
Indiana,139 ,347 ,899 ,172 ,"1,517 ",102 ,"3,177 ",311 ,936 ,"1,053 ",182 ,674 ,162 ,"3,317 ",110 ,87 ,45 ,13 ,66 ,60 ,381 
Iowa,13 ,14 ,95 ,176 ,434 ,915 ,"1,647 ",0 ,7 ,41 ,148 ,347 ,743 ,"1,286 ",-,-,-,-,-,-,-
