,STATE,INTERSTATE,OTHER FREEWAYS    AND EXPRESSWAYS,OTHER PRINCIPAL    ARTERIAL,DIVIDED    HIGHWAYS (2),OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),OTHER (3).1,TOTAL.1,2 LANES.1,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2).1,OTHER (3).2,TOTAL.2,FULL ACCESS CONTROL,DEGREE OF ACCESS CONTROL,TOTAL.3,DEGREE OF ACCESS CONTROL.1,TOTAL.4,4 LANES,> 4 LANES,NONE,PARTIAL,FULL,NONE.1,PARTIAL.1,FULL.1
0,Alabama,440,106,25,571,-,-,-,-,-,-,-,921,1019,-,-,1019,90,2029,,,,,,,,,
1,Alaska,12,2,988,1002,-,-,-,-,-,-,-,791,-,-,-,-,10,801,,,,,,,,,
2,Arizona,882,28,6,916,0,-,-,18,18,-,18,674,374,62,-,436,100,1210,,,,,,,,,
3,Arkansas,410,-,-,410,-,-,2,82,84,-,84,1341,-,195,-,195,361,1896,,,,,,,,,
4,California,990,195,22,1206,35,18,125,229,372,-,408,2303,217,292,242,752,232,3287,,,,,,,,,
5,Colorado,638,10,-,648,1,-,18,3,20,7,28,2236,-,157,-,157,173,2566,,,,,,,,,
6,Connecticut,11,17,-,29,-,-,-,35,35,0,36,114,-,-,-,-,5,119,,,,,,,,,
7,Delaware,-,-,-,-,-,-,11,14,25,-,25,33,73,13,-,86,2,121,,,,,,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
9,Florida,477,240,-,717,8,-,-,163,163,-,171,1506,1113,-,-,1113,1,2619,,,,,,,,,
10,Georgia,380,154,2,536,-,-,-,-,-,-,-,1055,885,5,-,891,404,2350,,,,,,,,,
11,Hawaii,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,1,78,,,,,,,,,
12,Idaho,520,-,1,521,-,-,-,-,-,-,-,1447,34,51,-,85,219,1751,,,,,,,,,
13,Illinois,1206,37,-,1243,-,-,-,-,-,-,-,1832,170,155,123,448,13,2293,,,,,,,,,
14,Indiana,689,9,70,768,0,4,132,5,140,-,141,919,220,309,-,529,0,1448,,,,,,,,,
15,Iowa,611,1,-,612,-,-,-,-,-,-,-,2652,-,389,311,700,63,3415,,,,,,,,,
16,Kansas,628,11,-,640,9,-,219,176,395,1,404,2533,-,48,-,48,46,2627,,,,,,,,,
17,Kentucky,418,205,-,622,32,-,-,460,460,-,492,785,215,184,-,399,32,1216,,,,,,,,,
18,Louisiana,459,42,-,502,-,12,4,9,24,-,24,414,427,42,-,469,134,1017,,,,,,,,,
19,Maine,259,40,0,299,-,-,-,-,-,-,-,756,1,0,2,4,29,789,,,,,,,,,
20,Maryland,60,82,-,142,-,-,-,-,-,-,-,106,109,95,7,211,19,335,,,,,,,,,
21,Massachusetts,49,11,-,60,6,-,-,-,-,-,6,97,-,-,-,-,7,104,,,,,,,,,
22,Michigan,524,39,1,564,-,-,-,344,344,-,344,1969,3,65,-,68,93,2130,,,,,,,,,
23,Minnesota,586,4,4,594,1,0,2,-,3,-,4,2668,473,143,7,623,191,3481,,,,,,,,,
24,Mississippi,543,1,10,554,-,-,-,-,-,-,-,294,1123,339,22,1484,6,1783,,,,,,,,,
25,Missouri,836,-,-,836,-,-,663,257,919,-,919,1593,0,329,39,368,72,2032,,,,,,,,,
26,Montana,1095,-,-,1095,-,-,-,-,-,-,-,2553,-,26,-,26,195,2773,,,,,,,,,
27,Nebraska,386,28,-,415,0,34,283,16,333,-,333,2296,16,29,-,45,12,2353,,,,,,,,,
28,Nevada,421,18,8,448,-,-,-,-,-,-,-,1319,6,100,-,105,78,1502,,,,,,,,,
29,New Hampshire,133,3,6,142,-,-,-,9,9,-,9,302,-,-,-,-,21,324,,,,,,,,,
30,New Jersey,13,31,-,45,1,-,-,34,34,-,35,134,2,-,13,15,8,157,,,,,,,,,
31,New Mexico,731,27,88,847,-,-,-,-,-,-,-,736,961,2,-,963,242,1941,,,,,,,,,
32,New York,770,15,18,803,-,-,0,113,113,-,113,1802,102,102,9,213,116,2132,,,,,,,,,
33,North Carolina,499,45,8,551,4,0,53,342,394,8,407,788,407,146,34,587,172,1547,,,,,,,,,
34,North Dakota,511,-,-,511,-,-,-,-,-,-,-,2440,13,446,-,458,65,2963,,,,,,,,,
