,STATE,MINOR ARTERIAL,MAJOR COLLECTOR,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),OTHER (3),TOTAL,2 LANES.1,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2).1,OTHER (3).1,TOTAL.1,DEGREE OF ACCESS CONTROL,TOTAL.2,DEGREE OF ACCESS CONTROL.1,TOTAL.3,NONE,PARTIAL,FULL,NONE.1,PARTIAL.1,FULL.1
0,Alabama,3726,228,-,-,228,61,4014,11934,-,-,-,-,267,12200,,,,,,
1,Alaska,347,1,-,-,1,81,429,1568,-,-,-,-,30,1598,,,,,,
2,Arizona,1244,20,-,-,20,21,1284,4124,7,-,-,7,73,4204,,,,,,
3,Arkansas,2675,-,-,-,-,395,3070,11741,-,-,-,-,94,11835,,,,,,
4,California,5998,10,-,-,10,49,6057,11791,11,-,-,11,14,11816,,,,,,
5,Colorado,3452,-,8,-,8,0,3460,5448,-,-,-,-,-,5448,,,,,,
6,Connecticut,221,-,-,-,-,-,221,857,-,-,-,-,-,857,,,,,,
7,Delaware,93,12,-,-,12,-,105,435,-,-,-,-,1,435,,,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
9,Florida,2101,83,-,-,83,7,2191,3994,2,-,-,2,24,4020,,,,,,
10,Georgia,4342,9,-,-,9,361,4712,11627,-,-,-,-,41,11667,,,,,,
11,Hawaii,254,0,0,-,0,1,255,220,-,-,-,-,-,220,,,,,,
12,Idaho,1392,4,-,-,4,65,1461,5865,2,-,-,2,73,5940,,,,,,
13,Illinois,4461,-,44,-,44,53,4558,13017,-,-,-,-,103,13120,,,,,,
14,Indiana,2004,40,146,-,185,49,2238,9641,1,116,-,116,133,9890,,,,,,
15,Iowa,3837,-,16,-,16,31,3885,14156,-,1,-,1,22,14179,,,,,,
16,Kansas,4162,3,17,-,20,67,4249,22434,-,14,-,14,-,22449,,,,,,
17,Kentucky,2273,18,29,-,47,19,2338,5793,1,-,8,8,3,5805,,,,,,
18,Louisiana,1668,184,-,-,184,35,1887,4658,26,-,-,26,36,4720,,,,,,
19,Maine,924,1,-,1,2,25,952,3265,0,-,0,0,15,3280,,,,,,
20,Maryland,718,4,-,-,4,5,726,1313,12,-,-,12,2,1326,,,,,,
21,Massachusetts,315,-,-,-,-,-,315,856,-,-,-,-,-,856,,,,,,
22,Michigan,4825,-,22,-,22,39,4886,16356,-,-,-,-,12,16368,,,,,,
23,Minnesota,6512,3,-,-,3,19,6533,15976,-,-,-,-,-,15976,,,,,,
24,Mississippi,3668,27,45,1,72,6,3746,11908,3,1,11,15,17,11940,,,,,,
25,Missouri,3960,-,-,-,-,27,3987,16361,-,-,-,-,52,16413,,,,,,
26,Montana,2814,-,6,-,6,23,2843,6839,-,-,-,-,5,6843,,,,,,
27,Nebraska,4134,3,3,-,6,1,4141,11434,-,-,-,-,-,11434,,,,,,
28,Nevada,707,7,-,-,7,7,721,2193,-,-,-,-,4,2197,,,,,,
29,New Hampshire,612,-,-,-,-,14,626,1039,-,-,-,-,-,1039,,,,,,
30,New Jersey,287,3,-,-,3,-,290,772,-,-,-,-,-,772,,,,,,
31,New Mexico,2028,129,-,-,129,95,2252,4545,-,-,-,-,-,4545,,,,,,
32,New York,2785,54,-,3,57,30,2873,5589,-,-,-,-,0,5590,,,,,,
33,North Carolina,2806,194,0,-,195,91,3092,7393,-,-,-,-,100,7493,,,,,,
34,North Dakota,2516,-,-,-,-,-,2516,11988,-,-,-,-,-,11988,,,,,,
35,Ohio,2630,10,-,-,10,10,2649,10950,70,-,-,70,10,11029,,,,,,
36,Oklahoma,2366,223,-,-,223,76,2665,20948,47,12,-,59,123,21130,,,,,,
37,Oregon,2164,11,-,-,11,50,2225,8169,-,-,-,-,-,8169,,,,,,
38,Pennsylvania,4388,34,4,17,55,99,4543,7341,-,-,-,-,30,7372,,,,,,
39,Rhode Island,69,3,-,-,3,-,72,164,3,-,-,3,5,172,,,,,,
40,South Carolina,2844,78,-,-,78,64,2986,10004,17,-,-,17,-,10022,,,,,,
41,South Dakota,2948,-,4,-,4,10,2962,12409,3,8,-,12,-,12421,,,,,,
42,Tennessee,2578,118,-,-,118,271,2967,4893,0,-,-,0,37,4930,,,,,,
43,Texas,9510,203,-,-,203,750,10463,34936,-,1,56,57,86,35080,,,,,,
44,Utah,1312,0,-,-,0,9,1321,3250,-,-,-,-,11,3261,,,,,,
45,Vermont,728,-,-,-,-,-,728,1967,-,-,-,-,21,1988,,,,,,
46,Virginia,3046,74,49,-,123,14,3183,7183,57,-,-,57,-,7240,,,,,,
47,Washington,2009,-,12,-,12,-,2021,7954,-,-,-,-,135,8089,,,,,,
48,West Virginia,1301,-,-,-,-,1,1302,5344,-,-,-,-,22,5366,,,,,,
49,Wisconsin,4718,3,-,-,3,26,4746,12048,36,-,-,36,-,12084,,,,,,
50,Wyoming,1200,-,-,-,-,27,1227,2700,-,-,-,-,31,2731,,,,,,
51,U.S. Total,127671,1793,406,21,2220,3081,132973,407392,298,153,75,527,1630,409549,,,,,,
52,Puerto Rico (4),230,-,2,-,2,-,232,244,-,-,-,-,-,244,,,,,,
53,Grand Total,127901,1793,408,21,2222,3081,133205,407636,298,153,75,527,1630,409793,,,,,,
