STATE,INTERSTATE,,,,OTHER FREEWAYS    AND EXPRESSWAYS,,,,,,,OTHER PRINCIPAL    ARTERIAL,,,,,,
,DIVIDED    HIGHWAYS (2),,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2    LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL
,FULL ACCESS CONTROL,,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,
,4 LANES,> 4 LANES,,,,NONE,PARTIAL,FULL,,,,,NONE,PARTIAL,FULL,,,
Alabama,206 ,208 ,16 ,430 ,-,2 ,3 ,17 ,23 ,4 ,27 ,314 ,664 ,15 ,7 ,686 ,297 ,"1,296 "
Alaska,17 ,9 ,53 ,79 ,-,-,-,-,-,-,-,33 ,32 ,31 ,5 ,68 ,35 ,136 
Arizona,130 ,122 ,-,252 ,1 ,9 ,8 ,196 ,213 ,0 ,214 ,106 ,435 ,42 ,21 ,497 ,240 ,843 
Arkansas,200 ,84 ,-,284 ,1 ,-,0 ,106 ,106 ,2 ,109 ,144 ,22 ,98 ,-,120 ,363 ,627 
California,86 ,"1,048 ",6 ,"1,139 ",39 ,64 ,70 ,"1,308 ","1,442 ",31 ,"1,511 ","3,389 ","1,917 ",91 ,210 ,"2,218 ",953 ,"6,560 "
Colorado,177 ,127 ,-,304 ,4 ,-,189 ,114 ,303 ,18 ,324 ,208 ,104 ,508 ,-,612 ,231 ,"1,050 "
Connecticut,140 ,177 ,1 ,317 ,4 ,0 ,1 ,235 ,235 ,4 ,244 ,513 ,64 ,2 ,2 ,67 ,129 ,709 
Delaware,13 ,27 ,-,41 ,1 ,-,6 ,24 ,31 ,-,31 ,27 ,120 ,9 ,2 ,131 ,36 ,193 
Dist. of Columbia,2 ,9 ,1 ,12 ,-,-,7 ,6 ,13 ,2 ,16 ,12 ,35 ,11 ,2 ,48 ,46 ,106 
Florida,153 ,620 ,2 ,775 ,20 ,-,29 ,511 ,540 ,7 ,567 ,630 ,"2,971 ",-,-,"2,971 ",371 ,"3,972 "
Georgia,185 ,515 ,11 ,712 ,5 ,-,-,158 ,158 ,0 ,163 ,347 ,"1,013 ",11 ,56 ,"1,079 ",879 ,"2,305 "
Hawaii,19 ,36 ,0 ,55 ,1 ,2 ,12 ,17 ,31 ,1 ,34 ,142 ,29 ,68 ,4 ,101 ,22 ,265 
Idaho,64 ,26 ,1 ,90 ,-,-,-,-,-,-,-,256 ,46 ,14 ,-,60 ,156 ,472 
Illinois,478 ,431 ,-,910 ,-,-,10 ,90 ,100 ,2 ,102 ,"1,082 ",885 ,378 ,67 ,"1,329 ",719 ,"3,130 "
Indiana,289 ,190 ,17 ,496 ,19 ,5 ,117 ,14 ,136 ,15 ,171 ,604 ,238 ,421 ,5 ,664 ,408 ,"1,676 "
Iowa,92 ,79 ,1 ,172 ,-,-,-,-,-,-,-,283 ,27 ,171 ,171 ,369 ,245 ,898 
Kansas,151 ,84 ,-,234 ,11 ,-,75 ,97 ,173 ,4 ,187 ,111 ,25 ,85 ,22 ,132 ,94 ,338 
Kentucky,85 ,135 ,-,220 ,2 ,-,-,69 ,69 ,-,70 ,101 ,196 ,135 ,-,330 ,196 ,627 
Louisiana,302 ,102 ,0 ,405 ,-,1 ,21 ,51 ,72 ,-,72 ,186 ,544 ,111 ,12 ,666 ,209 ,"1,062 "
Maine,61 ,5 ,0 ,66 ,3 ,-,2 ,13 ,15 ,1 ,18 ,87 ,5 ,6 ,2 ,13 ,33 ,133 
Maryland,73 ,262 ,3 ,338 ,9 ,-,90 ,198 ,288 ,8 ,305 ,386 ,507 ,102 ,35 ,645 ,149 ,"1,181 "
Massachusetts,140 ,368 ,1 ,508 ,32 ,5 ,-,258 ,264 ,5 ,301 ,"1,452 ",133 ,121 ,-,254 ,145 ,"1,851 "
Michigan,314 ,368 ,1 ,684 ,2 ,-,1 ,352 ,354 ,0 ,356 ,626 ,198 ,354 ,1 ,554 ,"1,170 ","2,350 "
Minnesota,176 ,104 ,1 ,281 ,8 ,39 ,14 ,102 ,154 ,-,162 ,241 ,286 ,165 ,30 ,482 ,85 ,808 
Mississippi,200 ,50 ,2 ,253 ,1 ,5 ,10 ,47 ,62 ,1 ,64 ,277 ,254 ,114 ,32 ,400 ,279 ,955 
Missouri,236 ,296 ,2 ,533 ,0 ,7 ,221 ,206 ,435 ,35 ,470 ,196 ,127 ,111 ,21 ,259 ,443 ,899 
Montana,96 ,1 ,1 ,98 ,-,-,-,-,-,-,-,112 ,-,42 ,-,42 ,100 ,254 
Nebraska,26 ,41 ,-,67 ,0 ,35 ,63 ,26 ,124 ,4 ,127 ,116 ,128 ,84 ,2 ,214 ,65 ,395 
Nevada,74 ,67 ,9 ,150 ,19 ,-,-,30 ,30 ,6 ,55 ,64 ,30 ,78 ,15 ,124 ,170 ,358 
New Hampshire,50 ,32 ,1 ,83 ,2 ,3 ,3 ,66 ,71 ,1 ,74 ,158 ,21 ,2 ,2 ,25 ,36 ,219 
New Jersey,68 ,317 ,1 ,387 ,4 ,16 ,48 ,385 ,449 ,0 ,453 ,887 ,653 ,67 ,42 ,761 ,155 ,"1,803 "
New Mexico,100 ,51 ,2 ,153 ,-,11 ,-,-,11 ,-,11 ,143 ,270 ,50 ,-,320 ,220 ,684 
New York,514 ,415 ,3 ,932 ,31 ,9 ,219 ,539 ,767 ,16 ,814 ,"1,740 ",618 ,148 ,59 ,824 ,463 ,"3,028 "
North Carolina,401 ,287 ,27 ,715 ,2 ,16 ,97 ,328 ,441 ,20 ,463 ,443 ,464 ,294 ,53 ,812 ,720 ,"1,975 "
North Dakota,54 ,6 ,-,60 ,-,-,-,-,-,-,-,71 ,14 ,51 ,-,65 ,52 ,188 
