STATE,INTERSTATE,,,,,OTHER  FREEWAYS  AND  EXPRESSWAYS ,,,,,,,OTHER  PRINCIPAL  ARTERIAL ,,,,,,
,AVERAGE  DAILY  TRAFFIC  VOLUME ,,,,TOTAL,AVERAGE  DAILY  TRAFFIC  VOLUME ,,,,,,TOTAL,AVERAGE  DAILY  TRAFFIC  VOLUME ,,,,,,TOTAL
,"LESS  THAN 10,000 ","10,000- 19,999 ","20,000- 34,999 ","35,000 AND  OVER ",,"LESS  THAN 1,000 ","1,000- 1,999 ","2,000- 2,999 ","3,000- 9,999 ","10,000- 14,999 ","15,000 AND  OVER ",,"LESS  THAN 1,000 ","1,000- 1,999 ","2,000- 2,999 ","3,000- 9,999 ","10,000- 14,999 ","15,000 AND  OVER ",
Alabama,1 ,128 ,268 ,175 ,571 ,-,-,-,-,-,-,-,9 ,118 ,263 ,"1,179 ",296 ,170 ,"2,035 "
Alaska,981 ,7 ,11 ,3 ,"1,002 ",-,-,-,-,-,-,-,632 ,41 ,42 ,80 ,5 ,0 ,802 
Arizona,91 ,521 ,247 ,58 ,917 ,-,-,-,15 ,3 ,-,18 ,12 ,71 ,79 ,750 ,193 ,105 ,"1,210 "
Arkansas,26 ,50 ,292 ,42 ,410 ,-,1 ,-,42 ,23 ,20 ,85 ,33 ,171 ,208 ,"1,345 ",98 ,41 ,"1,897 "
California,52 ,347 ,375 ,435 ,"1,209 ",1 ,0 ,0 ,4 ,18 ,384 ,408 ,215 ,335 ,197 ,"1,639 ",476 ,426 ,"3,287 "
Colorado,164 ,288 ,144 ,53 ,648 ,-,-,-,1 ,1 ,26 ,28 ,239 ,369 ,617 ,"1,159 ",80 ,105 ,"2,569 "
Connecticut,-,0 ,9 ,19 ,29 ,-,-,-,8 ,2 ,26 ,36 ,-,-,1 ,60 ,39 ,19 ,119 
Delaware,-,-,-,-,-,-,-,-,-,-,25 ,25 ,-,-,1 ,12 ,20 ,88 ,121 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,-,71 ,341 ,305 ,717 ,-,-,-,22 ,1 ,150 ,173 ,20 ,69 ,158 ,"1,615 ",456 ,301 ,"2,619 "
Georgia,1 ,66 ,204 ,265 ,536 ,-,-,-,-,-,-,-,15 ,164 ,281 ,"1,461 ",245 ,183 ,"2,350 "
Hawaii,-,-,-,-,-,-,-,-,-,-,-,-,-,0 ,-,57 ,5 ,16 ,78 
Idaho,206 ,210 ,106 ,-,521 ,-,-,-,-,-,-,-,235 ,364 ,334 ,733 ,58 ,28 ,"1,751 "
Illinois,96 ,575 ,535 ,37 ,"1,243 ",-,-,1 ,14 ,15 ,-,30 ,31 ,204 ,519 ,"1,474 ",63 ,5 ,"2,295 "
Indiana,93 ,180 ,274 ,221 ,768 ,-,-,-,32 ,42 ,67 ,141 ,3 ,15 ,67 ,"1,033 ",223 ,108 ,"1,448 "
Iowa,20 ,259 ,281 ,52 ,612 ,-,-,-,-,-,-,-,24 ,409 ,758 ,"1,938 ",236 ,55 ,"3,419 "
Kansas,65 ,486 ,60 ,29 ,639 ,-,-,5 ,285 ,84 ,30 ,404 ,44 ,627 ,695 ,"1,245 ",14 ,2 ,"2,627 "
Kentucky,12 ,97 ,190 ,324 ,622 ,-,4 ,-,266 ,175 ,46 ,492 ,-,42 ,47 ,859 ,172 ,95 ,"1,216 "
Louisiana,31 ,168 ,132 ,201 ,532 ,-,-,-,-,-,24 ,24 ,-,24 ,96 ,712 ,131 ,68 ,"1,031 "
Maine,117 ,52 ,77 ,53 ,299 ,-,-,-,-,-,-,-,0 ,70 ,107 ,461 ,110 ,40 ,789 
Maryland,-,59 ,12 ,70 ,142 ,-,-,-,-,-,-,-,-,0 ,3 ,74 ,83 ,175 ,335 
Massachusetts,-,2 ,45 ,17 ,64 ,-,-,-,2 ,1 ,8 ,10 ,-,10 ,7 ,67 ,10 ,11 ,105 
Michigan,115 ,142 ,165 ,143 ,566 ,-,-,2 ,98 ,78 ,165 ,344 ,47 ,323 ,254 ,"1,301 ",135 ,70 ,"2,130 "
Minnesota,135 ,287 ,126 ,45 ,594 ,-,-,-,4 ,-,-,4 ,108 ,461 ,575 ,"1,925 ",205 ,207 ,"3,481 "
Mississippi,2 ,293 ,222 ,37 ,554 ,-,-,-,-,-,-,-,29 ,49 ,106 ,"1,186 ",262 ,151 ,"1,783 "
Missouri,31 ,383 ,353 ,74 ,842 ,-,-,6 ,514 ,231 ,175 ,926 ,42 ,323 ,357 ,"1,044 ",161 ,104 ,"2,032 "
Montana,"1,011 ",81 ,2 ,-,"1,094 ",-,-,-,-,-,-,-,625 ,"1,010 ",584 ,484 ,41 ,29 ,"2,773 "
Nebraska,104 ,166 ,111 ,34 ,415 ,-,5 ,36 ,218 ,54 ,20 ,333 ,261 ,738 ,541 ,809 ,4 ,0 ,"2,353 "
Nevada,329 ,9 ,76 ,33 ,448 ,-,-,-,-,-,-,-,399 ,378 ,384 ,305 ,19 ,18 ,"1,504 "
New Hampshire,26 ,62 ,42 ,12 ,142 ,-,-,-,-,-,9 ,9 ,-,0 ,32 ,169 ,94 ,29 ,324 
New Jersey,-,-,-,45 ,45 ,-,-,-,-,1 ,35 ,35 ,-,-,5 ,59 ,55 ,38 ,157 
New Mexico,299 ,337 ,198 ,12 ,847 ,-,-,-,-,-,-,-,138 ,344 ,401 ,825 ,175 ,58 ,"1,941 "
New York,220 ,247 ,259 ,77 ,803 ,-,-,-,44 ,40 ,29 ,113 ,54 ,283 ,310 ,"1,335 ",114 ,37 ,"2,132 "
North Carolina,14 ,136 ,225 ,176 ,551 ,1 ,-,0 ,52 ,138 ,217 ,408 ,6 ,33 ,72 ,798 ,321 ,319 ,"1,547 "
North Dakota,360 ,151 ,-,-,511 ,-,-,-,-,-,-,-,"1,078 ",798 ,396 ,650 ,39 ,3 ,"2,963 "
Ohio,5 ,48 ,245 ,344 ,643 ,-,2 ,3 ,115 ,107 ,105 ,331 ,19 ,45 ,126 ,946 ,232 ,149 ,"1,518 "
Oklahoma,31 ,310 ,237 ,69 ,646 ,-,-,-,-,-,-,-,69 ,218 ,415 ,"1,199 ",114 ,238 ,"2,252 "
Oregon,67 ,235 ,132 ,61 ,495 ,-,-,-,-,-,-,-,495 ,540 ,297 ,"1,129 ",131 ,67 ,"2,658 "
Pennsylvania,17 ,170 ,703 ,221 ,"1,112 ",-,2 ,3 ,102 ,99 ,151 ,357 ,1 ,121 ,164 ,907 ,228 ,140 ,"1,563 "
Rhode Island,-,-,-,18 ,18 ,-,-,-,-,4 ,7 ,11 ,-,5 ,16 ,57 ,17 ,2 ,97 
South Carolina,-,1 ,201 ,344 ,546 ,-,-,-,19 ,12 ,14 ,45 ,-,62 ,199 ,946 ,209 ,131 ,"1,546 "
South Dakota,401 ,184 ,6 ,-,591 ,-,15 ,95 ,180 ,1 ,-,291 ,871 ,"1,120 ",332 ,268 ,2 ,-,"2,593 "
Tennessee,18 ,21 ,259 ,276 ,573 ,-,-,-,-,-,-,-,5 ,122 ,120 ,"1,100 ",253 ,137 ,"1,737 "
Texas,398 ,525 ,744 ,334 ,"2,001 ",-,-,-,4 ,-,-,4 ,167 ,821 ,958 ,"4,677 ","1,114 ",701 ,"8,438 "
Utah,360 ,229 ,83 ,12 ,684 ,-,-,-,-,-,9 ,9 ,123 ,189 ,225 ,564 ,39 ,24 ,"1,164 "
Vermont,101 ,121 ,37 ,-,259 ,-,-,-,2 ,-,-,2 ,-,2 ,17 ,264 ,29 ,-,312 
Virginia,36 ,14 ,153 ,267 ,469 ,2 ,-,-,18 ,35 ,33 ,88 ,43 ,35 ,59 ,578 ,314 ,267 ,"1,297 "
Washington,1 ,211 ,112 ,105 ,429 ,6 ,63 ,37 ,391 ,27 ,90 ,614 ,104 ,181 ,230 ,685 ,55 ,56 ,"1,312 "
West Virginia,24 ,185 ,87 ,14 ,309 ,-,-,-,1 ,8 ,-,9 ,38 ,113 ,149 ,492 ,162 ,41 ,995 
Wisconsin,-,107 ,245 ,160 ,512 ,-,-,-,10 ,53 ,80 ,142 ,-,126 ,439 ,"1,847 ",380 ,138 ,"2,931 "
Wyoming,463 ,345 ,-,-,808 ,-,-,-,-,-,-,-,284 ,764 ,591 ,337 ,7 ,-,"1,983 "
U.S. Total,"6,524 ","8,565 ","8,629 ","5,272 ","28,990 ",11 ,91 ,189 ,"2,462 ","1,253 ","1,942 ","5,948 ","6,518 ","12,310 ","12,834 ","44,840 ","7,922 ","5,195 ","89,618 "
Puerto Rico (2),-,4 ,15 ,12 ,31 ,-,-,-,-,-,-,-,2 ,-,2 ,18 ,13 ,18 ,53 
Grand Total,"6,524 ","8,569 ","8,644 ","5,284 ","29,021 ",11 ,91 ,189 ,"2,462 ","1,253 ","1,942 ","5,948 ","6,520 ","12,310 ","12,836 ","44,858 ","7,935 ","5,213 ","89,671 "
