,STATE,INTERSTATE,OTHER  FREEWAYS  AND  EXPRESSWAYS ,OTHER  PRINCIPAL  ARTERIAL ,AVERAGE  DAILY  TRAFFIC  VOLUME ,TOTAL,AVERAGE  DAILY  TRAFFIC  VOLUME .1,TOTAL.1,AVERAGE  DAILY  TRAFFIC  VOLUME .2,TOTAL.2,"LESS  THAN 30,000 ","30,000- 69,999 ","70,000- 124,999 ","125,000- 174,999 ","175,000- AND  OVER ","LESS  THAN 15,000 ","15,000- 34,999 ","35,000- 59,999 ","60,000- 99,999 ","100,000- AND  OVER ","LESS  THAN 7,500 ","7,500- 14,999 ","15,000- 34,999 .1","35,000- 59,999 .1","60,000 AND  OVER "
0,Alabama,79,224,114,12,-,430,0,9,6,8,3,27,100,382,696,109,10,1298,,,,,,
1,Alaska,52,27,-,-,-,79,-,-,-,-,-,-,7,44,78,8,-,136,,,,,,
2,Arizona,57,92,48,30,25,252,30,18,28,29,109,214,71,149,387,223,13,843,,,,,,
3,Arkansas,83,148,61,2,-,293,43,48,14,10,-,116,114,198,295,23,-,630,,,,,,
4,California,61,116,238,270,557,1241,57,168,258,413,680,1576,973,1240,3335,924,107,6579,,,,,,
5,Colorado,70,76,96,35,27,304,39,122,86,56,22,324,89,213,573,190,4,1068,,,,,,
6,Connecticut,16,105,137,60,-,317,16,66,85,76,0,244,92,324,287,7,-,710,,,,,,
7,Delaware,0,15,17,5,4,41,2,5,13,8,2,31,5,18,122,43,7,194,,,,,,
8,Dist. of Columbia,0,1,7,2,1,12,-,5,4,4,4,16,2,13,72,18,2,107,,,,,,
9,Florida,40,249,274,132,84,778,46,90,180,156,100,572,133,602,1843,1232,164,3975,,,,,,
10,Georgia,26,336,182,83,84,712,6,47,58,31,21,163,366,664,1068,192,15,2306,,,,,,
11,Hawaii,7,14,22,7,4,55,1,13,14,5,-,34,10,98,126,30,2,265,,,,,,
12,Idaho,40,31,19,-,-,90,-,-,-,-,-,-,134,167,155,15,1,472,,,,,,
13,Illinois,296,311,138,142,55,942,49,30,17,8,5,109,698,942,1269,220,21,3150,,,,,,
14,Indiana,107,248,105,29,9,498,48,101,21,1,-,171,207,633,759,76,1,1676,,,,,,
15,Iowa,51,87,35,2,-,176,-,-,-,-,-,-,289,331,278,8,-,906,,,,,,
16,Kansas,88,95,38,14,-,234,66,83,19,17,2,187,131,121,83,4,-,338,,,,,,
17,Kentucky,9,96,81,30,5,220,17,34,8,14,-,73,48,172,338,67,2,627,,,,,,
18,Louisiana,28,258,98,16,4,405,1,54,17,-,-,72,74,291,586,119,4,1074,,,,,,
19,Maine,26,39,1,-,-,66,6,10,2,-,-,18,10,77,46,0,-,134,,,,,,
20,Maryland,12,64,123,52,87,338,10,92,82,84,37,305,63,224,597,256,43,1183,,,,,,
21,Massachusetts,24,159,228,82,17,510,43,71,123,54,31,322,346,756,733,117,28,1979,,,,,,
22,Michigan,115,319,156,87,9,686,54,91,110,74,28,357,238,730,1173,171,49,2361,,,,,,
23,Minnesota,56,84,147,27,5,320,5,22,50,76,9,162,155,255,313,76,10,809,,,,,,
24,Mississippi,90,122,40,1,-,253,23,39,1,-,-,64,226,348,341,41,0,956,,,,,,
25,Missouri,122,179,176,50,11,538,95,239,108,36,0,478,130,273,432,65,3,902,,,,,,
26,Montana,97,1,-,-,-,98,-,-,-,-,-,-,74,88,86,5,-,254,,,,,,
27,Nebraska,16,33,7,11,-,67,44,62,12,6,3,127,89,137,157,10,2,395,,,,,,
28,Nevada,45,39,31,24,11,150,2,11,10,16,16,55,27,81,182,61,6,358,,,,,,
29,New Hampshire,5,37,41,-,-,83,2,17,35,17,5,74,16,89,110,7,0,222,,,,,,
30,New Jersey,4,86,201,64,32,387,9,80,157,92,116,453,98,482,892,220,113,1804,,,,,,
31,New Mexico,78,50,8,10,7,153,5,6,-,-,-,11,133,256,249,43,2,684,,,,,,
32,New York,248,398,193,89,14,941,103,257,160,164,131,815,535,1140,1202,203,18,3098,,,,,,
33,North Carolina,58,364,248,46,4,720,65,239,114,41,5,465,134,550,1049,230,13,1976,,,,,,
34,North Dakota,49,10,1,-,-,60,-,-,-,-,-,-,64,56,67,1,-,188,,,,,,
35,Ohio,93,467,293,77,2,931,153,283,106,31,9,581,408,974,976,66,5,2428,,,,,,
36,Oklahoma,96,110,67,13,-,286,29,76,47,31,16,198,314,418,412,23,1,1168,,,,,,
37,Oregon,60,90,47,37,1,234,0,15,16,10,15,57,96,300,417,40,3,856,,,,,,
38,Pennsylvania,169,431,116,26,13,756,97,191,175,61,3,527,366,1267,1084,91,3,2812,,,,,,
39,Rhode Island,-,21,13,17,0,52,2,35,31,12,-,80,29,181,132,1,-,343,,,,,,
40,South Carolina,32,139,125,9,-,304,21,45,17,-,-,84,81,355,505,119,4,1064,,,,,,
41,South Dakota,65,22,-,-,-,88,16,2,-,-,-,18,61,47,26,-,-,134,,,,,,
42,Tennessee,39,273,139,72,9,531,28,64,40,29,4,165,216,527,895,151,6,1795,,,,,,
43,Texas,179,488,348,240,161,1416,197,382,355,289,287,1511,1027,1663,2891,468,34,6083,,,,,,
44,Utah,75,60,59,38,22,253,20,16,2,5,1,44,77,140,345,85,3,650,,,,,,
45,Vermont,44,18,-,-,-,62,14,2,-,-,-,16,26,62,24,1,-,113,,,,,,
46,Virginia,44,337,145,91,36,653,52,130,107,51,19,359,226,419,796,249,35,1725,,,,,,
47,Washington,52,101,68,72,41,335,83,153,100,64,16,417,142,449,777,72,-,1441,,,,,,
48,West Virginia,80,150,15,-,-,245,7,8,-,-,-,14,64,147,190,15,-,416,,,,,,
49,Wisconsin,91,167,77,28,-,363,107,147,52,16,8,329,604,800,496,41,-,1942,,,,,,
50,Wyoming,106,-,-,-,-,106,3,-,-,-,-,3,106,81,42,-,-,229,,,,,,
51,U.S. Total,3379,7387,4824,2133,1340,19063,1718,3678,2841,2091,1710,12038,9726,19973,29984,6437,734,66855,,,,,,
52,Puerto Rico (2),33,140,42,10,8,233,3,24,15,19,5,66,32,89,184,71,16,392,,,,,,
53,Grand Total,3412,7527,4866,2143,1348,19296,1721,3702,2856,2110,1715,12104,9758,20062,30168,6508,750,67247,,,,,,
