STATE,MINOR  ARTERIAL ,,,,,,,MAJOR  COLLECTOR,,,,,,,MINOR  COLLECTOR,,,,,,
,AVERAGE DAILY TRAFFIC VOLUME ,,,,,,TOTAL,AVERAGE DAILY TRAFFIC VOLUME ,,,,,,TOTAL,AVERAGE DAILY TRAFFIC VOLUME ,,,,,,TOTAL
,"LESS  THAN 1,000 ","1,000- 2,999 ","3,000- 4,999 ","5,000- 9,999 ","10,000- 19,999 ","20,000 AND  OVER ",,"LESS  THAN 1,000 ","1,000- 2,999 ","3,000- 4,999 ","5,000- 9,999 ","10,000- 19,999 ","20,000 AND  OVER ",,"LESS  THAN 1,000 ","1,000- 2,999 ","3,000- 4,999 ","5,000- 9,999 ","10,000- 19,999 ","20,000 AND  OVER ",
Alabama,36 ,130 ,194 ,413 ,869 ,422 ,"2,064 ","2,345 ",858 ,"1,411 ",685 ,506 ,156 ,"5,961 ","3,622 ",131 ,44 ,10 ,2 ,-,"3,808 "
Alaska,0 ,6 ,12 ,48 ,89 ,39 ,195 ,203 ,41 ,129 ,59 ,22 ,1 ,454 ,252 ,102 ,114 ,15 ,5 ,1 ,489 
Arizona,56 ,113 ,109 ,205 ,500 ,423 ,"1,405 ","2,635 ",277 ,612 ,300 ,408 ,263 ,"4,494 ","1,943 ",101 ,83 ,19 ,10 ,1 ,"2,157 "
Arkansas,82 ,188 ,219 ,354 ,596 ,245 ,"1,683 ","1,830 ",785 ,834 ,323 ,200 ,33 ,"4,004 ","2,175 ",178 ,59 ,5 ,-,-,"2,417 "
California,524 ,611 ,634 ,"1,231 ","2,715 ","2,134 ","7,849 ","11,144 ","1,710 ","4,037 ","2,899 ","2,783 ","1,159 ","23,733 ","13,024 ",132 ,168 ,48 ,32 ,3 ,"13,408 "
Colorado,83 ,119 ,98 ,257 ,552 ,345 ,"1,454 ","1,808 ",331 ,620 ,407 ,370 ,123 ,"3,660 ","1,856 ",29 ,21 ,12 ,4 ,1 ,"1,923 "
Connecticut,3 ,49 ,84 ,262 ,738 ,382 ,"1,519 ","1,673 ",138 ,653 ,520 ,454 ,47 ,"3,485 ","1,814 ",47 ,206 ,46 ,12 ,0 ,"2,124 "
Delaware,3 ,2 ,2 ,9 ,57 ,57 ,131 ,204 ,21 ,75 ,94 ,114 ,59 ,568 ,366 ,8 ,29 ,13 ,4 ,1 ,421 
Dist. of Columbia,-,1 ,1 ,12 ,58 ,54 ,126 ,164 ,6 ,40 ,57 ,43 ,8 ,319 ,156 ,-,-,-,-,-,156 
Florida,15 ,24 ,79 ,185 ,821 ,798 ,"1,922 ","4,200 ",207 ,"1,143 ","1,166 ","2,162 ","1,486 ","10,364 ","6,447 ",134 ,578 ,472 ,491 ,163 ,"8,283 "
Georgia,81 ,277 ,317 ,777 ,"1,634 ",951 ,"4,037 ","4,963 ",501 ,"1,373 ",707 ,846 ,282 ,"8,671 ","3,724 ",363 ,263 ,48 ,5 ,4 ,"4,408 "
Hawaii,-,0 ,17 ,9 ,50 ,38 ,115 ,192 ,3 ,29 ,53 ,119 ,55 ,451 ,262 ,16 ,68 ,54 ,43 ,6 ,450 
Idaho,38 ,95 ,74 ,133 ,168 ,93 ,602 ,674 ,174 ,338 ,128 ,82 ,13 ,"1,410 ",736 ,2 ,5 ,-,0 ,-,743 
Illinois,81 ,225 ,334 ,739 ,"1,467 ",804 ,"3,650 ","4,503 ",979 ,"1,967 ",949 ,970 ,468 ,"9,836 ","5,380 ",194 ,157 ,16 ,4 ,0 ,"5,752 "
Indiana,121 ,223 ,291 ,470 ,"1,149 ",661 ,"2,914 ","3,177 ",514 ,"1,210 ",996 ,477 ,113 ,"6,488 ","3,317 ",39 ,171 ,156 ,14 ,2 ,"3,700 "
Iowa,112 ,218 ,205 ,351 ,502 ,187 ,"1,576 ","1,658 ",396 ,547 ,204 ,135 ,15 ,"2,955 ","1,297 ",-,-,-,-,-,"1,297 "
Kansas,55 ,91 ,119 ,223 ,448 ,198 ,"1,134 ","1,358 ",422 ,675 ,293 ,261 ,102 ,"3,112 ","1,757 ",160 ,151 ,45 ,17 ,0 ,"2,129 "
Kentucky,1 ,13 ,33 ,161 ,527 ,377 ,"1,112 ","1,395 ",53 ,388 ,396 ,391 ,60 ,"2,682 ","1,289 ",38 ,123 ,24 ,4 ,-,"1,478 "
Louisiana,53 ,73 ,97 ,279 ,745 ,432 ,"1,678 ","1,959 ",335 ,732 ,542 ,421 ,122 ,"4,112 ","2,162 ",37 ,101 ,57 ,18 ,2 ,"2,376 "
Maine,0 ,0 ,2 ,16 ,89 ,73 ,180 ,236 ,9 ,138 ,164 ,171 ,36 ,754 ,519 ,0 ,7 ,6 ,5 ,-,537 
Maryland,16 ,31 ,46 ,131 ,445 ,437 ,"1,107 ","1,551 ",116 ,498 ,395 ,661 ,266 ,"3,487 ","1,961 ",17 ,52 ,34 ,16 ,2 ,"2,082 "
Massachusetts,139 ,258 ,340 ,720 ,"1,861 ",486 ,"3,804 ","4,032 ",468 ,"1,078 ","1,299 ",183 ,45 ,"7,105 ","3,078 ",-,-,-,-,-,"3,078 "
Michigan,113 ,237 ,300 ,789 ,"1,884 ","1,031 ","4,354 ","4,952 ",556 ,"1,492 ","1,046 ",691 ,111 ,"8,849 ","3,905 ",78 ,11 ,5 ,-,-,"3,998 "
Minnesota,84 ,110 ,187 ,407 ,963 ,542 ,"2,293 ","2,697 ",567 ,879 ,512 ,412 ,63 ,"5,130 ","2,434 ",56 ,40 ,2 ,0 ,-,"2,532 "
Mississippi,29 ,74 ,105 ,249 ,441 ,128 ,"1,027 ","1,080 ",178 ,749 ,399 ,217 ,22 ,"2,646 ","1,566 ",4 ,5 ,2 ,-,-,"1,577 "
Missouri,56 ,152 ,180 ,361 ,777 ,393 ,"1,919 ","2,161 ",333 ,926 ,568 ,543 ,85 ,"4,617 ","2,462 ",46 ,37 ,8 ,3 ,-,"2,555 "
Montana,6 ,18 ,41 ,70 ,114 ,31 ,279 ,290 ,58 ,212 ,75 ,53 ,6 ,694 ,404 ,43 ,6 ,2 ,2 ,1 ,459 
Nebraska,84 ,99 ,77 ,131 ,215 ,96 ,703 ,791 ,125 ,212 ,106 ,96 ,14 ,"1,342 ",553 ,6 ,3 ,-,-,-,561 
Nevada,25 ,33 ,37 ,85 ,232 ,138 ,549 ,887 ,21 ,8 ,19 ,2 ,0 ,937 ,50 ,200 ,326 ,181 ,303 ,107 ,"1,167 "
New Hampshire,-,5 ,14 ,69 ,206 ,133 ,426 ,490 ,18 ,165 ,174 ,156 ,22 ,"1,025 ",536 ,-,-,-,-,-,536 
New Jersey,24 ,136 ,231 ,625 ,"1,460 ",821 ,"3,296 ","3,651 ",194 ,"1,021 ",789 ,778 ,139 ,"6,573 ","2,925 ",26 ,110 ,73 ,195 ,1 ,"3,329 "
New Mexico,25 ,53 ,79 ,124 ,315 ,88 ,683 ,734 ,110 ,330 ,229 ,131 ,45 ,"1,580 ",847 ,76 ,113 ,82 ,22 ,9 ,"1,149 "
New York,83 ,206 ,359 ,867 ,"2,301 ","1,107 ","4,923 ","5,569 ",600 ,"2,142 ","1,472 ","1,137 ",184 ,"11,103 ","5,541 ",64 ,139 ,23 ,7 ,-,"5,774 "
North Carolina,29 ,96 ,145 ,500 ,"1,112 ",695 ,"2,577 ","3,441 ",187 ,895 ,803 ,978 ,426 ,"6,731 ","3,343 ",50 ,168 ,121 ,67 ,22 ,"3,772 "
North Dakota,34 ,37 ,33 ,59 ,91 ,31 ,285 ,303 ,89 ,148 ,46 ,40 ,4 ,631 ,329 ,-,-,-,-,-,329 
Ohio,57 ,159 ,217 ,554 ,"1,545 ",868 ,"3,400 ","3,977 ",335 ,"1,616 ","1,355 ","1,488 ",499 ,"9,270 ","5,370 ",158 ,355 ,50 ,27 ,9 ,"5,968 "
Oklahoma,222 ,356 ,256 ,418 ,507 ,244 ,"2,003 ","2,205 ",455 ,592 ,224 ,183 ,34 ,"3,692 ","1,491 ",47 ,45 ,11 ,7 ,5 ,"1,607 "
Oregon,12 ,45 ,88 ,202 ,484 ,247 ,"1,079 ","1,286 ",316 ,917 ,451 ,352 ,82 ,"3,403 ","2,121 ",202 ,242 ,42 ,10 ,-,"2,616 "
Pennsylvania,32 ,146 ,232 ,712 ,"1,678 ",872 ,"3,672 ","4,017 ",633 ,"2,037 ","1,425 ","1,196 ",184 ,"9,493 ","5,478 ",-,-,-,-,-,"5,478 "
Rhode Island,3 ,4 ,23 ,46 ,161 ,81 ,318 ,343 ,68 ,244 ,142 ,85 ,2 ,883 ,540 ,17 ,11 ,3 ,2 ,-,573 
South Carolina,38 ,55 ,89 ,213 ,650 ,362 ,"1,407 ","1,769 ",485 ,"1,074 ",563 ,567 ,130 ,"4,589 ","2,821 ",39 ,25 ,8 ,-,-,"2,894 "
South Dakota,39 ,46 ,52 ,99 ,111 ,48 ,395 ,431 ,122 ,146 ,48 ,32 ,3 ,782 ,351 ,-,-,-,-,-,351 
Tennessee,72 ,106 ,170 ,418 ,976 ,501 ,"2,243 ","2,710 ",358 ,858 ,558 ,479 ,129 ,"5,092 ","2,391 ",438 ,400 ,124 ,54 ,12 ,"3,420 "
Texas,341 ,351 ,479 ,"1,012 ","2,388 ","1,546 ","6,116 ","7,957 ","3,712 ","4,842 ","2,746 ","2,743 ","1,355 ","23,356 ","15,820 ",562 ,325 ,107 ,60 ,9 ,"16,883 "
Utah,20 ,50 ,39 ,81 ,179 ,129 ,498 ,660 ,145 ,425 ,148 ,271 ,116 ,"1,765 ","1,106 ",194 ,115 ,35 ,28 ,3 ,"1,481 "
Vermont,1 ,9 ,16 ,37 ,53 ,29 ,145 ,151 ,40 ,113 ,41 ,39 ,6 ,390 ,240 ,6 ,7 ,2 ,1 ,-,255 
Virginia,249 ,53 ,128 ,299 ,804 ,514 ,"2,047 ","2,711 ",313 ,890 ,595 ,677 ,242 ,"5,428 ","2,733 ",289 ,332 ,98 ,44 ,6 ,"3,501 "
Washington,98 ,196 ,197 ,493 ,973 ,479 ,"2,437 ","2,712 ",396 ,"1,127 ",596 ,516 ,105 ,"5,452 ","2,744 ",77 ,89 ,15 ,7 ,-,"2,932 "
West Virginia,14 ,47 ,57 ,142 ,312 ,109 ,680 ,763 ,237 ,473 ,183 ,133 ,22 ,"1,811 ","1,050 ",47 ,32 ,6 ,5 ,-,"1,140 "
Wisconsin,81 ,329 ,393 ,755 ,836 ,248 ,"2,642 ","2,711 ",590 ,"1,611 ",404 ,237 ,29 ,"5,582 ","2,872 ",-,0 ,-,-,-,"2,873 "
Wyoming,16 ,32 ,33 ,56 ,71 ,21 ,230 ,236 ,191 ,201 ,85 ,35 ,4 ,752 ,516 ,17 ,14 ,9 ,2 ,1 ,558 
