STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL LANE MILES
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR (2),LOCAL (2),TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL (2),TOTAL,
Alabama,"2,401 ",-,"6,065 ","8,482 ","24,524 ","13,272 ","100,661 ","155,405 ","2,157 ",127 ,"4,886 ","5,988 ","7,545 ",372 ,"36,648 ","57,722 ","213,127 "
Alaska,"2,044 ",-,"1,623 ","1,091 ","3,263 ","2,418 ","16,508 ","26,947 ",242 ,-,491 ,487 ,512 ,475 ,"3,854 ","6,060 ","33,007 "
Arizona,"3,708 ",70 ,"3,398 ","2,646 ","8,557 ","3,764 ","60,570 ","82,713 ","1,462 ","1,540 ","3,693 ","9,260 ","4,375 ",441 ,"40,439 ","61,209 ","143,922 "
Arkansas,"1,638 ",339 ,"4,995 ","6,368 ","23,709 ","13,778 ","122,591 ","173,419 ","1,353 ",482 ,"2,209 ","4,325 ","4,424 ",487 ,"23,684 ","36,963 ","210,382 "
California,"5,387 ","1,676 ","8,417 ","12,379 ","23,762 ","15,804 ","111,340 ","178,765 ","9,656 ","9,466 ","23,426 ","30,277 ","28,638 ",785 ,"151,070 ","253,319 ","432,084 "
Colorado,"2,628 ",112 ,"5,774 ","6,982 ","10,904 ","17,743 ","94,492 ","138,636 ","1,512 ","1,364 ","4,094 ","4,828 ","4,015 ",139 ,"30,083 ","46,035 ","184,671 "
Connecticut,150 ,141 ,249 ,445 ,"1,716 ",835 ,"8,009 ","11,544 ","1,718 ",998 ,"1,889 ","3,751 ","3,768 ",627 ,"21,520 ","34,271 ","45,815 "
Delaware,-,108 ,403 ,238 ,871 ,551 ,"4,096 ","6,266 ",256 ,139 ,762 ,570 ,757 ,111 ,"5,030 ","7,625 ","13,892 "
Dist. of Columbia,-,-,-,-,-,-,-,-,78 ,69 ,441 ,437 ,305 ,-,"2,106 ","3,438 ","3,438 "
Florida,"3,376 ",673 ,"7,356 ","4,527 ","8,123 ","6,413 ","47,124 ","77,592 ","4,774 ","2,843 ","17,485 ","14,170 ","15,484 ","4,170 ","136,659 ","195,585 ","273,177 "
Georgia,"2,559 ",-,"7,601 ","10,003 ","23,395 ","13,517 ","103,529 ","160,604 ","4,419 ",751 ,"8,512 ","12,441 ","7,905 ","1,392 ","75,586 ","111,006 ","271,611 "
Hawaii,-,-,157 ,512 ,441 ,177 ,"2,051 ","3,338 ",342 ,152 ,822 ,535 ,574 ,394 ,"3,582 ","6,400 ","9,738 "
Idaho,"2,084 ",-,"4,073 ","3,015 ","11,924 ","7,785 ","63,329 ","92,209 ",447 ,-,"1,311 ","1,460 ","1,490 ",13 ,"7,906 ","12,627 ","104,836 "
Illinois,"5,042 ",120 ,"5,130 ","9,219 ","26,264 ","7,106 ","142,748 ","195,629 ","4,880 ",456 ,"10,659 ","11,899 ","11,645 ",754 ,"70,398 ","110,692 ","306,320 "
Indiana,"3,111 ",555 ,"3,943 ","4,729 ","20,014 ","17,370 ","86,373 ","136,094 ","2,459 ",664 ,"5,621 ","7,453 ","6,901 ",783 ,"41,985 ","65,866 ","201,961 "
Iowa,"2,443 ",-,"8,841 ","7,858 ","28,453 ","32,044 ","127,579 ","207,218 ",830 ,-,"3,108 ","4,029 ","2,682 ",-,"16,872 ","27,520 ","234,738 "
Kansas,"2,580 ","1,602 ","5,455 ","8,613 ","44,907 ","18,787 ","174,037 ","255,982 ","1,128 ",758 ,"1,124 ","4,064 ","3,976 ",790 ,"19,254 ","31,094 ","287,076 "
Kentucky,"2,897 ","1,895 ","3,452 ","4,886 ","11,665 ","18,658 ","90,041 ","133,493 ","1,231 ",290 ,"2,390 ","3,670 ","2,651 ",378 ,"22,485 ","33,095 ","166,588 "
Louisiana,"2,215 ",97 ,"3,247 ","4,018 ","9,469 ","6,528 ","64,688 ","90,262 ","1,831 ",296 ,"3,920 ","5,116 ","4,733 ",430 ,"23,447 ","39,773 ","130,035 "
Maine,"1,277 ",-,"1,624 ","1,944 ","6,583 ","4,301 ","24,875 ","40,604 ",274 ,68 ,351 ,559 ,"1,051 ",37 ,"4,020 ","6,360 ","46,964 "
Maryland,673 ,-,"1,086 ","1,468 ","2,659 ","3,300 ","18,563 ","27,748 ","2,145 ","1,397 ","4,401 ","3,996 ","4,232 ",246 ,"26,234 ","42,651 ","70,399 "
Massachusetts,278 ,35 ,224 ,646 ,"1,727 ","1,233 ","8,779 ","12,922 ","2,925 ","1,327 ","4,681 ","8,423 ","6,114 ",-,"40,264 ","63,734 ","76,657 "
Michigan,"2,369 ","1,378 ","4,524 ","9,990 ","32,773 ","8,456 ","111,592 ","171,083 ","3,706 ","1,592 ","8,939 ","12,236 ","8,116 ",168 ,"51,220 ","85,976 ","257,059 "
Minnesota,"2,385 ",13 ,"8,681 ","13,114 ","31,979 ","23,801 ","156,271 ","236,244 ","1,645 ",732 ,"2,818 ","6,995 ","5,205 ",196 ,"31,248 ","48,838 ","285,083 "
Mississippi,"2,219 ",-,"6,522 ","7,645 ","24,004 ","4,631 ","87,143 ","132,166 ","1,139 ",252 ,"3,245 ","2,577 ","3,246 ",21 ,"17,870 ","28,351 ","160,516 "
Missouri,"3,390 ","3,701 ","4,693 ","8,024 ","32,901 ","12,433 ","153,491 ","218,632 ","2,920 ","2,043 ","3,163 ","5,363 ","5,201 ",186 ,"35,497 ","54,373 ","273,005 "
Montana,"4,377 ",-,"5,925 ","5,717 ","13,690 ","17,679 ","96,794 ","144,183 ",391 ,-,812 ,627 ,818 ,108 ,"6,172 ","8,928 ","153,110 "
Nebraska ,"1,715 ","1,329 ","4,855 ","8,337 ","22,885 ","17,565 ","119,755 ","176,439 ",384 ,538 ,"1,371 ","1,874 ","1,146 ",17 ,"10,409 ","15,739 ","192,178 "
Nevada,"1,840 ",-,"3,408 ","1,496 ","4,408 ","4,872 ","53,911 ","69,935 ",786 ,252 ,"1,587 ","3,344 ",107 ,"2,983 ","13,990 ","23,048 ","92,983 "
New Hampshire,567 ,37 ,674 ,"1,263 ","2,085 ","2,133 ","15,753 ","22,513 ",431 ,315 ,550 ,"1,072 ","1,080 ",-,"7,301 ","10,750 ","33,263 "
New Jersey,278 ,176 ,364 ,605 ,"1,553 ",668 ,"8,101 ","11,745 ","2,695 ","2,513 ","5,940 ","8,122 ","5,959 ",832 ,"47,513 ","73,573 ","85,318 "
New Mexico,"3,431 ",-,"6,076 ","4,731 ","9,145 ","6,302 ","95,954 ","125,640 ",747 ,49 ,"2,632 ","1,888 ","1,801 ",629 ,"11,244 ","18,990 ","144,629 "
New York,"3,279 ",478 ,"4,718 ","5,934 ","11,222 ","18,692 ","87,082 ","131,405 ","4,785 ","3,798 ","9,253 ","12,962 ","11,323 ",467 ,"67,543 ","110,132 ","241,537 "
