,STATE,RURAL,URBAN,TOTAL LANE KILOMETERS,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR (2),LOCAL (2),TOTAL,INTERSTATE.1,OTHER FREEWAYS AND EXPRESSWAYS.1,OTHER PRINCIPAL ARTERIAL.1,MINOR ARTERIAL.1,MAJOR COLLECTOR.1,MINOR COLLECTOR,LOCAL (2).1,TOTAL.1
0,Alabama,3864,-,9760,13650,39467,21360,161998,250100,3471,204,7864,9637,12142,599,58979,92895,342995,,
1,Alaska,3290,-,2611,1756,5251,3891,26567,43367,390,-,790,783,825,764,6202,9753,53120,,
2,Arizona,5967,113,5468,4259,13770,6058,97478,133114,2352,2479,5943,14902,7041,709,65080,98506,231620,,
3,Arkansas,2637,545,8038,10249,38156,22174,197290,279090,2177,775,3554,6961,7120,784,38116,59487,338577,,
4,California,8670,2698,13546,19921,38241,25435,179185,287695,15541,15234,37701,48726,46088,1264,243124,407677,695372,,
5,Colorado,4230,180,9292,11236,17549,28555,152071,223112,2434,2195,6588,7770,6462,223,48414,74087,297199,,
6,Connecticut,241,227,400,717,2761,1343,12889,18579,2765,1607,3040,6037,6063,1009,34632,55153,73732,,
7,Delaware,-,173,649,382,1402,886,6592,10085,412,224,1227,918,1218,179,8095,12271,22356,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,126,112,710,704,491,-,3389,5532,5532,,
9,Florida,5433,1084,11838,7286,13073,10321,75839,124872,7684,4575,28140,22804,24919,6711,219931,314763,439635,,
10,Georgia,4119,-,12233,16099,37651,21753,166613,258468,7112,1209,13699,20021,12722,2241,121644,178647,437115,,
11,Hawaii,-,-,253,824,709,284,3301,5371,550,245,1322,861,924,634,5764,10300,15672,,
12,Idaho,3354,-,6555,4852,19190,12528,101918,148396,719,-,2110,2350,2397,22,12723,20322,168718,,
13,Illinois,8115,193,8255,14837,42267,11436,229731,314834,7854,734,17155,19149,18741,1213,113295,178141,492974,,
14,Indiana,5007,894,6345,7610,32209,27954,139004,219023,3957,1069,9046,11995,11106,1261,67568,106002,325024,,
15,Iowa,3932,-,14228,12646,45791,51570,205319,333485,1335,-,5001,6483,4317,-,27153,44290,377774,,
16,Kansas,4152,2579,8779,13861,72270,30235,280086,411963,1815,1220,1808,6541,6398,1272,30987,50041,462004,,
17,Kentucky,4662,3050,5555,7863,18772,30028,144906,214836,1982,467,3846,5907,4266,608,36186,53262,268098,,
18,Louisiana,3564,157,5225,6466,15239,10506,104105,145262,2946,477,6308,8233,7617,693,37735,64008,209271,,
19,Maine,2055,-,2613,3129,10595,6922,40033,65347,442,109,564,899,1692,59,6470,10235,75582,,
20,Maryland,1083,-,1748,2362,4279,5310,29874,44656,3453,2249,7083,6430,6810,395,42219,68640,113296,,
21,Massachusetts,448,56,361,1040,2779,1984,14129,20796,4708,2135,7534,13555,9840,-,64799,102571,123367,,
22,Michigan,3813,2218,7281,16077,52743,13609,179589,275331,5963,2563,14386,19692,13062,270,82430,138365,413696,,
23,Minnesota,3838,21,13970,21106,51465,38304,251493,380198,2648,1178,4535,11257,8376,316,50289,78598,458796,,
24,Mississippi,3572,-,10497,12303,38631,7453,140243,212700,1834,405,5223,4147,5224,34,28759,45626,258326,,
25,Missouri,5455,5956,7552,12913,52950,20009,247020,351854,4699,3289,5090,8631,8371,299,57127,87505,439359,,
26,Montana,7044,-,9535,9201,22032,28452,155776,232039,630,-,1307,1008,1316,174,9933,14368,246407,,
27,Nebraska,2760,2138,7813,13416,36830,28267,192726,283951,618,866,2206,3016,1844,27,16752,25330,309281,,
28,Nevada,2961,-,5485,2408,7094,7841,86761,112549,1265,405,2553,5382,173,4800,22515,37093,149642,,
29,New Hampshire,913,59,1084,2033,3356,3433,25352,36231,694,507,885,1725,1738,-,11750,17300,53531,,
30,New Jersey,447,283,586,974,2499,1075,13037,18901,4338,4044,9559,13071,9589,1339,76465,118404,137306,,
31,New Mexico,5522,-,9778,7614,14718,10142,154423,202197,1202,80,4235,3038,2899,1012,18095,30561,232758,,
32,New York,5277,769,7593,9550,18060,30082,140145,211476,7701,6113,14891,20860,18222,752,108700,177240,388716,,
33,North Carolina,3655,2611,7581,10591,24321,19422,149273,217454,6092,3179,11688,14400,11546,1419,98019,146344,363798,,
34,North Dakota,3291,-,11214,8099,38591,-,215731,276925,406,-,969,1061,1072,-,4012,7519,284445,,
35,Ohio,4824,2127,6710,8704,35870,20192,170747,249172,8318,3927,13060,17415,20136,2031,107980,172869,422041,,
36,Oklahoma,4178,-,10726,9441,68439,9612,209568,311965,2231,1523,6735,8884,5171,403,40089,65035,377000,,
37,Oregon,3252,-,9506,7314,26312,25870,119274,191528,1784,403,4417,4820,6904,1600,31713,51641,243169,,
38,Pennsylvania,7284,2331,5985,15049,23840,22465,162754,239708,5407,3505,13132,14072,17736,-,109464,163317,403024,,
39,Rhode Island,115,70,336,235,576,480,2709,4521,494,525,1451,1148,1732,102,10606,16058,20579,,
40,South Carolina,3582,301,7429,10143,32395,6579,130330,190758,2548,592,6556,7841,9503,234,40085,67359,258117,,
41,South Dakota,3805,1859,8634,9588,39986,20103,174101,258075,562,116,756,1744,1172,-,7596,11946,270021,,
42,Tennessee,3776,-,8871,10286,15951,31682,142520,213086,4560,1185,10823,11855,8183,3320,72998,112925,326011,,
43,Texas,13114,12,40797,36370,113592,48108,432232,684226,13240,11831,39525,40851,57280,3645,239855,406228,1090454,,
44,Utah,4460,57,4338,4394,10537,11453,81269,116510,2593,267,4113,2903,3790,1221,25635,40523,157032,,
45,Vermont,1664,5,1066,2355,6407,2797,27790,42085,397,68,450,493,779,50,2782,5019,47104,,
46,Virginia,3118,565,7428,10899,23579,15690,96903,158182,5553,2495,10916,12053,9762,2626,60634,104040,262222,,
47,Washington,3092,2548,4299,6530,26052,20100,121006,183627,3387,2564,7864,9507,8929,603,52131,84985,268612,,
48,West Virginia,2028,57,4087,4245,17277,6836,69249,103779,1707,83,2118,2552,3406,290,14694,24850,128629,,
49,Wisconsin,3446,914,11774,15343,38953,27280,202212,299921,2784,2152,9691,10195,9571,1,49689,84083,384004,,
50,Wyoming,5201,-,6573,4009,8815,22531,39463,86592,681,18,1217,931,1687,143,5794,10469,97061,,
51,U.S. Total,190308,36848,372282,442237,1323294,830400,6502625,9697994,168559,91199,381383,476220,448373,47350,2749096,4362181,14060174,,
52,Puerto Rico (3),273,-,195,726,708,780,7380,10061,366,2126,3145,3615,-,36640,47788,93681,103742,,
53,Grand Total,190581,36848,372477,442963,1324002,831180,6510005,9708055,168924,93326,384528,479835,448373,83990,2796884,4455862,14163916,,
