STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL LANE KILOMETERS
,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR (2),LOCAL (2),TOTAL,INTERSTATE,OTHER FREEWAYS AND EXPRESSWAYS,OTHER PRINCIPAL ARTERIAL,MINOR ARTERIAL,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL (2),TOTAL,
Alabama,"3,864 ",-,"9,760 ","13,650 ","39,467 ","21,360 ","161,998 ","250,100 ","3,471 ",204 ,"7,864 ","9,637 ","12,142 ",599 ,"58,979 ","92,895 ","342,995 "
Alaska,"3,290 ",-,"2,611 ","1,756 ","5,251 ","3,891 ","26,567 ","43,367 ",390 ,-,790 ,783 ,825 ,764 ,"6,202 ","9,753 ","53,120 "
Arizona,"5,967 ",113 ,"5,468 ","4,259 ","13,770 ","6,058 ","97,478 ","133,114 ","2,352 ","2,479 ","5,943 ","14,902 ","7,041 ",709 ,"65,080 ","98,506 ","231,620 "
Arkansas,"2,637 ",545 ,"8,038 ","10,249 ","38,156 ","22,174 ","197,290 ","279,090 ","2,177 ",775 ,"3,554 ","6,961 ","7,120 ",784 ,"38,116 ","59,487 ","338,577 "
California,"8,670 ","2,698 ","13,546 ","19,921 ","38,241 ","25,435 ","179,185 ","287,695 ","15,541 ","15,234 ","37,701 ","48,726 ","46,088 ","1,264 ","243,124 ","407,677 ","695,372 "
Colorado,"4,230 ",180 ,"9,292 ","11,236 ","17,549 ","28,555 ","152,071 ","223,112 ","2,434 ","2,195 ","6,588 ","7,770 ","6,462 ",223 ,"48,414 ","74,087 ","297,199 "
Connecticut,241 ,227 ,400 ,717 ,"2,761 ","1,343 ","12,889 ","18,579 ","2,765 ","1,607 ","3,040 ","6,037 ","6,063 ","1,009 ","34,632 ","55,153 ","73,732 "
Delaware,-,173 ,649 ,382 ,"1,402 ",886 ,"6,592 ","10,085 ",412 ,224 ,"1,227 ",918 ,"1,218 ",179 ,"8,095 ","12,271 ","22,356 "
Dist. of Columbia,-,-,-,-,-,-,-,-,126 ,112 ,710 ,704 ,491 ,-,"3,389 ","5,532 ","5,532 "
Florida,"5,433 ","1,084 ","11,838 ","7,286 ","13,073 ","10,321 ","75,839 ","124,872 ","7,684 ","4,575 ","28,140 ","22,804 ","24,919 ","6,711 ","219,931 ","314,763 ","439,635 "
Georgia,"4,119 ",-,"12,233 ","16,099 ","37,651 ","21,753 ","166,613 ","258,468 ","7,112 ","1,209 ","13,699 ","20,021 ","12,722 ","2,241 ","121,644 ","178,647 ","437,115 "
Hawaii,-,-,253 ,824 ,709 ,284 ,"3,301 ","5,371 ",550 ,245 ,"1,322 ",861 ,924 ,634 ,"5,764 ","10,300 ","15,672 "
Idaho,"3,354 ",-,"6,555 ","4,852 ","19,190 ","12,528 ","101,918 ","148,396 ",719 ,-,"2,110 ","2,350 ","2,397 ",22 ,"12,723 ","20,322 ","168,718 "
Illinois,"8,115 ",193 ,"8,255 ","14,837 ","42,267 ","11,436 ","229,731 ","314,834 ","7,854 ",734 ,"17,155 ","19,149 ","18,741 ","1,213 ","113,295 ","178,141 ","492,974 "
Indiana,"5,007 ",894 ,"6,345 ","7,610 ","32,209 ","27,954 ","139,004 ","219,023 ","3,957 ","1,069 ","9,046 ","11,995 ","11,106 ","1,261 ","67,568 ","106,002 ","325,024 "
Iowa,"3,932 ",-,"14,228 ","12,646 ","45,791 ","51,570 ","205,319 ","333,485 ","1,335 ",-,"5,001 ","6,483 ","4,317 ",-,"27,153 ","44,290 ","377,774 "
Kansas,"4,152 ","2,579 ","8,779 ","13,861 ","72,270 ","30,235 ","280,086 ","411,963 ","1,815 ","1,220 ","1,808 ","6,541 ","6,398 ","1,272 ","30,987 ","50,041 ","462,004 "
Kentucky,"4,662 ","3,050 ","5,555 ","7,863 ","18,772 ","30,028 ","144,906 ","214,836 ","1,982 ",467 ,"3,846 ","5,907 ","4,266 ",608 ,"36,186 ","53,262 ","268,098 "
Louisiana,"3,564 ",157 ,"5,225 ","6,466 ","15,239 ","10,506 ","104,105 ","145,262 ","2,946 ",477 ,"6,308 ","8,233 ","7,617 ",693 ,"37,735 ","64,008 ","209,271 "
Maine,"2,055 ",-,"2,613 ","3,129 ","10,595 ","6,922 ","40,033 ","65,347 ",442 ,109 ,564 ,899 ,"1,692 ",59 ,"6,470 ","10,235 ","75,582 "
Maryland,"1,083 ",-,"1,748 ","2,362 ","4,279 ","5,310 ","29,874 ","44,656 ","3,453 ","2,249 ","7,083 ","6,430 ","6,810 ",395 ,"42,219 ","68,640 ","113,296 "
Massachusetts,448 ,56 ,361 ,"1,040 ","2,779 ","1,984 ","14,129 ","20,796 ","4,708 ","2,135 ","7,534 ","13,555 ","9,840 ",-,"64,799 ","102,571 ","123,367 "
Michigan,"3,813 ","2,218 ","7,281 ","16,077 ","52,743 ","13,609 ","179,589 ","275,331 ","5,963 ","2,563 ","14,386 ","19,692 ","13,062 ",270 ,"82,430 ","138,365 ","413,696 "
Minnesota,"3,838 ",21 ,"13,970 ","21,106 ","51,465 ","38,304 ","251,493 ","380,198 ","2,648 ","1,178 ","4,535 ","11,257 ","8,376 ",316 ,"50,289 ","78,598 ","458,796 "
Mississippi,"3,572 ",-,"10,497 ","12,303 ","38,631 ","7,453 ","140,243 ","212,700 ","1,834 ",405 ,"5,223 ","4,147 ","5,224 ",34 ,"28,759 ","45,626 ","258,326 "
Missouri,"5,455 ","5,956 ","7,552 ","12,913 ","52,950 ","20,009 ","247,020 ","351,854 ","4,699 ","3,289 ","5,090 ","8,631 ","8,371 ",299 ,"57,127 ","87,505 ","439,359 "
Montana,"7,044 ",-,"9,535 ","9,201 ","22,032 ","28,452 ","155,776 ","232,039 ",630 ,-,"1,307 ","1,008 ","1,316 ",174 ,"9,933 ","14,368 ","246,407 "
Nebraska ,"2,760 ","2,138 ","7,813 ","13,416 ","36,830 ","28,267 ","192,726 ","283,951 ",618 ,866 ,"2,206 ","3,016 ","1,844 ",27 ,"16,752 ","25,330 ","309,281 "
Nevada,"2,961 ",-,"5,485 ","2,408 ","7,094 ","7,841 ","86,761 ","112,549 ","1,265 ",405 ,"2,553 ","5,382 ",173 ,"4,800 ","22,515 ","37,093 ","149,642 "
