STATE,URBAN    MINOR ARTERIAL,,,,,,,,,,,,
,INTERNATIONAL ROUGHNESS    INDEX (2),,,,,,PRESENT    SERVICEABILITY RATING (3),,,,,,TOTAL
,<60,60-94,95-170,171-220,>220,TOTAL,>3.9,3.5-3.9,2.6-3.4,2.1-2.5,<=2.0,TOTAL,
Alabama,205 ,337 ,206 ,21 ,13 ,783 ,-,-,-,0 ,-,0 ,783 
Alaska,21 ,62 ,74 ,20 ,21 ,198 ,-,-,-,-,-,-,198 
Arizona,45 ,252 ,710 ,217 ,192 ,"1,415 ",-,-,-,-,-,-,"1,415 "
Arkansas,42 ,207 ,441 ,85 ,65 ,841 ,5 ,20 ,322 ,270 ,84 ,701 ,"1,541 "
California,206 ,546 ,"3,483 ","1,848 ","5,056 ","11,138 ",-,-,-,-,-,-,"11,138 "
Colorado,10 ,105 ,765 ,470 ,315 ,"1,665 ",87 ,10 ,4 ,35 ,0 ,137 ,"1,802 "
Connecticut,0 ,86 ,569 ,291 ,727 ,"1,673 ",-,-,-,-,-,-,"1,673 "
Delaware,16 ,55 ,72 ,28 ,25 ,196 ,-,-,-,-,-,-,196 
Dist. of Columbia,2 ,-,-,2 ,159 ,164 ,-,-,-,-,-,-,164 
Florida,322 ,"1,164 ","1,311 ",270 ,192 ,"3,259 ",169 ,323 ,322 ,103 ,11 ,927 ,"4,187 "
Georgia,264 ,654 ,457 ,70 ,66 ,"1,510 ",-,-,-,-,-,-,"1,510 "
Hawaii,5 ,27 ,86 ,33 ,40 ,192 ,-,-,-,-,-,-,192 
Idaho,6 ,15 ,24 ,5 ,2 ,52 ,209 ,147 ,159 ,83 ,20 ,617 ,669 
Illinois,80 ,508 ,"2,075 ","1,044 ",739 ,"4,446 ",-,-,-,-,-,-,"4,446 "
Indiana,297 ,362 ,262 ,35 ,25 ,980 ,-,-,-,-,-,-,980 
Iowa,6 ,34 ,137 ,83 ,189 ,450 ,-,-,-,-,-,-,450 
Kansas,51 ,227 ,594 ,222 ,234 ,"1,327 ",-,-,-,-,-,-,"1,327 "
Kentucky,68 ,224 ,434 ,107 ,56 ,889 ,-,-,-,-,-,-,889 
Louisiana,47 ,316 ,680 ,294 ,400 ,"1,736 ",-,-,0 ,-,-,0 ,"1,737 "
Maine,7 ,68 ,97 ,32 ,31 ,236 ,-,-,-,-,-,-,236 
Maryland,32 ,202 ,697 ,245 ,254 ,"1,431 ",-,-,-,-,-,-,"1,431 "
Massachusetts,5 ,122 ,639 ,301 ,245 ,"1,313 ",26 ,-,"2,579 ",-,32 ,"2,638 ","3,951 "
Michigan,36 ,196 ,258 ,100 ,73 ,663 ,"1,179 ",-,"1,802 ",-,"1,140 ","4,121 ","4,784 "
Minnesota,261 ,568 ,954 ,489 ,325 ,"2,597 ",-,-,-,-,-,-,"2,597 "
Mississippi,40 ,174 ,420 ,181 ,265 ,"1,080 ",-,-,-,-,-,-,"1,080 "
Missouri,29 ,287 ,944 ,341 ,356 ,"1,957 ",-,-,-,-,-,-,"1,957 "
Montana,11 ,52 ,120 ,44 ,59 ,287 ,-,-,-,-,-,-,287 
Nebraska ,4 ,8 ,28 ,9 ,14 ,63 ,233 ,89 ,231 ,57 ,32 ,641 ,704 
Nevada,123 ,266 ,339 ,81 ,65 ,874 ,-,-,-,-,-,-,874 
