,STATE,INTERNATIONAL ROUGHNESS INDEX (IRI) (1),INTERSTATE,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
0,Alabama,1,363,141,34,20,7,3,1,2,571,,
1,Alaska,-,200,359,163,118,73,40,24,25,1002,,
2,Arizona,1,497,290,75,32,11,4,2,4,916,,
3,Arkansas,0,194,137,41,18,8,5,3,3,409,,
4,California,-,614,383,118,51,21,9,5,9,1209,,
5,Colorado,-,141,252,129,58,30,21,9,9,648,,
6,Connecticut,-,12,10,4,2,0,0,0,0,29,,
7,Delaware,-,-,-,-,-,-,-,-,-,-,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,,
9,Florida,105,376,206,18,8,3,1,0,0,612,,
10,Georgia,1,239,201,55,22,10,4,2,2,534,,
11,Hawaii,-,-,-,-,-,-,-,-,-,-,,
12,Idaho,-,275,172,41,16,7,4,3,3,521,,
13,Illinois,-,665,444,119,16,-,-,-,-,1243,,
14,Indiana,141,377,141,40,27,18,11,6,7,627,,
15,Iowa,7,246,233,81,28,9,4,2,2,605,,
16,Kansas,-,427,161,32,12,4,2,1,1,639,,
17,Kentucky,1,444,116,31,16,9,3,1,1,622,,
18,Louisiana,6,194,127,85,69,32,13,4,3,527,,
19,Maine,-,203,70,20,4,2,0,0,0,299,,
20,Maryland,0,49,74,11,4,1,1,0,1,142,,
21,Massachusetts,-,19,32,7,2,1,0,0,1,64,,
22,Michigan,5,214,220,60,31,17,11,5,3,561,,
23,Minnesota,-,191,274,65,30,16,10,5,3,594,,
24,Mississippi,2,338,137,31,20,13,7,4,4,552,,
25,Missouri,-,470,291,48,17,9,4,2,0,842,,
26,Montana,-,411,552,87,24,12,5,2,2,1094,,
27,Nebraska,8,266,99,26,11,3,1,1,1,407,,
28,Nevada,0,388,30,11,8,7,2,1,0,448,,
29,New Hampshire,-,120,20,2,0,0,-,-,-,142,,
30,New Jersey,-,22,18,3,1,1,1,0,0,45,,
31,New Mexico,1,562,200,46,22,8,4,2,1,845,,
32,New York,20,273,349,77,35,17,12,9,11,783,,
33,North Carolina,10,310,162,36,19,10,2,1,1,541,,
34,North Dakota,-,237,231,33,7,3,0,0,0,511,,
35,Ohio,1,324,221,52,23,12,5,3,2,642,,
36,Oklahoma,-,285,240,57,28,18,9,6,3,646,,
37,Oregon,0,247,176,50,13,5,2,1,1,495,,
38,Pennsylvania,0,431,488,110,41,25,8,4,4,1112,,
39,Rhode Island,-,14,3,0,0,-,0,0,0,18,,
40,South Carolina,-,116,281,85,58,3,2,0,1,546,,
41,South Dakota,-,231,290,43,17,7,3,0,0,591,,
42,Tennessee,10,490,54,10,5,3,1,0,0,564,,
43,Texas,-,724,945,210,67,30,11,7,6,2001,,
44,Utah,1,388,239,41,10,4,1,1,0,683,,
45,Vermont,0,204,46,5,2,1,0,0,-,258,,
46,Virginia,0,161,234,49,18,5,2,0,0,469,,
47,Washington,-,174,140,50,27,16,9,7,6,429,,
48,West Virginia,11,118,143,19,9,5,3,1,1,298,,
49,Wisconsin,0,194,169,60,36,26,18,6,4,512,,
50,Wyoming,-,362,306,71,39,17,6,4,3,808,,
51,U.S. Total,333,13800,10107,2540,1141,540,263,134,132,28657,,
52,Puerto Rico (4),-,-,1,10,4,11,5,4,7,42,,
53,Grand Total,333,13800,10108,2550,1145,551,268,138,139,28699,,
