,STATE,INTERNATIONAL ROUGHNESS INDEX (IRI) (1),OTHER FREEWAYS & EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL (3),NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2).1,< 60.1,60-94.1,95-119.1,120-144.1,145-170.1,171-194.1,195-220.1,> 220.1,TOTAL REPORTED.1,NOT REPORTED (2).2,< 60.2,60-94.2,95-119.2,120-144.2,145-170.2,171-194.2,195-220.2,> 220.2,TOTAL REPORTED.2
0,Alabama,-,-,-,-,-,-,-,-,-,-,13,906,831,148,67,34,17,9,10,2022,20,858,1429,608,331,115,41,15,9,3405,,,,
1,Alaska,-,-,-,-,-,-,-,-,-,-,263,65,128,58,52,53,39,38,107,539,83,43,57,39,48,47,38,23,39,334,,,,
2,Arizona,-,17,0,-,0,-,0,-,-,18,19,417,451,156,87,45,18,9,8,1191,8,220,426,260,152,85,41,23,14,1221,,,,
3,Arkansas,0,4,35,18,13,9,3,1,1,85,1,257,822,366,209,122,57,32,32,1896,21,373,1444,490,297,191,86,65,48,2996,,,,
4,California,-,154,172,45,22,9,3,1,2,408,-,801,1343,510,254,158,65,46,110,3287,72,438,2400,1077,642,750,429,126,195,6057,,,,
5,Colorado,-,6,8,9,4,1,1,0,-,28,-,510,1074,499,250,123,58,27,27,2569,284,99,813,698,699,364,159,99,111,3043,,,,
6,Connecticut,-,10,17,3,1,1,2,1,1,36,-,1,22,26,25,20,12,5,9,119,0,-,22,37,54,52,24,17,15,221,,,,
7,Delaware,1,3,15,5,1,0,0,-,0,24,1,42,66,9,2,1,0,0,0,120,0,33,45,17,7,2,1,0,1,105,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
9,Florida,-,76,86,7,3,1,0,0,-,173,84,943,1210,265,77,27,7,3,3,2536,10,537,1167,271,90,65,11,8,12,2161,,,,
10,Georgia,-,-,-,-,-,-,-,-,-,-,20,765,1146,255,93,39,16,7,9,2330,37,582,1251,465,174,41,19,9,8,2548,,,,
11,Hawaii,-,-,-,-,-,-,-,-,-,-,-,1,19,14,13,14,8,6,4,78,1,45,50,45,46,34,17,10,10,255,,,,
12,Idaho,-,-,-,-,-,-,-,-,-,-,45,454,817,252,99,44,19,10,10,1706,6,233,590,184,87,33,21,13,14,1176,,,,
13,Illinois,-,1,17,-,12,-,-,-,-,30,-,348,1118,410,242,108,52,12,4,2295,16,112,2462,1013,614,331,-,19,9,4558,,,,
14,Indiana,5,68,38,16,9,3,1,0,1,136,41,541,516,169,86,43,22,11,19,1408,13,650,760,326,170,106,54,35,17,2118,,,,
15,Iowa,-,-,-,-,-,-,-,-,-,-,26,852,1071,585,365,234,122,86,78,3393,20,632,1289,549,351,374,214,130,295,3834,,,,
16,Kansas,1,169,188,31,10,3,1,0,0,403,7,1513,838,148,61,30,13,8,9,2620,34,2080,1615,326,82,55,37,24,13,4231,,,,
17,Kentucky,4,306,131,23,14,8,3,1,1,487,169,454,421,99,40,17,7,4,4,1047,21,157,619,310,153,76,31,13,16,1374,,,,
18,Louisiana,0,0,8,7,5,2,1,1,0,24,2,153,437,172,104,67,43,25,29,1029,17,219,776,347,218,142,73,36,63,1874,,,,
19,Maine,-,-,-,-,-,-,-,-,-,-,-,142,386,108,63,47,18,14,12,789,5,129,413,150,102,58,40,26,35,953,,,,
20,Maryland,-,-,-,-,-,-,-,-,-,-,1,150,134,22,11,8,5,2,4,334,3,187,352,111,48,20,3,3,0,726,,,,
21,Massachusetts,-,3,4,1,1,1,0,0,0,10,-,12,37,26,15,6,3,2,3,105,1,9,103,57,47,46,28,16,10,315,,,,
22,Michigan,1,188,99,28,10,9,6,2,2,344,0,921,804,206,95,52,22,12,19,2130,10,950,2129,673,335,217,126,86,157,4673,,,,
23,Minnesota,-,-,1,1,0,1,0,0,0,4,29,1172,1104,518,294,174,91,50,49,3452,16,2093,2088,791,456,316,157,211,409,6520,,,,
24,Mississippi,-,-,-,-,-,-,-,-,-,-,-,500,752,247,138,78,33,17,19,1783,30,497,1232,642,534,406,251,97,86,3746,,,,
