STATE,INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,
,INTERSTATE,,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Alabama,2 ,218 ,109 ,32 ,25 ,16 ,11 ,8 ,8 ,427 
Alaska,-,17 ,40 ,11 ,5 ,3 ,2 ,1 ,1 ,79 
Arizona,0 ,148 ,71 ,21 ,8 ,3 ,1 ,1 ,0 ,252 
Arkansas,0 ,90 ,101 ,39 ,22 ,18 ,11 ,6 ,6 ,293 
California,0 ,349 ,448 ,150 ,110 ,76 ,48 ,26 ,34 ,"1,241 "
Colorado,-,67 ,121 ,60 ,32 ,12 ,5 ,3 ,4 ,304 
Connecticut,-,130 ,104 ,40 ,21 ,11 ,5 ,4 ,3 ,317 
Delaware,5 ,3 ,21 ,7 ,2 ,1 ,0 ,0 ,0 ,36 
Dist. of Columbia,-,-,-,-,5 ,2 ,0 ,1 ,4 ,12 
Florida,98 ,314 ,273 ,51 ,24 ,10 ,5 ,1 ,1 ,680 
Georgia,2 ,357 ,216 ,66 ,34 ,17 ,9 ,6 ,5 ,710 
Hawaii,-,1 ,12 ,9 ,10 ,9 ,5 ,4 ,4 ,55 
Idaho,-,36 ,34 ,11 ,5 ,3 ,1 ,1 ,1 ,90 
Illinois,-,256 ,469 ,113 ,79 ,17 ,6 ,1 ,2 ,942 
Indiana,94 ,148 ,105 ,64 ,36 ,21 ,14 ,8 ,10 ,404 
Iowa,4 ,50 ,75 ,23 ,11 ,7 ,3 ,2 ,1 ,172 
Kansas,3 ,101 ,69 ,29 ,16 ,9 ,5 ,2 ,1 ,232 
Kentucky,-,114 ,65 ,18 ,12 ,6 ,3 ,2 ,2 ,220 
Louisiana,1 ,105 ,90 ,54 ,49 ,51 ,23 ,17 ,15 ,403 
Maine,-,33 ,19 ,6 ,3 ,2 ,1 ,1 ,1 ,66 
Maryland,1 ,115 ,132 ,33 ,19 ,13 ,8 ,7 ,10 ,337 
Massachusetts,2 ,300 ,140 ,21 ,11 ,8 ,5 ,6 ,15 ,508 
Michigan,3 ,182 ,264 ,90 ,52 ,41 ,25 ,17 ,13 ,683 
Minnesota,9 ,71 ,130 ,52 ,24 ,15 ,10 ,4 ,6 ,312 
Mississippi,-,131 ,63 ,22 ,16 ,11 ,5 ,3 ,2 ,253 
Missouri,0 ,256 ,179 ,46 ,25 ,16 ,8 ,4 ,3 ,538 
Montana,-,39 ,44 ,7 ,3 ,2 ,1 ,0 ,1 ,98 
Nebraska,6 ,20 ,25 ,8 ,4 ,2 ,1 ,1 ,-,61 
Nevada,0 ,79 ,31 ,18 ,12 ,6 ,2 ,1 ,0 ,150 
New Hampshire,-,64 ,14 ,3 ,1 ,1 ,0 ,0 ,-,83 
New Jersey,1 ,128 ,138 ,42 ,23 ,16 ,10 ,11 ,17 ,386 
New Mexico,0 ,102 ,27 ,10 ,8 ,4 ,1 ,1 ,1 ,153 
New York,22 ,209 ,378 ,116 ,68 ,46 ,33 ,22 ,48 ,919 
North Carolina,34 ,267 ,273 ,82 ,37 ,15 ,6 ,3 ,2 ,686 
North Dakota,-,17 ,30 ,8 ,3 ,2 ,0 ,-,0 ,60 
Ohio,0 ,349 ,355 ,96 ,61 ,36 ,16 ,9 ,9 ,931 
Oklahoma,0 ,71 ,119 ,39 ,21 ,15 ,9 ,5 ,8 ,286 
Oregon,-,81 ,106 ,22 ,9 ,7 ,5 ,3 ,2 ,234 
Pennsylvania,7 ,211 ,321 ,88 ,58 ,33 ,16 ,12 ,10 ,748 
Rhode Island,-,19 ,23 ,5 ,2 ,1 ,1 ,1 ,1 ,52 
South Carolina,-,48 ,128 ,65 ,37 ,19 ,5 ,2 ,0 ,304 
South Dakota,-,11 ,50 ,14 ,7 ,4 ,1 ,0 ,0 ,88 
Tennessee,4 ,371 ,96 ,29 ,15 ,7 ,4 ,2 ,3 ,526 
Texas,1 ,315 ,568 ,235 ,142 ,82 ,38 ,21 ,14 ,"1,415 "
Utah,0 ,89 ,96 ,37 ,16 ,10 ,4 ,1 ,0 ,253 
Vermont,2 ,35 ,19 ,4 ,1 ,1 ,0 ,-,-,60 
Virginia,15 ,152 ,289 ,104 ,48 ,26 ,12 ,6 ,3 ,638 
Washington,-,113 ,122 ,46 ,20 ,12 ,7 ,7 ,7 ,335 
West Virginia,3 ,101 ,91 ,21 ,14 ,8 ,3 ,1 ,2 ,241 
Wisconsin,-,105 ,96 ,78 ,37 ,23 ,14 ,6 ,5 ,363 
Wyoming,-,26 ,45 ,18 ,7 ,4 ,2 ,1 ,2 ,106 
U.S. Total,321 ,"6,615 ","6,835 ","2,260 ","1,310 ",777 ,411 ,249 ,285 ,"18,742 "
Puerto Rico (4),2 ,-,30 ,74 ,47 ,44 ,28 ,7 ,6 ,236 
Grand Total,323 ,"6,615 ","6,865 ","2,334 ","1,357 ",821 ,439 ,256 ,291 ,"18,978 "
