,STATE,RURAL,URBAN,"ALL 
        PRINCIPAL 
        ARTERIALS ",INTERSTATE ,"OTHER 
        FREEWAYS  AND 
        EXPRESSWAYS ","OTHER 
        PRINCIPAL 
        ARTERIAL ","ALL 
        PRINCIPAL 
        ARTERIALS .1",INTERSTATE .1,"OTHER 
        FREEWAYS  AND 
        EXPRESSWAYS .1","OTHER 
        PRINCIPAL 
        ARTERIAL .1","ALL 
        PRINCIPAL 
        ARTERIALS .2"
0,Alabama,6871,-,2358,3349,11019,11351,5314,6804,4740,,
1,Alaska,1001,-,495,776,776,8351,-,6368,1372,,
2,Arizona,4670,1182,2590,3468,3468,12546,12765,8289,5296,,
3,Arkansas,6454,2978,1954,2761,2761,10040,5737,6193,3801,,
4,California,7404,8541,3132,4635,4635,19880,16389,10003,8162,,
5,Colorado,4555,5772,1867,2438,2438,15088,10308,8532,4530,,
6,Connecticut,8438,5738,4833,5575,5575,15600,11432,9207,8750,,
7,Delaware,-,16125,5975,7711,7711,14595,12057,9270,8716,,
8,Dist. of Columbia,-,-,-,-,-,16792,14135,8430,8430,,
9,Florida,7568,7263,2941,4100,4100,15660,12227,8593,6808,,
10,Georgia,7455,-,2210,3184,3184,13799,12269,7438,5414,,
11,Hawaii,-,-,5644,5644,5644,14246,8937,8373,7880,,
12,Idaho,3266,-,1467,1880,1880,8696,-,5576,2613,,
13,Illinois,4753,2358,1912,2906,2906,12087,6539,6567,4885,,
14,Indiana,6453,3726,2861,4083,4083,11424,5914,6461,5269,,
15,Iowa,5568,-,1777,2354,2354,10150,-,4629,2834,,
16,Kansas,3736,2147,1575,2014,2014,9125,6603,5945,2688,,
17,Kentucky,7405,2631,2737,3961,3961,14592,8263,7729,5028,,
18,Louisiana,6970,5748,2427,4002,4002,13747,7116,7938,5947,,
19,Maine,4635,-,3154,3561,3561,8316,5847,6401,4036,,
20,Maryland,8411,-,5635,6461,6461,18685,12226,10105,9350,,
21,Massachusetts,7766,5479,3316,5032,5032,14959,11334,9115,8862,,
22,Michigan,5762,4742,2404,3293,3293,12081,10146,7278,5396,,
23,Minnesota,4396,1994,2047,2389,2389,14212,13385,8354,3823,,
24,Mississippi,5250,-,2128,2868,2868,9614,4877,5387,3756,,
25,Missouri,5482,2808,2205,3078,3078,12205,6781,7510,4565,,
26,Montana,1547,-,1058,1196,1196,4188,-,4065,1435,,
27,Nebraska,4438,2034,1317,1811,1811,10240,5791,5200,2353,,
28,Nevada,3024,-,1100,1541,1541,12805,19328,8660,3134,,
29,New Hampshire,4949,10557,4238,4573,4573,12435,11390,8918,6503,,
30,New Jersey,11906,6892,5404,6855,6855,14966,12661,9379,9171,,
31,New Mexico,3496,-,1508,2111,2111,8474,4481,4979,2781,,
32,New York,4764,3061,2281,2964,2964,11168,11330,7704,5875,,
33,North Carolina,6971,3986,3222,4171,4171,13134,7717,7676,6126,,
34,North Dakota,2031,-,905,1071,1071,4886,-,4173,1277,,
35,Ohio,7675,3532,2764,4132,4132,11957,6533,6701,5706,,
36,Oklahoma,5400,-,1930,2703,2703,10281,8440,5446,3699,,
37,Oregon,4961,-,1792,2290,2290,12686,14718,7406,3655,,
38,Pennsylvania,6736,3945,2966,4464,4464,11790,8430,6965,5901,,
39,Rhode Island,11714,4097,2917,4267,4267,16240,9866,7694,6977,,
40,South Carolina,9492,3315,2370,4210,4210,12443,5570,6769,5245,,
41,South Dakota,2253,984,757,1031,1031,5627,2431,3809,1210,,
42,Tennessee,8656,-,2375,3934,3934,13233,8475,7045,5547,,
43,Texas,5664,2459,2300,2944,2944,14983,11593,7440,5027,,
44,Utah,2994,5954,1747,2227,2227,11237,5709,7051,3856,,
45,Vermont,3229,3702,2951,3079,3079,6018,4086,5184,3605,,
46,Virginia,9017,4259,2930,4551,4551,14441,9087,8084,6665,,
47,Washington,6256,2876,2318,3180,3180,14182,9359,7562,5293,,
48,West Virginia,4775,3397,2297,2888,2888,9120,4602,6670,4171,,
49,Wisconsin,7273,4070,2461,3212,3212,11989,6354,5399,4138,,
50,Wyoming,2133,-,1083,1387,1387,3482,2971,3059,1567,,
51,U.S.,5260,3672,2101,2912,13180,10660,5474,7613,4980,,
52,Puerto Rico (1),7521,-,4112,5802,10847,10964,6711,8499,8199,,
53,All,5260,3672,2101,2912,13180,10660,5474,7613,4980,,
