,STATE ,INTERNATIONAL  ROUGHNESS  INDEX  (IRI) (1),OTHER FREEWAYS & EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED,NOT REPORTED (2).1,< 60.1,60-94.1,95-119.1,120-144.1,145-170.1,171-194.1,195-220.1,> 220.1,TOTAL REPORTED.1
0,Alabama,0,11,8,4,1,1,1,0,0,26,132,427,441,123,65,44,25,16,24,1165,,,
1,Alaska,-,-,-,-,-,-,-,-,-,-,-,10,43,24,17,13,9,6,13,136,,,
2,Arizona,22,72,87,19,9,4,1,0,1,192,181,87,176,122,91,59,38,27,62,662,,,
3,Arkansas,6,16,42,19,12,8,6,5,3,110,29,41,182,119,85,55,37,24,57,601,,,
4,California,-,317,569,265,169,107,58,38,53,1576,-,195,504,635,738,779,698,643,2388,6579,,,
5,Colorado,-,27,136,67,42,25,13,7,7,324,0,55,188,161,180,158,100,79,145,1068,,,
6,Connecticut,-,51,112,40,18,10,4,3,7,244,-,4,61,97,109,95,71,57,217,710,,,
7,Delaware,2,7,16,5,1,0,0,0,0,30,5,26,83,31,18,11,6,5,10,189,,,
8,Dist. of Columbia,-,-,-,2,3,4,2,2,3,16,-,-,-,-,-,2,1,3,101,107,,,
9,Florida,39,188,252,46,23,13,6,4,2,533,171,868,1644,607,320,158,83,50,73,3805,,,
10,Georgia,30,42,42,19,14,8,4,2,2,133,299,531,853,262,141,74,40,29,77,2006,,,
11,Hawaii,-,-,4,6,7,5,3,3,5,34,-,20,48,43,37,40,24,18,36,265,,,
12,Idaho,-,-,-,-,-,-,-,-,-,-,67,64,122,63,40,33,26,18,38,405,,,
13,Illinois,-,6,49,17,17,8,12,-,-,109,-,196,719,670,569,347,216,186,247,3150,,,
14,Indiana,41,43,36,22,13,7,3,3,2,129,619,220,332,159,112,82,52,37,64,1057,,,
15,Iowa,-,-,-,-,-,-,-,-,-,-,58,68,183,168,130,94,57,48,101,848,,,
16,Kansas,0,76,67,17,13,7,3,4,1,187,13,72,104,44,36,24,15,13,16,325,,,
17,Kentucky,3,33,17,7,5,3,2,1,0,70,104,130,168,74,52,38,18,15,26,522,,,
18,Louisiana,0,7,10,8,10,14,10,7,7,72,90,85,204,144,122,107,83,69,169,984,,,
19,Maine,-,4,8,1,2,2,0,1,0,18,-,7,47,21,16,11,9,5,18,134,,,
20,Maryland,1,79,131,36,23,14,7,4,9,303,14,160,320,161,126,94,69,50,189,1169,,,
21,Massachusetts,2,105,108,35,21,16,10,7,18,320,117,36,205,266,274,266,202,172,442,1863,,,
22,Michigan,0,89,158,54,25,12,8,6,5,356,31,122,458,370,313,265,202,167,432,2330,,,
23,Minnesota,3,28,65,29,14,10,5,4,5,159,23,175,270,119,70,46,24,22,59,785,,,
24,Mississippi,-,17,29,8,5,3,2,1,1,64,7,115,257,158,108,80,56,40,135,949,,,
25,Missouri,4,152,199,57,29,18,10,5,5,475,29,117,305,144,101,73,45,31,58,873,,,
26,Montana,-,-,-,-,-,-,-,-,-,-,6,25,65,45,31,21,16,12,32,248,,,
27,Nebraska,23,18,39,15,8,7,5,4,8,104,119,16,42,34,36,34,26,24,64,276,,,
28,Nevada,0,28,9,8,7,2,1,0,0,55,4,124,111,46,28,17,9,7,12,354,,,
29,New Hampshire,-,56,14,3,1,0,0,0,0,74,1,43,67,35,21,14,10,8,22,221,,,
30,New Jersey,1,128,183,53,29,21,14,8,16,452,3,86,292,237,225,208,155,141,456,1801,,,
31,New Mexico,-,1,8,2,0,0,-,-,-,11,72,90,145,93,83,66,42,30,63,612,,,
32,New York,4,54,244,134,99,89,63,47,79,810,33,76,626,477,366,287,212,184,836,3065,,,
33,North Carolina,30,130,201,56,25,12,4,2,4,435,60,131,685,408,261,150,83,55,143,1917,,,
34,North Dakota,-,-,-,-,-,-,-,-,-,-,-,18,46,35,29,21,12,8,19,188,,,
35,Ohio,2,174,249,66,39,25,12,7,8,579,17,182,572,396,321,260,180,140,358,2411,,,
36,Oklahoma,3,35,79,29,20,16,7,4,5,195,65,82,195,168,147,132,108,95,176,1104,,,
37,Oregon,-,23,21,7,2,1,1,0,1,57,5,98,256,155,100,71,48,37,85,851,,,
38,Pennsylvania,2,77,195,99,68,41,22,11,11,524,9,150,605,479,408,338,227,186,410,2804,,,
39,Rhode Island,0,8,31,15,10,6,4,2,3,80,1,2,20,30,49,51,41,41,108,341,,,
