STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE ,OTHER FREEWAYS  AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE ,OTHER FREEWAYS  AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,
Alabama,571 ,-,"2,033 ","3,768 ","1,958 ",32 ,1 ,"8,362 ",430 ,27 ,"1,177 ",846 ,79 ,-,0 ,"2,558 ","10,920 "
Alaska,"1,002 ",-,802 ,428 ,"1,357 ",740 ,588 ,"4,917 ",79 ,-,119 ,156 ,167 ,100 ,73 ,694 ,"5,611 "
Arizona,917 ,18 ,"1,181 ","1,117 ","1,795 ",207 ,342 ,"5,577 ",252 ,203 ,307 ,203 ,70 ,2 ,207 ,"1,245 ","6,822 "
Arkansas,410 ,85 ,"1,897 ","3,015 ","8,335 ",239 ,103 ,"14,082 ",293 ,116 ,602 ,871 ,382 ,7 ,69 ,"2,341 ","16,423 "
California,"1,209 ",405 ,"3,116 ","4,920 ",757 ,-,-,"10,407 ","1,241 ","1,522 ","1,323 ",543 ,55 ,1 ,-,"4,686 ","15,093 "
Colorado,648 ,28 ,"2,567 ","2,829 ","1,326 ",119 ,21 ,"7,538 ",304 ,303 ,612 ,228 ,77 ,0 ,-,"1,523 ","9,061 "
Connecticut,29 ,36 ,118 ,219 ,739 ,22 ,7 ,"1,170 ",317 ,244 ,657 ,942 ,367 ,10 ,13 ,"2,550 ","3,720 "
Delaware,-,25 ,121 ,105 ,435 ,275 ,"1,883 ","2,845 ",41 ,31 ,193 ,202 ,359 ,50 ,"1,681 ","2,558 ","5,402 "
Dist. of Columbia,-,-,-,-,-,-,-,-,12 ,13 ,96 ,155 ,150 ,-,948 ,"1,374 ","1,374 "
Florida,717 ,173 ,"2,587 ","1,761 ",405 ,-,0 ,"5,643 ",778 ,561 ,"3,468 ","1,500 ",160 ,4 ,2 ,"6,473 ","12,116 "
