,STATE,RURAL,URBAN,RURAL AND URBAN,MILES ,LANE- MILES  (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL  RURAL (2),MILES .1,LANE- MILES (3),DVMT (4).1,AADT/ LANE (5).1,%  OF  STATEWIDE  TOTAL  URBAN (2),MILES .2,LANE- MILES (3).1,DVMT (4).2,AADT/ LANE (5).2,%  OF  STATEWIDE  TOTAL   (2),MILES .3,LANE- MILES ,DVMT ,MILES .4,LANE- MILES .1,DVMT .1,MILES .5,LANE- MILES .2,DVMT .2
0,Alabama,8362.0,20442.0,45596.0,2231.0,11.0,13.2,58.8,2558,9126,56084,6146,9.8,15.8,52.5,10920,29568,101680,3439,10.7,13.9,55.2,,,,,,
1,Alaska,4917.0,10187.0,4146.0,407.0,37.0,37.8,71.2,694,1719,5930,3450,24.5,28.4,74.1,5611,11906,10076,846,34.8,36.1,72.9,,,,,,
2,Arizona,5577.0,14158.0,32686.0,2309.0,14.0,17.1,76.5,1245,5454,50334,9228,4.7,8.9,37.1,6822,19612,83021,4233,10.3,13.6,46.6,,,,,,
3,Arkansas,14082.0,30622.0,36493.0,1192.0,16.5,17.7,79.0,2341,7018,33725,4806,13.7,19.0,68.3,16423,37640,70218,1866,16.0,17.9,73.4,,,,,,
4,California,10407.0,26704.0,100786.0,3774.0,12.1,14.9,68.5,4686,24982,400961,16050,4.3,9.9,51.9,15093,51686,501747,9708,7.7,12.0,54.6,,,,,,
5,Colorado,7538.0,17158.0,29709.0,1732.0,11.0,12.4,73.7,1523,5771,54143,9383,7.4,12.5,55.3,9061,22928,83852,3657,10.2,12.4,60.7,,,,,,
6,Connecticut,1170.0,2517.0,6400.0,2543.0,20.6,21.8,74.0,2550,7315,58870,8048,16.1,21.3,75.6,3720,9832,65271,6638,17.3,21.5,75.4,,,,,,
7,Delaware,2845.0,5936.0,6583.0,1109.0,94.5,94.7,80.1,2558,5923,16424,2773,75.1,77.7,86.5,5402,11859,23007,1940,84.2,85.4,84.6,,,,,,
8,Dist. of Columbia,,,,,,,,1374,3138,6961,2219,91.2,91.3,71.4,1374,3138,6961,2219,91.2,91.3,71.4,,,,,,
9,Florida,5643.0,15748.0,60344.0,3832.0,15.5,20.3,66.5,6473,28011,247977,8853,7.5,14.3,52.1,12116,43759,308321,7046,9.9,16.0,54.4,,,,,,
10,Georgia,12588.0,30189.0,58323.0,1932.0,16.2,18.8,74.5,5361,18884,135799,7191,10.6,17.0,55.4,17949,49074,194122,3956,14.0,18.1,60.0,,,,,,
11,Hawaii,483.0,968.0,2500.0,2581.0,29.0,29.0,51.5,459,1518,13155,8663,16.5,23.7,56.3,942,2487,15655,6295,21.2,25.5,55.5,,,,,,
12,Idaho,4597.0,10937.0,16377.0,1497.0,10.2,11.9,62.7,395,1405,8497,6048,6.7,11.1,43.5,4992,12341,24873,2015,9.8,11.8,54.5,,,,,,
13,Illinois,10432.0,23982.0,47765.0,1992.0,10.8,12.3,69.7,5535,18253,109258,5986,11.1,16.5,49.7,15967,42235,157023,3718,10.9,13.8,54.5,,,,,,
14,Indiana,8794.0,20733.0,50215.0,2422.0,13.3,15.2,64.9,2374,8037,53966,6715,7.9,12.2,38.9,11169,28769,104181,3621,11.6,14.2,48.2,,,,,,
15,Iowa,7828.0,18953.0,37183.0,1962.0,7.7,9.1,70.4,1051,3786,18866,4983,8.4,13.8,49.6,8880,22739,56049,2465,7.8,9.7,61.7,,,,,,
16,Kansas,9480.0,21015.0,25862.0,1231.0,7.5,8.2,63.0,812,2981,18510,6209,5.9,9.6,41.2,10292,23996,44372,1849,7.3,8.4,51.6,,,,,,
17,Kentucky,24518.0,52885.0,56914.0,1076.0,37.8,39.6,79.5,3118,9102,49174,5403,20.7,27.5,79.6,27636,61987,106088,1711,34.6,37.2,79.6,,,,,,
18,Louisiana,12963.0,28544.0,41121.0,1441.0,29.6,31.6,81.0,3726,10789,64331,5963,21.2,27.1,79.2,16689,39332,105452,2681,27.2,30.2,79.9,,,,,,
19,Maine,7395.0,15323.0,19453.0,1269.0,37.1,37.7,67.3,963,2225,9185,4129,32.1,35.0,82.2,8358,17548,28638,1632,36.5,37.4,71.4,,,,,,
20,Maryland,2659.0,6104.0,19427.0,3183.0,19.8,22.0,68.4,2495,8659,83004,9586,13.4,20.3,64.3,5154,14763,102432,6939,16.1,21.0,65.0,,,,,,
21,Massachusetts,564.0,1317.0,4355.0,3307.0,8.9,10.2,56.3,2381,7985,82697,10356,7.9,12.5,53.5,2945,9302,87052,9358,8.1,12.1,53.6,,,,,,
22,Michigan,6853.0,16067.0,45605.0,2838.0,8.1,9.4,57.2,2815,11377,95279,8375,7.4,13.2,50.6,9668,27444,140885,5134,7.9,10.7,52.6,,,,,,
23,Minnesota,10257.0,23464.0,40066.0,1708.0,8.8,9.9,62.4,1554,5796,50721,8751,7.0,11.9,54.5,11811,29260,90787,3103,8.5,10.3,57.7,,,,,,
