  STATE   ,MOTOR-FUEL AND MOTOR- VEHICLE TAX REVENUES 4/ ,ROAD AND CROSSING TOLLS    4/ ,APPROPRIATIONS FROM GENERAL FUNDS ,PROPERTY TAXES AND SPECIAL ASSESSMENTS , OTHER LOCAL IMPOSTS  ,  MISCELLANEOUS  ,BOND PROCEEDS 3/ ,,PAYMENTS FROM OTHER GOVERNMENTS ,,,,  TOTAL RECEIPTS 
,,,,,,, ORIGINAL ISSUES  , REFUNDING ISSUES  ,STATE ,,FEDERAL,,
,,,,,,,,,"HIGHWAY- USER IMPOSTS 
4/ ", OTHER  , FHWA  , OTHER  ,
Alabama,"103,055 ",-,"178,657 ","61,097 ","48,361 ","44,092 ","150,957 ",-,"218,720 ","49,132 ",-,"12,695 ","866,766 "
Alaska 5/,"3,477 ",-,"173,621 ","128,035 ","11,487 ",478 ,"28,806 ",-,-,-,-,"11,608 ","357,512 "
Arizona 5/,-,-,"168,982 ","54,936 ","229,445 ","138,462 ","74,090 ",-,"240,926 ","408,769 ",-,-,"1,315,610 "
Arkansas 5/,-,-,"415,129 ","87,864 ","85,903 ","91,029 ",-,-,"7,027 ",-,-,-,"686,952 "
California,-,"353,836 ","2,389,571 ","308,072 ","130,873 ","2,158,735 ","82,970 ","36,890 ","4,326,542 ","85,090 ",-,"146,469 ","10,019,048 "
Colorado 5/,-,"162,038 ","358,112 ","153,313 ","398,466 ","151,934 ","24,259 ",-,"627,891 ",-,-,-,"1,876,013 "
Connecticut 5/,"592,267 ",-,"52,183 ",-,-,-,-,-,"62,055 ",-,-,-,"706,505 "
Delaware 5/,-,-,"52,720 ","3,756 ",252 ,"1,594 ","14,920 ",-,-,"3,743 ",-,-,"76,985 "
Florida,"640,538 ","67,809 ","836,344 ","357,081 ","444,214 ","237,583 ","344,319 ",-,"395,899 ","496,583 ",-,"61,744 ","3,882,114 "
Georgia 5/,-,-,"618,490 ","46,536 ","201,537 ","6,164 ","220,139 ",-,"192,524 ",-,-,-,"1,285,390 "
Hawaii,"221,066 ",-,75 ,-,"87,527 ","20,021 ","1,227 ",-,"48,437 ",736 ,-,"13,358 ","392,447 "
Idaho,"9,574 ",-,"23,476 ","112,830 ","14,442 ","42,022 ",44 ,-,"153,147 ","21,814 ",-,"27,609 ","404,958 "
Illinois 5/,"32,756 ",-,-,"1,396,330 ","738,670 ","331,030 ","42,879 ",-,"474,038 ",-,-,-,"3,015,703 "
Indiana 5/,"51,739 ",-,-,"359,787 ","158,499 ","153,345 ","22,559 ",-,"231,020 ",-,-,-,"976,949 "
Iowa,-,-,"33,360 ","378,184 ","88,870 ","65,467 ","218,863 ",-,"690,172 ","35,546 ",-,"52,400 ","1,562,862 "
Kansas 5/,-,-,"355,785 ","269,537 ","173,169 ","17,651 ","83,127 ",-,"148,881 ",-,-,-,"1,048,150 "
Kentucky 5/,"28,022 ",-,"420,007 ","20,219 ","49,933 ","65,963 ",-,-,"1,542 ",-,-,-,"585,686 "
Louisiana 5/,"22,926 ",-,"117,776 ","42,122 ","154,885 ","9,398 ","65,425 ",-,"1,579 ",350 ,-,-,"414,461 "
Maine 5/,"216,249 ","3,619 ",-,"23,843 ",-,"2,160 ",-,-,77 ,899 ,-,"6,708 ","253,555 "
Maryland 5/,-,-,"1,354,283 ","37,039 ","15,940 ","15,942 ","85,863 ",-,"162,529 ",-,-,-,"1,671,596 "
Massachusetts 5/,-,"82,804 ",-,"1,297,935 ","5,752 ","96,719 ","196,505 ",-,"167,890 ",557 ,-,"2,026 ","1,850,188 "
Michigan 5/,-,"1,497 ","1,236,304 ","51,692 ",1 ,"282,508 ","19,219 ",-,"36,235 ","1,421 ",-,-,"1,628,877 "
Minnesota 5/,-,-,"1,718,252 ","374,729 ","6,895 ","22,641 ","88,363 ",-,"821,675 ",-,-,-,"3,032,555 "
Mississippi 5/,"5,947 ",-,"281,273 ","140,558 ","66,135 ","16,186 ","56,621 ",-,"99,055 ",-,-,-,"665,775 "
Missouri 5/,-,-,"166,939 ","163,961 ","341,545 ","116,222 ","52,518 ",-,"258,023 ",-,-,-,"1,099,208 "
Montana 5/,"16,909 ",-,"249,449 ","261,641 ","54,872 ","29,932 ","4,805 ",-,"41,429 ",-,-,-,"659,037 "
Nebraska 5/,"19,427 ","1,488 ","434,401 ","47,620 ","44,337 ","24,744 ",-,-,"343,987 ",-,-,-,"916,004 "
