STATE,RECEIPTS,,,,,,,,,,DISBURSEMENTS,,,,,,
,LOCAL HIGHWAY- USER TAX REVENUES 2/,ROAD AND CROSSING TOLLS 2/,APPROPRIA- TIONS FROM GENERAL FUNDS ,PROPERTY TAXES ,OTHER LOCAL IMPOSTS,MISCELLA- NEOUS INCOME,BOND PROCEEDS 3/,PAYMENTS FROM,,TOTAL RECEIPTS,CAPITAL OUTLAY,MAINTENANCE AND TRAFFIC SERVICES,"ADMINISTRA- TION, HIGHWAY POLICE AND SAFETY ",INTEREST,BOND RETIREMENT  3/,PAYMENTS TO STATES,TOTAL DISBURSE- MENTS
,,,,,,,,STATE GOVERNMENT ,FEDERAL GOVERNMENT ,,,,,,,,
Alabama," 103,055 ",-," 178,657 "," 61,097 "," 48,361 "," 44,092 "," 150,957 "," 267,852 "," 12,695 "," 866,766 "," 110,326 "," 400,782 "," 294,792 "," 19,225 "," 38,491 "," 5,107 "," 868,723 "
Alaska 4/," 3,477 ",-," 173,621 "," 128,035 "," 11,487 ", 478 ," 28,806 ",-," 11,608 "," 357,512 "," 145,802 "," 109,025 "," 31,875 "," 17,082 "," 53,652 ",-," 357,436 "
Arizona 4/,-,-," 168,982 "," 54,936 "," 229,445 "," 138,462 "," 74,090 "," 649,695 ",-," 1,315,610 "," 488,561 "," 371,727 "," 197,585 "," 106,290 "," 141,788 "," 8,597 "," 1,314,548 "
Arkansas 4/,-,-," 415,129 "," 87,864 "," 85,903 "," 91,029 ",-," 7,027 ",-," 686,952 "," 93,713 "," 251,324 "," 320,180 "," 6,111 "," 11,622 "," 4,003 "," 686,953 "
California,-," 353,836 "," 2,389,571 "," 308,072 "," 130,873 "," 2,158,735 "," 82,970 "," 4,411,632 "," 146,469 "," 9,982,158 "," 3,643,670 "," 2,841,269 "," 1,657,708 "," 800,745 "," 121,583 "," 895,352 "," 9,960,327 "
Colorado 4/,-," 162,038 "," 358,112 "," 153,313 "," 398,466 "," 151,934 "," 24,259 "," 627,891 ",-," 1,876,013 "," 104,040 "," 736,141 "," 292,457 "," 134,905 "," 145,752 ",-," 1,413,295 "
Connecticut 4/," 592,267 ",-," 52,183 ",-,-,-,-," 62,055 ",-," 706,505 "," 326,938 "," 254,366 "," 71,562 ", 226 ,-," 4,661 "," 657,753 "
Delaware 4/,-,-," 52,720 "," 3,756 ", 252 ," 1,594 "," 14,920 "," 3,743 ",-," 76,985 "," 5,514 "," 18,328 "," 31,775 ", 941 ," 13,788 "," 6,584 "," 76,930 "
Florida," 640,538 "," 67,809 "," 836,344 "," 357,081 "," 444,214 "," 237,583 "," 344,319 "," 892,482 "," 61,744 "," 3,882,114 "," 1,237,634 "," 1,162,609 "," 922,227 "," 161,187 "," 433,428 "," 195,649 "," 4,112,734 "
