STATE,GASOLINE,,DIESEL,,LIQUEFIED PETROLEUM GAS,,GASOHOL (2),
,RATE (3),EFFECTIVE DATE ,RATE (3),EFFECTIVE DATE ,RATE (3),EFFECTIVE DATE,RATE (3),EFFECTIVE DATE
Alabama,18.0,10/02/95,19.0,10/01/95,0.0,-,18.0,10/02/95
Alaska,8.0,09/01/09,8.0,09/01/09,0.0,-,8.0,09/01/09
Arizona,18.0,07/01/00,26.0,07/01/00,0.0,-,18.0,07/01/00
Arkansas,21.5,07/01/01,22.5,07/01/01,16.5,04/01/91,21.5,07/01/01
California,30.0,07/01/15,13.0,07/01/15,6.0,10/01/66,30.0,07/01/15
Colorado,22.0,01/01/91,20.5,01/01/92,5.0,01/01/15,22.0,01/01/91
Connecticut,25.0,07/01/04,54.5,07/01/14,0.0,-,25.0,01/01/05
Delaware,23.0,01/01/95,22.0,01/01/95,22.0,01/01/95,23.0,01/01/95
D.C. ,23.5,10/01/09,23.5,10/01/09,0.0,-,23.5,10/01/09
Florida,17.3,01/01/15,17.3,01/01/15,0.0,01/01/65,17.3,01/01/15
Georgia,26.0,07/01/15,29.0,07/01/15,26.0,07/01/15,26.0,07/01/15
Hawaii,17.0,07/01/07,17.0,07/01/07,5.2,07/01/04,16.0,07/01/91
Idaho,32.0,07/01/15,32.0,07/01/15,23.2,07/01/15,32.0,07/01/15
Illinois,19.0,01/01/90,21.5,01/01/90,19.0,01/01/90,19.0,01/01/90
Indiana,18.0,01/01/03,16.0,01/01/97,0.0,-,18.0,01/01/03
Iowa,30.8,07/01/15,32.5,03/01/15,30.0,03/01/15,29.3,07/01/15
Kansas,24.0,07/01/03,26.0,07/01/03,23.0,07/01/03,24.0,07/01/03
Kentucky,24.6,04/01/15,21.6,04/01/15,24.6,04/01/15,24.6,04/01/15
Louisiana,20.0,01/01/90,20.0,01/01/90,16.0,07/01/93,20.0,01/01/90
Maine,30.0,07/01/11,31.2,07/01/11,0.0,-,23.0,08/01/99
Maryland,32.1,07/01/15,32.9,07/01/15,0.0,-,0.0,-
Massachusetts,24.0,07/30/13,24.0,07/30/13,24.0,07/01/15,24.0,07/30/13
Michigan,19.0,08/01/97,15.0,04/01/03,15.0,01/01/84,0.0,-
Minnesota,28.5,07/01/12,28.5,07/01/12,21.4,07/01/12,28.5,07/01/12
Mississippi,18.4,08/01/00,18.4,08/01/00,17.0,01/31/89,18.4,08/01/00
Missouri,17.0,04/01/96,17.0,04/01/96,17.0,04/01/96,17.0,04/01/96
Montana,27.8,07/01/94,28.5,07/01/94,5.2,01/01/98,27.8,07/01/09
Nebraska,26.1,07/01/15,26.1,07/01/15,26.1,07/01/15,26.1,07/01/15
Nevada,24.0,10/02/92,27.0,10/02/92,22.0,07/01/97,24.0,10/02/92
New Hampshire,23.8,07/01/14,23.8,07/01/14,22.2,01/01/15,18.0,12/01/00
New Jersey,10.5,07/01/88,13.5,07/01/88,5.3,07/01/88,10.5,01/01/92
New Mexico,17.0,07/01/95,21.0,07/01/04,12.0,01/01/02,17.0,07/01/95
New York,25.9,01/01/15,24.1,01/01/15,8.1,01/01/02,25.9,01/01/15
North Carolina,36.3,04/01/15,36.3,04/01/15,27.1,07/01/05,35.3,07/01/11
North Dakota,23.0,07/01/05,23.0,07/01/05,23.0,07/01/05,23.0,07/01/05
Ohio,28.0,07/01/05,28.0,07/01/05,28.0,07/01/05,28.0,07/01/05
Oklahoma,17.0,05/27/87,14.0,05/27/87,17.0,05/27/87,17.0,05/27/87
Oregon,30.0,01/01/11,30.0,01/01/11,23.1,01/01/11,30.0,01/01/11
Pennsylvania,50.5,01/01/15,64.2,01/01/15,37.2,01/01/15,50.5,01/01/15
Rhode Island,33.0,07/01/15,33.0,07/01/15,33.0,07/01/15,33.0,07/01/15
South Carolina,16.0,07/01/87,16.0,07/01/87,16.0,07/01/87,16.0,07/01/87
South Dakota,30.0,04/01/15,30.0,04/01/15,20.0,04/01/99,16.0,04/01/15
Tennessee,20.0,07/01/89,17.0,04/01/90,14.0,07/01/89,20.0,07/01/89
Texas,20.0,10/01/91,20.0,10/01/91,15.0,09/01/97,20.0,10/01/91
Utah,24.5,05/01/97,24.5,05/01/97,24.5,05/01/97,24.5,05/01/97
Vermont,19.2,05/01/13,31.0,07/01/13,0.0,07/01/13,0.0,-
Virginia,16.2,01/01/15,20.2,07/01/13,16.2,01/01/15,16.2,01/01/15
Washington,44.5,08/01/15,44.5,08/01/15,44.5,08/01/15,44.5,08/01/15
West Virginia,34.6,01/01/15,34.6,01/01/15,2.1,01/01/15,34.6,01/01/15
Wisconsin,30.9,04/01/06,30.9,04/01/06,22.6,04/01/06,30.9,04/01/06
Wyoming,24.0,07/01/13,24.0,07/01/13,24.0,07/01/13,24.0,07/01/13
Puerto Rico,16,07/01/75,8,07/01/94,0,-,0,-
Mean Weighted Avg,23.483,-,24.379,-,19.44,-,23.01,-
Federal Tax,18.4,10/01/97,24.4,10/01/97,13.6,10/01/97,18.4,01/01/05
