,STATE,GROSS VOLUME REPORTED (2),VOLUME EXEMPT FROM PAYMENT OF    TAX (3),GROSS VOLUME ASSESSED FOR TAXATION,VOLUME SUBJECT TO REFUND OF ENTIRE    TAX, NET VOLUME TAXED,NET TOTAL VOLUME ,AT PREVAILING RATES (4),AT OTHER RATES (5),GASOLINE,SPECIAL    FUELS,ALL MOTOR    FUELS,VOLUME 2014,PERCENT CHANGE FROM PRIOR YEAR,VOLUME 2014.1,PERCENT CHANGE FROM PRIOR YEAR.1,VOLUME 2014.2,VOLUME 2012,PERCENT CHANGE FROM PRIOR YEAR.2
0,Alabama,3522074.0,-,3522074.0,72122,3449952.0,2648411.0,4.0,799356.0,7.0,3447767.0,3294034,4.7,2186,,,,,
1,Alaska (6),432917.0,40635,392282.0,4628,387654.0,281643.0,0.6,103372.0,-35.2,385015.0,439655,-12.4,2639,,,,,
2,Arizona,3624943.0,46591,3578352.0,3804,3574547.0,2796710.0,6.2,758601.0,0.0,3555311.0,3391268,4.8,8470,,,,,
3,Arkansas,2088702.0,27021,2061681.0,3804,2057877.0,1329207.0,1.7,616054.0,0.6,1945262.0,1918641,1.4,112615,,,,,
4,California,18132000.0,564,18131436.0,20215,18111221.0,15105349.0,2.7,2868595.0,2.7,17973944.0,17494612,2.7,137277,,,,,
5,Colorado,2945808.0,76402,2869406.0,10464,2858942.0,2234354.0,4.4,620260.0,2.7,2854615.0,2743925,4.0,4327,,,,,
6,Connecticut,1753856.0,13587,1740269.0,8559,1731709.0,1457698.0,3.9,274011.0,1.1,1731709.0,1673586,3.5,-,,,,,
7,Delaware,548355.0,24000,524355.0,294,524060.0,462217.0,8.3,61843.0,1.6,524060.0,487717,7.5,-,,,,,
8,Dist. of Col.,135060.0,27561,107499.0,-,107499.0,100564.0,8.1,6935.0,-22.5,107499.0,101997,5.4,-,,,,,
9,Florida,10357766.0,-,10357766.0,6277,10351489.0,8665371.0,4.3,1472897.0,9.9,10138267.0,9646912,5.1,213222,,,,,
10,Georgia,6433326.0,-,6433326.0,-,6433326.0,4953417.0,5.8,1475199.0,17.7,6428615.0,5935018,8.3,4711,,,,,
11,Hawaii,519193.0,5408,513785.0,-,513785.0,460178.0,2.3,53116.0,10.7,513294.0,497623,3.1,491,,,,,
12,Idaho,1052175.0,15003,1037172.0,28177,1008995.0,720319.0,5.7,287014.0,8.0,1007332.0,947493,6.3,1663,,,,,
13,Illinois,6798971.0,46973,6751998.0,15275,6736723.0,5085246.0,10.2,1651477.0,11.6,6736723.0,6092026,10.6,-,,,,,
14,Indiana,4440863.0,43866,4396997.0,32153,4364844.0,3081957.0,4.0,1282887.0,-0.5,4364844.0,4254146,2.6,-,,,,,
15,Iowa,2338264.0,-,2338264.0,117143,2221120.0,1550218.0,-0.9,668595.0,-1.6,2218812.0,2244415,-1.1,2308,,,,,
16,Kansas,1811676.0,42987,1768689.0,2542,1766147.0,1251733.0,-2.1,514414.0,3.0,1766147.0,1777512,-0.6,-,,,,,
17,Kentucky,2957229.0,731,2956498.0,3690,2952808.0,2180325.0,3.2,772483.0,-3.7,2952808.0,2915034,1.3,-,,,,,
18,Louisiana,3090268.0,25006,3065262.0,734,3064528.0,2338659.0,4.2,724996.0,7.9,3063655.0,2915709,5.1,873,,,,,
19,Maine,992555.0,16620,975935.0,1456,974479.0,782325.0,0.5,192154.0,6.4,974479.0,958853,1.6,-,,,,,
20,Maryland,3398797.0,22111,3376686.0,28986,3347700.0,2822834.0,3.5,521166.0,3.2,3344001.0,3232848,3.4,3699,,,,,
21,Massachusetts,3239195.0,3609,3235586.0,19032,3216554.0,2786118.0,2.7,430436.0,6.2,3216554.0,3117290,3.2,-,,,,,
22,Michigan,5655089.0,77731,5577358.0,57492,5519866.0,4562786.0,3.5,955043.0,3.1,5517829.0,5333503,3.5,2037,,,,,
23,Minnesota,3296795.0,85953,3210842.0,22996,3187846.0,2432400.0,-0.7,752950.0,11.8,3185350.0,3122966,2.0,2496,,,,,
24,Mississippi,2361372.0,34568,2326804.0,-,2326804.0,1693817.0,1.5,632987.0,10.4,2326804.0,2241456,3.8,-,,,,,
25,Missouri,3522074.0,34743,3487331.0,21586,3465746.0,3116500.0,1.5,1022026.0,1.9,4138525.0,4074036,1.6,-,,,,,
26,Montana,810538.0,-,810538.0,5744,804794.0,532318.0,4.4,270556.0,-0.1,802873.0,781023,2.8,1921,,,,,
27,Nebraska,1335624.0,2277,1333347.0,1473,1331874.0,877110.0,-0.6,430050.0,-1.0,1307159.0,1316915,-0.7,24715,,,,,
28,Nevada,1464529.0,10130,1454399.0,1281,1453118.0,1150232.0,3.9,301304.0,2.6,1451536.0,1400468,3.6,1582,,,,,
29,New Hampshire,817578.0,4887,812691.0,4480,808211.0,706081.0,1.0,101522.0,4.1,807603.0,796809,1.4,608,,,,,
30,New Jersey,4838843.0,-,4838843.0,5953,4832890.0,4074753.0,-0.5,758136.0,-7.7,4832890.0,4917069,-1.7,-,,,,,
31,New Mexico,1518671.0,107772,1410899.0,-,1410899.0,900282.0,1.0,510617.0,1.0,1410899.0,1396543,1.0,-,,,,,
32,New York,6917698.0,359868,6557830.0,81530,6476300.0,5386597.0,-1.2,1089703.0,3.0,6476300.0,6508916,-0.5,-,,,,,
33,North Carolina,5639098.0,86227,5552871.0,162924,5389948.0,4329112.0,4.4,1042513.0,4.0,5371625.0,5148266,4.3,18323,,,,,
34,North Dakota,826730.0,-,826730.0,1505,825224.0,471841.0,6.4,353383.0,-15.6,825224.0,861929,-4.3,-,,,,,
35,Ohio,6687836.0,63111,6624725.0,25707,6599018.0,5014675.0,-0.2,1550754.0,2.8,6565430.0,6533940,0.5,33588,,,,,
36,Oklahoma,2820404.0,-,2820404.0,4519,2815884.0,1944251.0,-1.9,863086.0,-1.6,2807336.0,2858950,-1.8,144,,,,,
37,Oregon,2104856.0,-,2104856.0,805,2104051.0,1552762.0,3.8,548509.0,3.9,2101271.0,2023250,3.9,2780,,,,,
38,Pennsylvania,6488262.0,160630,6327632.0,8400,6319232.0,4848172.0,-0.8,1468142.0,-2.6,6316314.0,6392769,-1.2,2918,,,,,
39,Rhode Island,450908.0,5438,445470.0,6991,438479.0,376584.0,4.5,61894.0,-6.9,438479.0,426945,2.7,-,,,,,
40,South Carolina,3580034.0,16879,3563155.0,4,3563151.0,2810861.0,5.0,752290.0,11.5,3563151.0,3351338,6.3,-,,,,,
41,South Dakota,713283.0,11434,701849.0,-,701849.0,470565.0,4.1,231283.0,0.3,701849.0,682766,2.8,-,,,,,
42,Tennessee,4287519.0,54970,4232549.0,46542,4186007.0,3206009.0,0.6,979997.0,5.5,4186007.0,4116226,1.7,-,,,,,
43,Texas,19094692.0,-,19094692.0,5532,19089160.0,13857197.0,4.1,5134496.0,-1.4,18991693.0,18520447,2.5,97467,,,,,
44,Utah,1611901.0,38081,1573820.0,556,1573263.0,1114193.0,1.9,459070.0,2.6,1573263.0,1540626,2.1,-,,,,,
45,Vermont,379108.0,-,379108.0,-,379108.0,312998.0,-0.6,66110.0,13.3,379108.0,373251,1.6,-,,,,,
46,Virginia,5037151.0,45313,4991838.0,58267,4933571.0,3920449.0,-1.2,954855.0,0.0,4875304.0,4924355,-1.0,58267,,,,,
47,Washington,3513730.0,31838,3481892.0,86237,3395655.0,2709147.0,2.7,683440.0,2.8,3392588.0,3301677,2.8,3067,,,,,
48,West Virginia,1185155.0,-,1185155.0,15119,1170036.0,849916.0,4.8,320119.0,17.0,1170036.0,1084298,7.9,-,,,,,
49,Wisconsin,3442549.0,35606,3406943.0,26615,3380328.0,2577936.0,0.8,802392.0,0.4,3380328.0,3356265,0.7,-,,,,,
50,Wyoming,719538.0,-,719538.0,36452,683086.0,333437.0,4.1,349649.0,-4.2,683086.0,685315,-0.3,-,,,,,
51,Total,181735554.0,1746131,179989423.0,1068067,178921356.0,139227835.0,2.7,39602737.0,2.6,178830572.0,174152633,2.7,744394,,,,,
52,Percentage,100.0,1.0,99.0,0.6,98.5,76.6,-,21.8,-,98.4,-,-,0.4,,,,,
