,YEAR,"ADJUSTED 
      NET TOTAL 
      RECEIPTS "
0,1963,$4.0 B
1,1964,$4.2 B
2,1965,$4.5 B
3,1966,$4.8 B
4,1967,$5.0 B
5,1968,$5.5 B
6,1969,$6.0 B
7,1970,$6.5 B
8,1971,$6.9 B
9,1972,$7.6 B
10,1973,$8.4 B
11,1974,$8.1 B
12,1975,$8.4 B
13,1976,$8.9 B
14,1977,$9.3 B
15,1978,$9.7 B
16,1979,$9.8 B
17,1980,$9.6 B
18,1981,$10.1 B
19,1982,$10.6 B
20,1983,$11.6 B
21,1984,$13.1 B
22,1985,$14.0 B
23,1986,$14.9 B
24,1987,$16.5 B
25,1988,$17.8 B
26,1989,$18.9 B
27,1990,$19.9 B
28,1991,$21.3 B
29,1992,$24.0 B
30,1993,$25.0 B
31,1994,$25.9 B
32,1995,$26.9 B
33,1996,$27.6 B
34,1997,$28.5 B
35,1998,$29.8 B
36,1999,$31.8 B
37,2000,$31.3 B
38,2001,$31.8 B
39,2002,$32.3 B
40,2003,$33.3 B
41,2004,$34.5 B
42,2005,$35.0 B
43,2006,$35.8 B
44,2007,$36.8 B
45,2008,$36.2 B
46,2009,$35.0 B
47,2010,$35.6 B
48,2011,$38.2 B
49,2012,$39.2 B
50,2013,$38.9 B
51,2014,$40.1 B
52,2015,$41.5 B
