YEAR,"ADJUSTED 
      NET TOTAL 
      RECEIPTS "
1963,$4.0 B
1964,$4.2 B
1965,$4.5 B
1966,$4.8 B
1967,$5.0 B
1968,$5.5 B
1969,$6.0 B
1970,$6.5 B
1971,$6.9 B
1972,$7.6 B
1973,$8.4 B
1974,$8.1 B
1975,$8.4 B
1976,$8.9 B
1977,$9.3 B
1978,$9.7 B
1979,$9.8 B
1980,$9.6 B
1981,$10.1 B
1982,$10.6 B
1983,$11.6 B
1984,$13.1 B
1985,$14.0 B
1986,$14.9 B
1987,$16.5 B
1988,$17.8 B
1989,$18.9 B
1990,$19.9 B
1991,$21.3 B
1992,$24.0 B
1993,$25.0 B
1994,$25.9 B
1995,$26.9 B
1996,$27.6 B
1997,$28.5 B
1998,$29.8 B
1999,$31.8 B
2000,$31.3 B
2001,$31.8 B
2002,$32.3 B
2003,$33.3 B
2004,$34.5 B
2005,$35.0 B
2006,$35.8 B
2007,$36.8 B
2008,$36.2 B
2009,$35.0 B
2010,$35.6 B
2011,$38.2 B
2012,$39.2 B
2013,$38.9 B
2014,$40.1 B
2015,$41.5 B
