,STATE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 (5)
0,Alabama,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,18.0
1,Alaska,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8.0
2,Arizona,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,18.0
3,Arkansas,19.5,19.5,21.7,21.7,21.7,21.7,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
4,California (4),18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,35.3,35.7,36.0,39.5,39.5,30.0
5,Colorado,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22,22,22.0
6,Connecticut,32.0,32.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25,25,25.0
7,Delaware,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23,23,23.0
8,Dist. of Col.,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.5,23.5,23.5,23.5,23.5,23.5,23.5
9,Florida,13.3,13.6,13.9,14.1,14.3,14.5,14.9,15.3,15.6,16.1,16.0,16.2,16.6,16.9,16.9,17.3
10,Georgia,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,26.0
11,Hawaii,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17,17,17.0
12,Idaho,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25,25,32.0
13,Illinois,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19,19,19.0
