STATE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 (5)
Alabama,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Alaska,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Arizona,27,27,26,26,26,26,26,26,26,26,26,26,26,26,18,26
Arkansas,20.5,20.5,22.7,22.7,22.7,22.7,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22.5
California,18,18,18,18,18,18,18,18,18,18,18,13,10,10,36,13
Colorado,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,22.0,20.5
Connecticut,18,18,18,26,26,26,26,37,43,43.4,39.6,39.6,51.2,51.2,25.0,54.5
Delaware,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22
Dist. of Col.,20,20,20,20,20,20,20,20,20,20,20,20,23.5,23.5,23.5,23.5
Florida,25.4,25.9,26.4,26.7,27,27.3,27.9,28.5 ,15.6 ,16.1 ,16.0 ,16.2,16.6,16.9,17.1,17.3
Georgia,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,29.0
Hawaii,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17
Idaho,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,32
Illinois,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,19.0,21.5
Indiana,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16
Iowa,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21.0,32.5
Kansas,22,22,23,25,26,26,26,26,26,26,26,26,26,26,24,26
Kentucky,13.4,13.4,13.4,13.4,13.4,15.5,16.7,18,19.5,21.1,22.6,23.4,25.5,27.9,30.5,21.6
Louisiana,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Maine,20,20,23,23,26.8,27,27.9,28.8,29.8,30.7,30.7,30.7,31.2,31.2,30.0,31.2
Maryland,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.3,27.0,32.9
Massachusetts,21,21,21,21,21,21,21,21,21,21,21,21,21,24,24,24
Michigan,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,15
Minnesota,20,20,20,20,20,20,20,20,20,27.1,27.5,28,28.5,28.5,28.5,28.5
Mississippi,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
Missouri,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Montana,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,27.75,27.75,28.50,28.5,28.5,28.5,27.8,28.5
Nebraska,22.8,22.8,24.5,24.5,24.6,25.3,27.1,27.1,26.0,26,27.1,26.3,26.2,26.3,26.4,26.1
Nevada,27,27,27,27,27,27,27,27,27,27,27,27,27,27,24,27
New Hampshire,19.5,19.5,19.5,19.5,19.5,19.5,19.6,19.6,19.6,19.6,19.6,19.6,19.625,19.625,23.825,23.825
New Jersey,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.5,13.5
New Mexico,19,19.5,19.875,19.875,22.875,22.875,22.875,22.875,22.875,22.875,22.875,22.875,22.875,21,17,21
New    York,19.65,20.25,20.85,20.25,20.85,21.45,22.15,22.85,22.65,23.35,22.55,23.25,24.05,24.9,26.5,24.1
North Carolina,22,24.3,24.2,23.4,24.3,26.6,29.9,29.9,30.2,30.15,32.15,35.25,35.25,37.8,36.8,36.3
North Dakota,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23
Ohio,22,22,22,24,26,28,28,28,28,28,28,28,28,28,28,28
Oklahoma,14,14,14,13,14,14,14,14,14,14,14,14,14,14,17,14
Oregon,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30
Pennsylvania,30.8,30.9,31.8,30.8,31.2,36.4,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,40.7,64.2
Rhode    Island,29,29,29,29,30,30,30,30,30,30,32,32,32,32,32,33
South Carolina,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
South Dakota,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,30
Tennessee,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,17
Texas,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Utah,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
Vermont,19,19,19,19,19,19,19,26,27,26,29,29,29,44.8,19.2,31.0
Virginia,16,16,16,16,16,16,16,17.5,17.5,17.5,17.5,17.5,17.5,20.2,11.1,20.2
Washington,23,23,23,23,28,31,34,36,38,37.5,37.5,37.5,37.5,37.5,37.5,44.5
West Virginia,25.35,25.35,25.65,25.35,25.35,27,27,32,32.2,32.2,32.2,32.2,33.4,34.7,35.7,34.6
Wisconsin,25.8,26.4,27.3,28.1,28.5,29.1,29.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
Wyoming,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24
 State Average (3),19.96,20.37,19.73,20,19.39,20,20.47,20.51,20.77,21.38,22.36,22.65,21.898,22.297,23.77, 
