STATE,COMBINED GASOLINE AND    GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,
,HIGHWAY USE,,,,,NONHIGHWAY    USE,,,TOTAL USE,"LOSSES ALLOWED  FOR EVAPORATION, HANDLING, ETC. (2)",TOTAL CONSUMPTION,PRIVATE AND COMMERCIAL HIGHWAY    USE,HIGHWAY (3),,NON-HIGHWAY (GASOLINE ONLY),TOTAL
,PRIVATE AND COMMERCIAL,PUBLIC USE,,,TOTAL,PRIVATE AND COMMERCIAL,"STATE, COUNTY, AND MUNICIPAL",TOTAL,,,,,AMOUNT,PERCENT CHANGE FROM PRIOR YEAR,,
,,FEDERAL CIVILIAN,"STATE, COUNTY AND MUNICIPAL",TOTAL,,,,,,,,,,,,
Alabama," 2,478,641 ","3,011 ","22,524 "," 25,535 "," 2,504,176 "," 188,249 "," 1,196 "," 189,445 "," 2,693,621 ",-," 2,693,621 "," 828,453 "," 3,332,629 ",0.5 ," 189,445 "," 3,522,074 "
Alaska," 233,905 ","1,900 ","7,575 "," 9,475 "," 243,380 "," 48,902 ", 394 ," 49,296 "," 292,676 ",-," 292,676 "," 140,241 "," 383,621 ",(4.9)," 49,296 "," 432,917 "
Arizona," 2,568,013 ","7,349 ","30,998 "," 38,347 "," 2,606,360 "," 209,194 "," 1,617 "," 210,811 "," 2,817,171 ",-," 2,817,171 "," 807,771 "," 3,414,131 ",0.6 ," 210,811 "," 3,624,942 "
Arkansas," 1,290,335 ","1,824 ","28,578 "," 30,402 "," 1,320,737 "," 126,909 "," 1,499 "," 128,408 "," 1,449,145 "," 22,462 "," 1,471,607 "," 616,900 "," 1,937,637 ",(3.2)," 128,408 "," 2,066,045 "
California," 13,792,870 ","27,004 ","368,468 "," 395,472 "," 14,188,342 "," 912,390 "," 19,231 "," 931,621 "," 15,119,963 ",-," 15,119,963 "," 3,012,037 "," 17,200,379 ",(0.9)," 931,621 "," 18,132,000 "
Colorado," 2,077,354 ","4,742 ","25,158 "," 29,900 "," 2,107,254 "," 159,055 "," 1,408 "," 160,463 "," 2,267,717 "," 46,271 "," 2,313,988 "," 632,740 "," 2,739,994 ",(2.3)," 160,463 "," 2,900,457 "
Connecticut," 1,371,821 ","2,103 ","31,946 "," 34,049 "," 1,405,870 "," 76,060 "," 1,667 "," 77,727 "," 1,483,597 "," (3,753)"," 1,479,844 "," 274,012 "," 1,679,882 ",0.7 ," 77,727 "," 1,757,609 "
Delaware," 429,556 ",609 ,"4,122 "," 4,731 "," 434,287 "," 35,114 ", 180 ," 35,294 "," 469,581 "," 13,416 "," 482,997 "," 65,358 "," 499,645 ",5.0 ," 35,294 "," 534,939 "
