,STATE,% DIESEL
0,Wyoming,52.73%
1,North Dakota,44.98%
2,New Mexico,37.02%
3,Alaska,36.56%
4,Montana,35.90%
5,Nebraska,35.06%
6,South Dakota,34.67%
7,Oklahoma,32.50%
8,Arkansas,31.84%
9,Iowa,31.17%
10,Utah,30.88%
11,Kansas,30.43%
12,Indiana,29.96%
13,Idaho,29.89%
14,West Virginia,28.29%
15,Mississippi,28.26%
16,Texas,28.23%
17,Oregon,27.46%
18,Kentucky,27.20%
19,Illinois,25.75%
20,Missouri,25.70%
21,Wisconsin,25.34%
22,Pennsylvania,25.02%
23,Louisiana,25.00%
24,Alabama,24.86%
25,Ohio,24.82%
26,Tennessee,24.25%
27,Georgia,23.85%
28,Arizona,23.66%
29,Colorado,23.09%
30,Nevada,22.53%
31,South Carolina,22.44%
32,Minnesota,22.32%
33,New York,21.53%
34,Maine,21.05%
35,Virginia,20.97%
36,Washington,20.64%
37,North Carolina,20.31%
38,Vermont,18.45%
39,Michigan,18.00%
40,California,17.51%
41,Maryland,16.51%
42,Connecticut,16.31%
43,New Jersey,16.30%
44,Florida,16.22%
45,Rhode Island,15.79%
46,Massachusetts,14.21%
47,New Hampshire,13.39%
48,Delaware,13.08%
49,Dist. of Col.,12.72%
50,Hawaii,11.01%
