STATE,% DIESEL
Wyoming,52.73%
North    Dakota,44.98%
New Mexico,37.02%
Alaska,36.56%
Montana,35.90%
Nebraska,35.06%
South    Dakota,34.67%
Oklahoma,32.50%
Arkansas,31.84%
Iowa,31.17%
Utah,30.88%
Kansas,30.43%
Indiana,29.96%
Idaho,29.89%
West    Virginia,28.29%
Mississippi,28.26%
Texas,28.23%
Oregon,27.46%
Kentucky,27.20%
Illinois,25.75%
Missouri,25.70%
Wisconsin,25.34%
Pennsylvania,25.02%
Louisiana,25.00%
Alabama,24.86%
Ohio,24.82%
Tennessee,24.25%
Georgia,23.85%
Arizona,23.66%
Colorado,23.09%
Nevada,22.53%
South    Carolina,22.44%
Minnesota,22.32%
New York,21.53%
Maine,21.05%
Virginia,20.97%
Washington,20.64%
North    Carolina,20.31%
Vermont,18.45%
Michigan,18.00%
California,17.51%
Maryland,16.51%
Connecticut,16.31%
New Jersey,16.30%
Florida,16.22%
Rhode    Island,15.79%
Massachusetts,14.21%
New    Hampshire,13.39%
Delaware,13.08%
Dist. of    Col.,12.72%
Hawaii,11.01%
