,STATE,AGRICULTURE,"AVIATION
              (2)","INDUSTRIAL 
              AND 
              COMMERCIAL",CONSTRUCTION,BOATING ,"LAWN & 
            GARDEN ","RECREATIONAL 
            VEHICLE ","MISCELLANEOUS 
              (3)",TOTAL (4)
0,Alabama,2266,2682.0,28965.0,4313.0,79081.0,40400.0,28877.0,1665,188249.0
1,Alaska,27,2906.0,3383.0,689.0,8138.0,3464.0,21520.0,8775,48902.0
2,Arizona,1559,8924.0,54470.0,15699.0,13395.0,72484.0,41405.0,1258,209194.0
3,Arkansas,3684,2166.0,19390.0,7192.0,41927.0,19736.0,27996.0,4818,126909.0
4,California,16960,32876.0,195014.0,39195.0,80197.0,401790.0,145278.0,1080,912390.0
5,Colorado,3306,3973.0,32555.0,13493.0,6951.0,57962.0,40727.0,88,159055.0
6,Connecticut,281,1072.0,13870.0,1480.0,18154.0,36699.0,4114.0,390,76060.0
7,Delaware,470,403.0,4212.0,1133.0,16606.0,9550.0,2724.0,16,35114.0
8,Dist. of Col.,-,2416.0,1043.0,479.0,310.0,2428.0,281.0,1,6958.0
9,Florida,3102,18405.0,137654.0,43128.0,273334.0,217641.0,62435.0,759,756458.0
10,Georgia,3582,4711.0,41288.0,7216.0,61408.0,93502.0,31452.0,1850,245009.0
11,Hawaii,491,411.0,8684.0,2795.0,964.0,12495.0,5942.0,-,31782.0
12,Idaho,3177,2202.0,14229.0,5494.0,7314.0,12588.0,29699.0,2095,76798.0
13,Illinois,6438,4481.0,64228.0,9523.0,39532.0,102875.0,23933.0,2086,253096.0
14,Indiana,4361,3168.0,30871.0,6884.0,23727.0,57817.0,20125.0,8740,155693.0
15,Iowa,11342,2308.0,16612.0,3577.0,14439.0,21811.0,18652.0,88946,177687.0
16,Kansas,8001,2785.0,24042.0,4952.0,6426.0,23582.0,17103.0,2358,89249.0
17,Kentucky,2287,1428.0,16890.0,3277.0,38832.0,29271.0,24062.0,475,116522.0
18,Louisiana,1349,2801.0,24597.0,5275.0,70704.0,29047.0,24135.0,1263,159171.0
19,Maine,309,1434.0,7559.0,1572.0,21222.0,11634.0,17424.0,1268,62422.0
20,Maryland,928,1679.0,18407.0,3049.0,27209.0,68639.0,9091.0,148,129150.0
21,Massachusetts,258,3482.0,27942.0,3483.0,23231.0,56531.0,11009.0,432,126368.0
22,Michigan,3321,3786.0,48097.0,14248.0,142342.0,81538.0,48332.0,542,342206.0
23,Minnesota,7424,2496.0,31418.0,11467.0,70367.0,39052.0,52937.0,23585,238746.0
24,Mississippi,2468,2017.0,10976.0,3071.0,27953.0,17225.0,21018.0,1515,86243.0
25,Missouri,4782,3361.0,29328.0,5730.0,58402.0,53017.0,29352.0,429,184401.0
26,Montana,1682,1921.0,9894.0,3078.0,3390.0,5786.0,30657.0,405,56813.0
27,Nebraska,9172,1556.0,14449.0,6038.0,7806.0,13624.0,13456.0,1807,67908.0
28,Nevada,360,1582.0,13039.0,5261.0,5683.0,34271.0,24748.0,334,85278.0
29,New Hampshire,111,921.0,6478.0,885.0,23681.0,12318.0,12408.0,2072,58874.0
30,New Jersey,437,2216.0,47785.0,4114.0,29715.0,86499.0,13225.0,2298,186289.0
31,New Mexico,1176,1660.0,15560.0,7184.0,5020.0,15319.0,21424.0,75,67418.0
32,New York,2169,3864.0,104095.0,8242.0,83475.0,122149.0,53577.0,3768,381339.0
33,North Carolina,4813,3908.0,39965.0,9950.0,71317.0,92259.0,31399.0,70420,324031.0
34,North Dakota,3490,1708.0,9598.0,3829.0,5834.0,3694.0,9794.0,49,37996.0
35,Ohio,3704,3879.0,52185.0,10951.0,68953.0,123460.0,28026.0,247,291405.0
36,Oklahoma,3197,2685.0,28152.0,6098.0,49261.0,34800.0,32146.0,4738,161077.0
37,Oregon,2100,4669.0,21109.0,3973.0,12330.0,35375.0,25877.0,1107,106540.0
38,Pennsylvania,2890,4947.0,51913.0,8122.0,42529.0,113056.0,42351.0,451,266259.0
39,Rhode Island,33,423.0,4492.0,484.0,6233.0,7982.0,1286.0,11,20944.0
40,South Carolina,1232,2919.0,18491.0,5355.0,93276.0,45514.0,14328.0,921,182036.0
41,South Dakota,3877,1212.0,6635.0,1410.0,5471.0,4722.0,11585.0,41,34953.0
42,Tennessee,1519,3236.0,33985.0,12072.0,59795.0,51408.0,30229.0,547,192791.0
43,Texas,12152,16895.0,120416.0,22574.0,124631.0,195765.0,110838.0,5798,609069.0
44,Utah,760,2658.0,13374.0,3120.0,14617.0,16658.0,22014.0,34,73235.0
45,Vermont,760,446.0,2765.0,491.0,5754.0,5121.0,5001.0,165,20503.0
46,Virginia,1673,2852.0,23989.0,5715.0,53047.0,88384.0,27280.0,2318,205258.0
47,Washington,3750,4547.0,32053.0,6327.0,22774.0,58436.0,33911.0,7008,168806.0
48,West Virginia,365,553.0,8982.0,2545.0,6650.0,13683.0,19099.0,771,52648.0
49,Wisconsin,4506,3238.0,30359.0,8495.0,87775.0,44597.0,47482.0,671,227123.0
50,Wyoming,743,916.0,6533.0,2721.0,4342.0,3476.0,21390.0,14914,55035.0
51,Total,158844,193784.0,1622020.0,367448.0,2065524.0,2801134.0,1443154.0,275552,8927460.0
52,Percentage,1.78,2.17,18.17,4.12,23.14,31.38,16.17,3.09,100.0
