STATE,GROSS VOLUME REPORTED (2),VOLUME EXEMPT FROM PAYMENT OF    TAX (3),GROSS VOLUME ASSESSED FOR TAXATION,VOLUME SUBJECT TO REFUND OF ENTIRE    TAX, NET VOLUME TAXED,,,,,,,,
,,,,,NET TOTAL VOLUME ,AT PREVAILING RATES (4),,,,,,,AT OTHER RATES (5)
,,,,,,GASOLINE,,SPECIAL    FUELS,,ALL MOTOR    FUELS,,,
,,,,,,VOLUME 2014,PERCENT CHANGE FROM PRIOR YEAR,VOLUME 2014,PERCENT CHANGE FROM PRIOR YEAR,VOLUME 2014,VOLUME 2012,PERCENT CHANGE FROM PRIOR YEAR,
Alabama," 3,522,074 ",-,"    3,522,074 "," 72,122 ","    3,449,952 ","    2,648,411 ",4.0,"    799,356 ",7.0,"    3,447,767 ","    3,294,034 ",4.7,"    2,186 "
Alaska (6),"    432,917 "," 40,635 "," 392,282 "," 4,628 "," 387,654 "," 281,643 ",0.6," 103,372 ",-35.2," 385,015 "," 439,655 ",-12.4," 2,639 "
Arizona,"    3,624,943 "," 46,591 "," 3,578,352 "," 3,804 "," 3,574,547 "," 2,796,710 ",6.2," 758,601 ",0.0," 3,555,311 "," 3,391,268 ",4.8," 8,470 "
Arkansas," 2,088,702 "," 27,021 "," 2,061,681 "," 3,804 "," 2,057,877 "," 1,329,207 ",1.7," 616,054 ",0.6," 1,945,262 "," 1,918,641 ",1.4," 112,615 "
California," 18,132,000 ", 564 ," 18,131,436 "," 20,215 "," 18,111,221 "," 15,105,349 ",2.7,"    2,868,595 ",2.7," 17,973,944 "," 17,494,612 ",2.7," 137,277 "
Colorado,"    2,945,808 "," 76,402 "," 2,869,406 "," 10,464 "," 2,858,942 "," 2,234,354 ",4.4," 620,260 ",2.7," 2,854,615 "," 2,743,925 ",4.0," 4,327 "
Connecticut,"    1,753,856 "," 13,587 "," 1,740,269 "," 8,559 "," 1,731,709 "," 1,457,698 ",3.9," 274,011 ",1.1," 1,731,709 "," 1,673,586 ",3.5,-
Delaware,"    548,355 "," 24,000 "," 524,355 ", 294 ," 524,060 ","    462,217 ",8.3," 61,843 ",1.6," 524,060 "," 487,717 ",7.5,-
Dist. of Col.,"    135,060 "," 27,561 "," 107,499 ",-," 107,499 "," 100,564 ",8.1," 6,935 ",-22.5," 107,499 "," 101,997 ",5.4,-
Florida,"    10,357,766 ",-," 10,357,766 "," 6,277 "," 10,351,489 "," 8,665,371 ",4.3," 1,472,897 ",9.9," 10,138,267 "," 9,646,912 ",5.1," 213,222 "
Georgia,"    6,433,326 ",-," 6,433,326 ",-," 6,433,326 "," 4,953,417 ",5.8," 1,475,199 ",17.7," 6,428,615 "," 5,935,018 ",8.3," 4,711 "
Hawaii,"    519,193 "," 5,408 "," 513,785 ",-," 513,785 "," 460,178 ",2.3," 53,116 ",10.7," 513,294 "," 497,623 ",3.1, 491 
Idaho,"    1,052,175 "," 15,003 "," 1,037,172 "," 28,177 "," 1,008,995 ","    720,319 ",5.7," 287,014 ",8.0," 1,007,332 "," 947,493 ",6.3," 1,663 "
Illinois,"    6,798,971 "," 46,973 "," 6,751,998 "," 15,275 "," 6,736,723 "," 5,085,246 ",10.2," 1,651,477 ",11.6," 6,736,723 "," 6,092,026 ",10.6,-
Indiana,"    4,440,863 "," 43,866 "," 4,396,997 "," 32,153 "," 4,364,844 "," 3,081,957 ",4.0," 1,282,887 ",-0.5," 4,364,844 "," 4,254,146 ",2.6,-
