 STATE , PRIVATE AND COMMERCIAL , FEDERAL (2)," STATE, COUNTY, AND MUNICIPAL ", TOTAL TRUCKS REGISTERED,COMPARISON OF TOTAL TRUCK REGISTRATIONS,,,CLASSIFICATION OF PRIVATE AND COMMERCIAL TRUCKS REGISTERED (3),,,,,
,,,,,TOTAL    2014 TRUCK REGIS- TRATIONS ,INCREASE    OR DECREASE, PERCENT CHANGE ,,,,,,
,,,,,,,,TRUCK TRACTORS,FARM TRUCKS (3),PICKUPS ,VANS ,SPORT UTILITIES ,OTHER LIGHT 
Alabama,"2,975,846 "," 6,856 ","18,614 ","3,001,316 ","2,721,534 ","279,782 ",10.3%,"36,937 ",NA,"1,337,244 ","270,659 ","1,204,619 ","3,086 "
Alaska,"568,936 "," 4,436 "," 13,008 ","586,380 ","569,456 ","16,924 ",3.0%,"4,934 ",NA,"239,843 ","49,127 ","231,283 ",568 
Arizona,"3,073,975 "," 16,681 "," 25,070 ","3,115,726 ","3,065,391 ","50,335 ",1.6%,"45,552 ",NA,"1,090,138 ","343,683 ","1,298,241 ","3,519 "
Arkansas,"1,687,935 "," 3,938 ","28,935 ","1,720,808 ","1,684,913 ","35,895 ",2.1%,"41,440 ",NA,"798,329 ","133,401 ","634,116 ","1,645 "
California,"13,764,734 "," 59,686 "," 213,120 ","14,037,540 ","13,713,822 ","323,718 ",2.4%,"286,627 ",NA,"4,228,674 ","1,782,683 ","6,603,054 ","9,478 "
Colorado,"2,946,346 "," 11,159 "," 21,625 ","2,979,130 ","2,813,912 ","165,218 ",5.9%,"32,087 ",NA,"940,318 ","254,110 ","1,561,689 ","2,423 "
Connecticut,"1,351,735 "," 4,428 ", 478 ,"1,356,641 ","1,333,621 ","23,020 ",1.7%,"7,316 ",NA,"291,501 ","169,675 ","808,714 ",518 
Delaware,"489,557 "," 1,306 ","2,878 ","493,741 ","481,026 ","12,715 ",2.6%,"3,591 ",NA,"137,121 ","68,313 ","258,855 ",139 
Dist. of Col.,"99,240 "," 7,290 ","6,850 ","113,380 ","111,066 ","2,314 ",2.1%,55 ,NA,"11,537 ","17,613 ","68,530 ",43 
Florida,"7,608,030 "," 25,789 "," 103,250 ","7,737,069 ","7,342,823 ","394,246 ",5.4%,"77,593 ",NA,"2,220,978 ","1,065,528 ","3,895,881 ","3,506 "
Georgia,"4,294,116 "," 13,904 "," 63,030 ","4,371,050 ","4,346,201 ","24,849 ",0.6%,"74,258 ",NA,"1,585,575 ","485,110 ","1,924,330 ","3,020 "
Hawaii,"668,057 "," 5,607 ","    9,145 ","682,809 ","755,537 ","(72,728)",-9.6%,"2,749 ",NA,"257,388 ","89,649 ","298,519 ",367 
Idaho,"1,150,397 "," 5,342 "," 2,927 ","1,158,666 ","1,084,421 ","74,245 ",6.8%,"22,676 ",NA,"523,566 ","100,754 ","428,748 ","1,699 "
Illinois,"5,380,864 "," 14,535 "," 43,458 ","5,438,857 ","5,215,943 ","222,914 ",4.3%,"155,303 ",NA,"1,279,182 ","889,275 ","2,799,799 ","1,992 "
Indiana,"3,455,001 "," 7,023 "," 2,115 ","3,464,139 ","3,385,106 ","79,033 ",2.3%,"252,815 ",NA,"1,121,981 ","464,124 ","1,370,405 ","1,795 "
Iowa,"2,089,114 "," 3,701 ","    18,848 ","2,111,663 ","2,051,146 ","60,517 ",3.0%,"73,450 ",NA,"838,226 ","270,504 ","789,521 ","1,375 "
