,Title,Pub Number,Date,PDF
0,Active Traffic Management: The Next Step in Congestion Management,FHWA-PL-07-012,July 2007,PDF (9.5 mb)
1,Advanced Traveler Information Systems in Europe,FHWA-PL-03-005,August 2003,PDF (1.2 mb)
2,Asphalt Pavement Warranties Technology and Practice in Europe,FHWA-PL-04-002,November 2003,PDF (1.0 mb)
3,Assuring Bridge Safety and Serviceability in Europe,FHWA-PL-10-014,August 2010,PDF (1.9 mb)
4,Audit Stewardship and Oversight of Large and Innovatively Funded Projects in Europe,FHWA-PL-07-001,March 2007,PDF (2.4 mb)
5,Austroads National Performance Indicators,FHWA-PL-11-024,May 2011,PDF (1 mb)
6,Bridge Evaluation Quality Assurance in Europe,FHWA-PL-08-016,March 2008,PDF (3.6 mb)
7,Bridge Preservation and Maintenance in Europe and South Africa,FHWA-PL-05-002,April 2005,PDF (62 mb)
8,Commercial Motor Vehicle Size and Weight Enforcement in Europe,FHWA-PL-07-002,July 2007,PDF (7.6 mb)
9,Commercial Vehicle Safety Technology and Practice in Europe,FHWA-PL-00-010,May 2000,PDF (1.5 mb)
10,Construction Management Practices In Canada and Europe,FHWA-PL-05-010,March 2005,PDF (1.6 mb)
11,Contract Administration Techniques for Quality Enhancement,FHWA-PL-95-019,June 1994,
12,Contract Administration: Technology and Practice in Europe,FHWA-PL-02-016,October 2002,PDF (1.8 kb)
13,Developing Multilevel Memorandums of Understanding With Utility Companies,FHWA-PL-12-025,August 2012,PDF (465 mb)
14,Emerging Models for Delivering Transportation Programs and Services,NCHRP Report 236,,PDF (9.2 mb)
15,European Practices in Transportation Workforce Development,,June 2003,PDF (0.4 mb)
16,European Right-of-Way and Utilities Best Practices,FHWA-PL-02-013,August 2002,PDF (969 kb)
17,European Roadway Lighting Techniques and Technologies,FHWA-PL-01-034,September 2001,PDF (1.5 mb)
18,FHWA International Scanning Tour of Advanced Transportation Technology,FHWA-PL-95-027,December 1994,
19,FHWA Scanning Report on Traffic Management and Traveler Information Systems,FHWA-PL-98-010,March 2001,PDF (0.2 mb)
20,FHWA Study Tour for Advanced Composites in Bridges in Europe and Japan,,October 1997,
21,FHWA Study Tour for Bridge Maintenance Coatings,FHWA-PL-96-031,January 1997,PDF (4.9 mb)
22,"FHWA Study Tour for European Intermodal Programs: Planning, Policy and Technology",FHWA-PL-94-038,September 1994,
23,FHWA Study Tour for European Traffic Monitoring Programs and Technologies,,,PDF (7.3 mb)
24,"FHWA Study Tour for Highway Safety Management Practices in Japan, Australia and New Zealand",FHWA-PL-95-045,June 1995,
25,FHWA Study Tour for Highway/Commercial Vehicle Interaction,FHWA-PL-96-027,September 1996,PDF (7.5 mb)
26,FHWA Study Tour for National Surveys,FHWA-PL-95-003,September 1994,
