,YEAR,ITEM,"LIGHT DUTY 
   VEHICLES 
   SHORT WB 2/","MOTOR-
   CYCLES",BUSES,"LIGHT DUTY
   VEHICLES 
   LONG WB 2/","SINGLE-UNIT 
   TRUCKS 3/","COMBINATION 
   TRUCKS",SUBTOTALS,"ALL 
   MOTOR 
   VEHICLES","ALL 
    LIGHT DUTY 
    VEHICLES 2/","SINGLE-UNIT 
    2-AXLE 6-TIRE 
    OR MORE AND 
    COMBINATION 
    TRUCKS"
0,,Motor-Vehicle Travel: (millions of  vehicle-kilometers),,,,,,,,,,
1,2015.0,Interstate Rural,215244.0,1907.0,2643.0,67754.0,15486.0,76393.0,282998.0,91879.0,379428.0,
2,2014.0,210308,1793.0,2467.0,67624.0,14895.0,75270.0,277932.0,90165.0,372357.0,,
3,2015.0,Other Arterial Rural,356700.0,4361.0,3164.0,138894.0,26025.0,46085.0,495594.0,72110.0,575229.0,
4,2014.0,350513,4315.0,3254.0,140001.0,26280.0,47146.0,490515.0,73426.0,571509.0,,
5,2015.0,Other Rural,342779.0,4490.0,3223.0,141953.0,26029.0,21796.0,484732.0,47825.0,540270.0,
6,2014.0,338108,4752.0,3196.0,143129.0,27481.0,21558.0,481237.0,49039.0,538223.0,,
7,2015.0,All Rural,914723.0,10759.0,9030.0,348601.0,67540.0,144274.0,1263324.0,211814.0,1494927.0,
8,2014.0,898929,10860.0,8916.0,350754.0,68656.0,143973.0,1249683.0,212629.0,1482089.0,,
9,2015.0,Interstate Urban,616773.0,4071.0,4057.0,151477.0,28229.0,66348.0,768250.0,94577.0,870955.0,
10,2014.0,585915,3897.0,3820.0,150619.0,26551.0,65805.0,736535.0,92355.0,836607.0,,
11,2015.0,Other Urban,1925118.0,16723.0,13033.0,516790.0,80611.0,63363.0,2441908.0,143974.0,2615638.0,
12,2014.0,1849831,17380.0,13012.0,526167.0,80697.0,63537.0,2375999.0,144234.0,2550625.0,,
13,2015.0,All Urban,2541891.0,20795.0,17089.0,668267.0,108840.0,129711.0,3210158.0,238551.0,3486593.0,
14,2014.0,2435747,21278.0,16831.0,676787.0,107248.0,129342.0,3112533.0,236590.0,3387232.0,,
15,2015.0,Total Rural and Urban  5/,3456614.0,31553.0,26119.0,1016868.0,176380.0,273985.0,4473482.0,450365.0,4981519.0,
16,2014.0,3334676,32138.0,25748.0,1027541.0,175904.0,273315.0,4362216.0,449219.0,4869321.0,,
17,2015.0,Number of motor  vehicles  registered 2/,189618308.0,8600936.0,888907.0,53298884.0,8456302.0,2746882.0,242917192.0,11203184.0,263610219.0,
18,2014.0,187554928,8417718.0,872027.0,52600309.0,8328759.0,2577197.0,240155238.0,10905956.0,260350938.0,,
19,2015.0,Average miles traveled per vehicle,18229.0,3669.0,29384.0,19079.0,20858.0,99744.0,18416.0,40200.0,18897.0,
20,2014.0,17780,3818.0,29526.0,19535.0,21120.0,106051.0,18164.0,41190.0,18703.0,,
21,2015.0,Person-miles of travel  4/  (millions),4802569.0,33987.0,553732.0,1358485.0,176380.0,273985.0,6161054.0,450365.0,7199137.0,
22,2014.0,4633149,34616.0,545852.0,1372743.0,175904.0,273315.0,6005892.0,449219.0,7035580.0,,
23,2015.0,Fuel consumed (thousand gallons),340753621.0,1695406.0,8434120.0,137925468.0,56213944.0,109338341.0,478679089.0,165552286.0,654360900.0,
24,2014.0,338040264,1736097.0,8453652.0,141358584.0,56379413.0,110222319.0,479398848.0,166601732.0,656190329.0,,
25,2015.0,Average fuel  consumption per vehicle (gallons),1797.0,197.0,9488.0,2588.0,6648.0,39805.0,1971.0,14777.0,2482.0,
26,2014.0,1802,206.0,9694.0,2687.0,6769.0,42768.0,1996.0,15276.0,2520.0,,
27,2015.0,Average miles traveled per gallon of fuel  consumed,10.1,18.6,3.1,7.4,3.1,2.5,9.3,2.7,7.6,
28,2014.0,9.9,18.5,3.0,7.3,3.1,2.5,9.1,2.7,7.4,,
