YEAR,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,"OTHERPRINCIPAL
ARTERIAL","MINOR
ARTERIAL","MAJOR
COLLECTOR","MINOR
COLLECTOR",LOCAL,TOTAL,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,OTHERPRINCIPALARTERIAL,MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL,
1980,"135,084 ", ,"132,958 ","129,816 ","150,186 ","39,282 ","84,704 ","672,030 ","161,242 ","79,690 ","229,469 ","175,030 ","83,043 ", ,"126,791 ","855,265 ","1,527,295 "
1981,"139,304 ", ,"135,029 ","132,191 ","152,428 ","41,080 ","88,276 ","688,308 ","166,479 ","81,454 ","231,610 ","170,220 ","80,598 ", ,"136,639 ","867,000 ","1,555,308 "
1982,"142,546 ", ,"134,042 ","135,979 ","154,476 ","40,582 ","81,601 ","689,226 ","175,879 ","90,054 ","242,138 ","182,195 ","83,726 ", ,"131,792 ","905,784 ","1,595,010 "
1983,"145,250 ", ,"140,104 ","133,304 ","156,913 ","43,736 ","81,210 ","700,517 ","192,470 ","87,299 ","256,914 ","188,791 ","86,827 ", ,"139,970 ","952,271 ","1,652,788 "
1984,"149,139 ", ,"144,056 ","136,761 ","158,956 ","42,922 ","86,298 ","718,132 ","204,304 ","93,810 ","271,403 ","195,400 ","87,893 ", ,"149,327 ","1,002,137 ","1,720,269 "
1985,"154,357 ", ,"145,881 ","136,922 ","163,297 ","43,372 ","86,899 ","730,728 ","216,188 ","97,408 ","279,121 ","201,741 ","89,578 ", ,"160,062 ","1,044,098 ","1,774,826 "
1986,"159,498 ", ,"149,405 ","140,724 ","164,852 ","43,123 ","90,178 ","747,780 ","232,017 ","105,480 ","287,660 ","208,728 ","89,967 ", ,"163,240 ","1,087,092 ","1,834,872 "
1987,"170,493 ", ,"155,446 ","146,543 ","174,301 ","44,535 ","89,132 ","780,450 ","244,836 ","109,961 ","304,684 ","224,144 ","95,970 ", ,"161,159 ","1,140,754 ","1,921,204 "
1988,"181,315 ", ,"160,244 ","151,749 ","183,541 ","47,023 ","93,662 ","817,534 ","258,695 ","116,983 ","319,344 ","231,802 ","99,211 ", ,"182,393 ","1,208,428 ","2,025,962 "
1989,"191,085 ", ,"165,859 ","156,646 ","187,195 ","48,714 ","97,726 ","847,225 ","270,735 ","122,024 ","327,173 ","234,769 ","101,871 ", ,"192,690 ","1,249,262 ","2,096,487 "
1990,"200,173 ", ,"175,133 ","155,733 ","190,512 ","49,948 ","97,379 ","868,878 ","278,901 ","127,465 ","335,543 ","236,225 ","106,297 ", ,"191,053 ","1,275,484 ","2,144,362 "
1991,"205,011 ", ,"179,202 ","155,553 ","193,998 ","51,632 ","98,157 ","883,553 ","285,325 ","128,220 ","339,954 ","239,344 ","107,281 ", ,"188,373 ","1,288,497 ","2,172,050 "
