,STATE,RURAL,URBAN,TOTAL,INTERSTATE,OTHERFREEWAYS ANDEXPRESSWAYS,OTHERPRINCIPALARTERIAL,MINORARTERIAL,MAJORCOLLECTOR,MINORCOLLECTOR,LOCAL,TOTAL.1,INTERSTATE.1,OTHERFREEWAYS ANDEXPRESSWAYS.1,OTHERPRINCIPALARTERIAL.1,MINORARTERIAL.1,MAJORCOLLECTOR.1,MINORCOLLECTOR.1,LOCAL.1,TOTAL.2
0,Alabama,6012,-,5371,4415,4281,1350,6853,28283,8736,532,9508,7093,4177,63,8867,38974,67257,,
1,Alaska,835,-,305,117,301,144,424,2126,750,-,927,539,239,129,337,2920,5045,,
2,Arizona,6361,30,3301,1566,2440,448,1444,15589,7468,7617,8057,15555,4100,141,6518,49455,65045,,
3,Arkansas,3860,369,3585,2786,3444,652,2167,16864,5072,1041,3686,4470,1787,64,1912,18033,34897,,
4,California,15463,5225,10007,7547,7604,2523,5311,53680,72627,60406,53076,48893,24614,302,21941,281859,335539,,
5,Colorado,4444,236,4081,1992,1747,735,1471,14707,9030,5219,9087,6158,2619,45,3574,35730,50437,,
6,Connecticut,469,297,441,408,807,145,592,3158,9926,4147,3803,5153,2598,234,2573,28434,31592,,
7,Delaware,-,610,865,321,606,170,428,3000,1351,603,2118,1077,794,51,936,6931,9931,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,457,374,991,704,261,-,770,3557,3557,,
9,Florida,9589,1815,7745,3476,3479,1427,5599,33130,28456,13367,43386,27845,18199,3414,39186,173852,206982,,
10,Georgia,7091,-,5872,5620,4931,980,4095,28590,23497,3526,15901,17530,5706,385,22972,89517,118107,,
11,Hawaii,-,-,323,541,153,34,722,1773,1877,505,2084,998,688,257,2119,8527,10301,,
12,Idaho,2484,-,2271,958,1297,228,2300,9537,1488,-,2360,1679,687,4,907,7124,16662,,
13,Illinois,8747,103,3552,4385,4479,420,3344,25030,23835,1159,19831,15499,8142,170,11557,80193,105223,,
14,Indiana,7360,735,4063,3853,5398,2062,4752,28223,10875,1386,10134,8893,4262,417,14630,50596,78819,,
15,Iowa,4966,-,6043,2613,3365,817,1485,19289,3105,-,4103,3548,1120,-,1996,13872,33161,,
16,Kansas,3545,1251,3125,2260,2662,337,1800,14980,4047,1909,1428,4266,2140,229,2379,16399,31379,,
17,Kentucky,7965,1834,3411,3547,4034,2212,3130,26132,6604,872,4644,5606,2122,146,2550,22543,48675,,
18,Louisiana,5681,204,2886,3162,3295,1089,2202,18520,9352,766,8238,6523,2951,218,1612,29660,48180,,
19,Maine,2293,-,1881,1760,2269,865,1481,10550,839,143,682,989,954,25,448,4080,14629,,
20,Maryland,2063,-,2218,1863,1589,936,1701,10369,15039,6240,11463,6975,4175,134,3121,47146,57516,,
21,Massachusetts,806,64,269,461,538,124,561,2822,16488,5798,12047,10695,3389,-,8018,56435,59257,,
22,Michigan,5030,2386,4045,6566,7924,921,2244,29116,17147,6150,17206,15590,4982,28,7624,68727,97843,,
23,Minnesota,3850,9,6850,4757,4098,1297,2591,23452,8807,3568,5273,8892,2782,41,4579,33942,57395,,
24,Mississippi,4256,-,5047,3471,3980,416,4989,22160,4069,451,5153,2593,1744,6,3714,17730,39890,,
25,Missouri,6819,3818,4026,3453,5071,691,5567,29444,13893,5170,5814,6353,3253,48,7943,42474,71918,,
26,Montana,2473,-,2422,1053,926,448,1206,8529,597,-,1215,652,421,27,906,3816,12345,,
27,Nebraska,2845,985,2348,2371,1504,237,1093,11383,1534,1196,2149,1976,632,2,1229,8718,20101,,
28,Nevada,2118,-,1509,388,333,231,432,5011,4165,1686,3091,4620,45,1915,5392,20915,25925,,
29,New Hampshire,1044,142,1034,1111,992,481,362,5166,1913,1347,1316,1682,877,-,793,7928,13094,,
30,New Jersey,1180,426,704,660,821,167,877,4835,14545,12135,16367,11156,4536,724,11094,70558,75393,,
31,New Mexico,4392,-,3442,1691,1647,573,3787,15532,2629,81,4073,1910,1125,322,1764,11903,27435,,
32,New York,5717,539,3889,3448,3710,9181,4402,30886,20655,16810,19092,17637,7423,159,14569,96344,127230,,
33,North Carolina,5803,2367,5641,5742,6916,2813,8350,37633,18260,5550,15053,13602,6828,587,14366,74246,111879,,
34,North Dakota,1517,-,2539,871,1204,-,1160,7291,472,-,855,617,294,-,508,2745,10036,,
35,Ohio,8348,1704,4317,4250,7764,1706,5695,33783,23045,5997,13660,13740,9997,449,13002,79890,113673,,
36,Oklahoma,5124,-,5040,2840,5422,171,2572,21169,5514,3108,5721,4854,1456,114,5776,26544,47713,,
37,Oregon,3758,-,4022,1756,1773,774,2221,14303,5537,1387,5474,4278,2629,268,2122,21695,35999,,
38,Pennsylvania,11126,2084,4113,6497,4162,1824,5589,35395,14992,6775,15799,12056,7431,-,8497,65550,100945,,
39,Rhode Island,305,65,223,103,146,25,22,888,1858,1189,1842,1041,611,19,384,6945,7833,,
40,South Carolina,7724,230,4107,3925,4409,245,2970,23610,7310,714,7787,6559,3681,32,2034,28116,51726,,
41,South Dakota,1945,412,1503,985,1064,146,457,6512,715,64,483,980,288,-,283,2813,9324,,
42,Tennessee,7446,-,4836,4306,2714,3593,2572,25467,14257,2322,12541,9245,3383,686,8770,51203,76670,,
43,Texas,17046,7,21976,11357,12189,1835,4479,68889,47986,32941,41207,30193,25750,657,10499,189233,258122,,
44,Utah,3082,77,1775,778,910,504,1161,8287,7445,413,5191,2437,1739,233,3858,21317,29604,,
45,Vermont,1219,5,706,973,1142,219,936,5199,539,58,485,366,275,11,381,2115,7314,,
46,Virginia,6460,545,4906,4596,3512,993,2590,23602,18772,5156,13861,10762,4560,558,5353,59023,82625,,
47,Washington,4609,1753,2285,2130,3509,1073,1156,16514,11832,5719,9594,7677,3463,107,4745,43138,59653,,
48,West Virginia,2190,44,2197,1444,2403,329,1115,9722,3510,84,2475,2174,1077,48,737,10104,19827,,
49,Wisconsin,5788,844,6743,5021,7722,2059,3943,32120,7731,3190,8717,5292,2522,0,2502,29954,62073,,
50,Wyoming,2517,-,1627,536,627,720,624,6652,538,12,792,448,398,33,725,2945,9597,,
51,U.S. Total,235766,31214,185488,140728,157315,51370,127024,928905,541186,238878,469837,400070,199926,13499,303071,2166468,3095373,,
